model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list
all-other-subjects,V1,V1,train,sub-03,linear_predictivity,501,361,0.13184377578491746,
all-other-subjects,V1,V1,test,sub-03,linear_predictivity,501,361,0.25775188498891444,"[0.2576473743099693, 0.2623841872820869, 0.25592332720527966, 0.26250499326777216, 0.25029954287946415]"
all-other-subjects,V1,V2,train,sub-03,linear_predictivity,501,525,0.1369930997575271,
all-other-subjects,V1,V2,test,sub-03,linear_predictivity,501,525,0.22925752896515178,"[0.22316706244805004, 0.23876647203577975, 0.2246068575351973, 0.23657467617061748, 0.22317257663611437]"
all-other-subjects,V1,V3,train,sub-03,linear_predictivity,501,361,0.1805283049136223,
all-other-subjects,V1,V3,test,sub-03,linear_predictivity,501,361,0.339619984419016,"[0.33563230309174363, 0.34253774198850445, 0.33569685076040445, 0.3456502871051981, 0.3385827391492293]"
all-other-subjects,V1,V4,train,sub-03,linear_predictivity,501,555,0.11330314609015643,
all-other-subjects,V1,V4,test,sub-03,linear_predictivity,501,555,0.2300647709022022,"[0.2353349612426873, 0.23288837405770413, 0.22553578124916537, 0.22600852985174766, 0.23055620810970648]"
all-other-subjects,V1,V3A,train,sub-03,linear_predictivity,501,198,0.06632187353683035,
all-other-subjects,V1,V3A,test,sub-03,linear_predictivity,501,198,0.13810203980358132,"[0.13197624363587668, 0.15414165440858252, 0.12145551473856742, 0.15013948805891025, 0.13279729817596975]"
all-other-subjects,V1,V3B,train,sub-03,linear_predictivity,501,149,0.0810564274683691,
all-other-subjects,V1,V3B,test,sub-03,linear_predictivity,501,149,0.17083769861754222,"[0.15955402461583892, 0.18583183258163907, 0.16844343897186506, 0.1736991454132191, 0.16666005150514898]"
all-other-subjects,V1,V6,train,sub-03,linear_predictivity,501,157,0.032911491560702465,
all-other-subjects,V1,V6,test,sub-03,linear_predictivity,501,157,0.10328545790881014,"[0.10081112593164049, 0.10007213581532594, 0.10367487775064838, 0.11735503992474197, 0.09451411012169396]"
all-other-subjects,V1,V6A,train,sub-03,linear_predictivity,501,68,0.029606738729356295,
all-other-subjects,V1,V6A,test,sub-03,linear_predictivity,501,68,0.09577141052688051,"[0.09225970685927072, 0.11535529655102504, 0.07799012459701408, 0.10715564761703633, 0.08609627701005636]"
all-other-subjects,V1,V7,train,sub-03,linear_predictivity,501,88,0.07892878604772757,
all-other-subjects,V1,V7,test,sub-03,linear_predictivity,501,88,0.13894918103569273,"[0.13380785745100118, 0.154403835764569, 0.1304278198562074, 0.13944740152803933, 0.13665899057864667]"
all-other-subjects,V1,V8,train,sub-03,linear_predictivity,501,111,0.11082133230831911,
all-other-subjects,V1,V8,test,sub-03,linear_predictivity,501,111,0.26420786240346816,"[0.26513547831951345, 0.2717782636480791, 0.26077448795193015, 0.25734517871265594, 0.2660059033851622]"
all-other-subjects,V1,FFC,train,sub-03,linear_predictivity,501,301,0.02949877589327344,
all-other-subjects,V1,FFC,test,sub-03,linear_predictivity,501,301,0.05593285882463963,"[0.0628080652734747, 0.05872885334643018, 0.05407840107900078, 0.04666729512247676, 0.05738167930181573]"
all-other-subjects,V1,PIT,train,sub-03,linear_predictivity,501,105,0.052711484015471134,
all-other-subjects,V1,PIT,test,sub-03,linear_predictivity,501,105,0.12313441279888744,"[0.108394864616874, 0.11381439044912352, 0.1387321988337501, 0.11081786756747786, 0.14391274252721167]"
all-other-subjects,V1,IPS1,train,sub-03,linear_predictivity,501,123,0.013063468959708956,
all-other-subjects,V1,IPS1,test,sub-03,linear_predictivity,501,123,0.037403336517872546,"[0.03472551164911443, 0.04052364929720863, 0.037403025125977485, 0.034244852732079965, 0.040119643784982235]"
all-other-subjects,V1,MST,train,sub-03,linear_predictivity,501,147,0.11378458680025458,
all-other-subjects,V1,MST,test,sub-03,linear_predictivity,501,147,0.22686916380313898,"[0.2173029358326183, 0.23065790737161754, 0.2297020679630397, 0.22982471482283245, 0.2268581930255868]"
all-other-subjects,V1,MT,train,sub-03,linear_predictivity,501,98,0.1152704556920324,
all-other-subjects,V1,MT,test,sub-03,linear_predictivity,501,98,0.19533213517322817,"[0.1995311198203038, 0.18396869431334406, 0.18882067795328725, 0.20137472101531537, 0.2029654627638904]"
all-other-subjects,V1,FST,train,sub-03,linear_predictivity,501,166,0.04006098337876852,
all-other-subjects,V1,FST,test,sub-03,linear_predictivity,501,166,0.0997778905768749,"[0.09668891866923623, 0.0956987676163129, 0.10145916987609979, 0.09387713590855358, 0.11116546081417202]"
all-other-subjects,V1,LO1,train,sub-03,linear_predictivity,501,74,0.0648524309385218,
all-other-subjects,V1,LO1,test,sub-03,linear_predictivity,501,74,0.14311245206629197,"[0.1520656679247505, 0.13642800010804476, 0.13125946972171096, 0.1466203819651792, 0.1491887406117743]"
all-other-subjects,V1,LO2,train,sub-03,linear_predictivity,501,75,0.049513607843718124,
all-other-subjects,V1,LO2,test,sub-03,linear_predictivity,501,75,0.08596097483666872,"[0.08230598096332806, 0.07523521417876124, 0.0967962831211596, 0.08226921101154391, 0.09319818490855072]"
all-other-subjects,V1,LO3,train,sub-03,linear_predictivity,501,124,0.08153082436770251,
all-other-subjects,V1,LO3,test,sub-03,linear_predictivity,501,124,0.1622186050110544,"[0.17649339427341573, 0.1655525119789087, 0.15002272810378675, 0.15769424791677322, 0.1613301427823875]"
all-other-subjects,V2,V1,train,sub-03,linear_predictivity,545,361,0.1189715348082938,
all-other-subjects,V2,V1,test,sub-03,linear_predictivity,545,361,0.24216390809469734,"[0.24208728890529557, 0.24845368677515517, 0.24305848053542473, 0.24616348812268968, 0.2310565961349216]"
all-other-subjects,V2,V2,train,sub-03,linear_predictivity,545,525,0.15151102382995463,
all-other-subjects,V2,V2,test,sub-03,linear_predictivity,545,525,0.24314816988336507,"[0.23532958002820378, 0.24947849501908406, 0.242012798160495, 0.2475123458196497, 0.24140763038939284]"
all-other-subjects,V2,V3,train,sub-03,linear_predictivity,545,361,0.1936803642987712,
all-other-subjects,V2,V3,test,sub-03,linear_predictivity,545,361,0.3705308070335226,"[0.37034463742998386, 0.37336535518350794, 0.3691040125497817, 0.3746445290046727, 0.36519550099966674]"
all-other-subjects,V2,V4,train,sub-03,linear_predictivity,545,555,0.12890789056925614,
all-other-subjects,V2,V4,test,sub-03,linear_predictivity,545,555,0.25783772363642415,"[0.26343669422818883, 0.26496748391044217, 0.2574508293210515, 0.2508388809829042, 0.252494729739534]"
all-other-subjects,V2,V3A,train,sub-03,linear_predictivity,545,198,0.09070505323321522,
all-other-subjects,V2,V3A,test,sub-03,linear_predictivity,545,198,0.15704014120354678,"[0.14854829694987987, 0.17164881070484253, 0.15154896115709093, 0.16668425150783764, 0.14677038569808304]"
all-other-subjects,V2,V3B,train,sub-03,linear_predictivity,545,149,0.09354077519712321,
all-other-subjects,V2,V3B,test,sub-03,linear_predictivity,545,149,0.18419055693507103,"[0.18198270001534286, 0.1905799693692498, 0.1899419217659092, 0.17481289027959318, 0.18363530324525995]"
all-other-subjects,V2,V6,train,sub-03,linear_predictivity,545,157,0.053398533516085034,
all-other-subjects,V2,V6,test,sub-03,linear_predictivity,545,157,0.11905592371204791,"[0.11113113882663624, 0.12277212988709059, 0.11938581356769302, 0.1204296068826322, 0.1215609293961875]"
all-other-subjects,V2,V6A,train,sub-03,linear_predictivity,545,68,0.05408519218061172,
all-other-subjects,V2,V6A,test,sub-03,linear_predictivity,545,68,0.12393128187900433,"[0.1250880981043474, 0.1304875391900348, 0.12170195662014634, 0.12402672948799533, 0.11835208599249777]"
all-other-subjects,V2,V7,train,sub-03,linear_predictivity,545,88,0.0958661306431292,
all-other-subjects,V2,V7,test,sub-03,linear_predictivity,545,88,0.16347491812586537,"[0.16781309444402676, 0.18265371276080894, 0.15769749314714918, 0.15178771867293472, 0.15742257160440715]"
all-other-subjects,V2,V8,train,sub-03,linear_predictivity,545,111,0.1503314151222118,
all-other-subjects,V2,V8,test,sub-03,linear_predictivity,545,111,0.3315338251903829,"[0.3333141501909341, 0.3360802186237688, 0.3337318503137689, 0.3221669805119318, 0.33237592631151064]"
all-other-subjects,V2,FFC,train,sub-03,linear_predictivity,545,301,0.0389132157805272,
all-other-subjects,V2,FFC,test,sub-03,linear_predictivity,545,301,0.07255974456841979,"[0.07651911606565666, 0.07493131734139147, 0.0741001824951838, 0.06316247228528377, 0.07408563465458327]"
all-other-subjects,V2,PIT,train,sub-03,linear_predictivity,545,105,0.0677976855316926,
all-other-subjects,V2,PIT,test,sub-03,linear_predictivity,545,105,0.16339837450377875,"[0.1643175190556786, 0.1783643509756978, 0.13288930820029488, 0.17589239910562224, 0.1655282951816002]"
all-other-subjects,V2,IPS1,train,sub-03,linear_predictivity,545,123,0.028978020021459893,
all-other-subjects,V2,IPS1,test,sub-03,linear_predictivity,545,123,0.06384467737448832,"[0.06649471856226102, 0.06609080697230331, 0.06309899475990105, 0.0602032433231728, 0.06333562325480345]"
all-other-subjects,V2,MST,train,sub-03,linear_predictivity,545,147,0.1342989517590428,
all-other-subjects,V2,MST,test,sub-03,linear_predictivity,545,147,0.2342862931475643,"[0.23290141750134916, 0.2376189470920373, 0.2334667458058377, 0.23912495369565648, 0.22831940164294104]"
all-other-subjects,V2,MT,train,sub-03,linear_predictivity,545,98,0.14643930147071674,
all-other-subjects,V2,MT,test,sub-03,linear_predictivity,545,98,0.20392600817687354,"[0.20455710110436565, 0.20671462904452134, 0.20119741692861756, 0.20382032595622399, 0.20334056785063903]"
all-other-subjects,V2,FST,train,sub-03,linear_predictivity,545,166,0.057506521180131706,
all-other-subjects,V2,FST,test,sub-03,linear_predictivity,545,166,0.13977642029460075,"[0.1369510306420631, 0.14152197841575076, 0.14139403561543326, 0.14018967544885882, 0.13882538135089775]"
all-other-subjects,V2,LO1,train,sub-03,linear_predictivity,545,74,0.0810987055247242,
all-other-subjects,V2,LO1,test,sub-03,linear_predictivity,545,74,0.18981569575159787,"[0.19423371588950705, 0.19270974180375375, 0.19208036957755747, 0.18493625213294204, 0.185118399354229]"
all-other-subjects,V2,LO2,train,sub-03,linear_predictivity,545,75,0.057708073549034206,
all-other-subjects,V2,LO2,test,sub-03,linear_predictivity,545,75,0.10185112506123498,"[0.1036135715141699, 0.09173999573109647, 0.1046797290402481, 0.10848924755996386, 0.1007330814606966]"
all-other-subjects,V2,LO3,train,sub-03,linear_predictivity,545,124,0.10800762658991107,
all-other-subjects,V2,LO3,test,sub-03,linear_predictivity,545,124,0.20171229119895565,"[0.21050909252739233, 0.2077430418655236, 0.19899496484120482, 0.19985746116409875, 0.19145689559655873]"
all-other-subjects,V3,V1,train,sub-03,linear_predictivity,507,361,0.10533389670270131,
all-other-subjects,V3,V1,test,sub-03,linear_predictivity,507,361,0.21711348830457275,"[0.2140631339546195, 0.21853226101729853, 0.21804510054009152, 0.21811621190598876, 0.21681073410486554]"
all-other-subjects,V3,V2,train,sub-03,linear_predictivity,507,525,0.14485028175224135,
all-other-subjects,V3,V2,test,sub-03,linear_predictivity,507,525,0.24708953175503895,"[0.23820453702569563, 0.24720578138854785, 0.24692441085896277, 0.24695966147168769, 0.25615326803030086]"
all-other-subjects,V3,V3,train,sub-03,linear_predictivity,507,361,0.2025941068791262,
all-other-subjects,V3,V3,test,sub-03,linear_predictivity,507,361,0.42132940947484077,"[0.4158232733334707, 0.4216370764667693, 0.42266301424368785, 0.423191065582412, 0.423332617747864]"
all-other-subjects,V3,V4,train,sub-03,linear_predictivity,507,555,0.16788613165284846,
all-other-subjects,V3,V4,test,sub-03,linear_predictivity,507,555,0.3495193944432222,"[0.3522553053398648, 0.3486287274339413, 0.3500006189655396, 0.3440783844836584, 0.352633935993107]"
all-other-subjects,V3,V3A,train,sub-03,linear_predictivity,507,198,0.12180959549952107,
all-other-subjects,V3,V3A,test,sub-03,linear_predictivity,507,198,0.2798975826158413,"[0.2691221309412803, 0.2873818727640219, 0.27927396160666246, 0.2870373627999097, 0.27667258496733244]"
all-other-subjects,V3,V3B,train,sub-03,linear_predictivity,507,149,0.11993763185714644,
all-other-subjects,V3,V3B,test,sub-03,linear_predictivity,507,149,0.27644619241996043,"[0.26650938860797396, 0.2791759744919281, 0.2872711400688218, 0.2693632075332915, 0.27991125139778655]"
all-other-subjects,V3,V6,train,sub-03,linear_predictivity,507,157,0.07037667970890786,
all-other-subjects,V3,V6,test,sub-03,linear_predictivity,507,157,0.1893292600499444,"[0.17309031412075732, 0.19348047238013424, 0.19580689320628425, 0.19038109917817736, 0.19388752136436896]"
all-other-subjects,V3,V6A,train,sub-03,linear_predictivity,507,68,0.07399712169537918,
all-other-subjects,V3,V6A,test,sub-03,linear_predictivity,507,68,0.21657093535298882,"[0.21105932617698697, 0.2201754694113821, 0.2211709374151233, 0.216885404830625, 0.21356353893082664]"
all-other-subjects,V3,V7,train,sub-03,linear_predictivity,507,88,0.13961661977217238,
all-other-subjects,V3,V7,test,sub-03,linear_predictivity,507,88,0.26663063152089767,"[0.26619172334599484, 0.27624389159147567, 0.26565532213749227, 0.2539537825872155, 0.27110843794231004]"
all-other-subjects,V3,V8,train,sub-03,linear_predictivity,507,111,0.1845358392896481,
all-other-subjects,V3,V8,test,sub-03,linear_predictivity,507,111,0.39144766016544275,"[0.396329091974569, 0.3900176794931694, 0.39384607658226867, 0.38338704041885735, 0.3936584123583493]"
all-other-subjects,V3,FFC,train,sub-03,linear_predictivity,507,301,0.07287007678687621,
all-other-subjects,V3,FFC,test,sub-03,linear_predictivity,507,301,0.1539143090711742,"[0.16324295895191346, 0.1572051629814125, 0.14619186014890487, 0.14636553286914092, 0.15656603040449937]"
all-other-subjects,V3,PIT,train,sub-03,linear_predictivity,507,105,0.11702805093293855,
all-other-subjects,V3,PIT,test,sub-03,linear_predictivity,507,105,0.2606614246718965,"[0.26225914056212696, 0.25958267243094524, 0.2568594210567439, 0.2667682320083381, 0.2578376573013285]"
all-other-subjects,V3,IPS1,train,sub-03,linear_predictivity,507,123,0.0629197981133647,
all-other-subjects,V3,IPS1,test,sub-03,linear_predictivity,507,123,0.13255569823962715,"[0.12451537526365544, 0.13826124121998254, 0.130065068530363, 0.13138547907112844, 0.13855132711300647]"
all-other-subjects,V3,MST,train,sub-03,linear_predictivity,507,147,0.18339147195979494,
all-other-subjects,V3,MST,test,sub-03,linear_predictivity,507,147,0.3648039464421715,"[0.3565067844321621, 0.36553838041233583, 0.3689685796383021, 0.36601606323121194, 0.3669899244968456]"
all-other-subjects,V3,MT,train,sub-03,linear_predictivity,507,98,0.2703062171826827,
all-other-subjects,V3,MT,test,sub-03,linear_predictivity,507,98,0.42045213845142504,"[0.41134471026027275, 0.42343565618237866, 0.4188183574691109, 0.4227735759349472, 0.4258883924104158]"
all-other-subjects,V3,FST,train,sub-03,linear_predictivity,507,166,0.10623680056401502,
all-other-subjects,V3,FST,test,sub-03,linear_predictivity,507,166,0.269766663044094,"[0.27082848290302464, 0.2730340456296573, 0.26609624014807204, 0.2631072706237734, 0.27576727591594286]"
all-other-subjects,V3,LO1,train,sub-03,linear_predictivity,507,74,0.15025919350383762,
all-other-subjects,V3,LO1,test,sub-03,linear_predictivity,507,74,0.33233240539019615,"[0.33224471825264074, 0.33029103258491826, 0.3313886833471304, 0.33186043128230214, 0.33587716148398933]"
all-other-subjects,V3,LO2,train,sub-03,linear_predictivity,507,75,0.1075631361467155,
all-other-subjects,V3,LO2,test,sub-03,linear_predictivity,507,75,0.25741461807827404,"[0.2417218571269316, 0.2583138524356944, 0.2663063499030913, 0.25347377590071907, 0.2672572550249337]"
all-other-subjects,V3,LO3,train,sub-03,linear_predictivity,507,124,0.18441510394398916,
all-other-subjects,V3,LO3,test,sub-03,linear_predictivity,507,124,0.33534782251334316,"[0.3416782355026899, 0.3408087660366491, 0.3268682879887233, 0.33901197506058023, 0.3283718479780736]"
all-other-subjects,V4,V1,train,sub-03,linear_predictivity,656,361,0.09057193810376692,
all-other-subjects,V4,V1,test,sub-03,linear_predictivity,656,361,0.20651203345841873,"[0.2022432071511343, 0.20811462386251686, 0.20403303190963137, 0.2067625333746937, 0.2114067709941173]"
all-other-subjects,V4,V2,train,sub-03,linear_predictivity,656,525,0.13814586047531607,
all-other-subjects,V4,V2,test,sub-03,linear_predictivity,656,525,0.23701714417113884,"[0.2340380013647981, 0.23408945344308352, 0.2339918416256372, 0.23739999146930424, 0.2455664329528712]"
all-other-subjects,V4,V3,train,sub-03,linear_predictivity,656,361,0.2047920480290581,
all-other-subjects,V4,V3,test,sub-03,linear_predictivity,656,361,0.4258706322825631,"[0.4267501731890726, 0.42259179967987753, 0.4246040843022608, 0.4255533529911319, 0.4298537512504726]"
all-other-subjects,V4,V4,train,sub-03,linear_predictivity,656,555,0.18907454039722854,
all-other-subjects,V4,V4,test,sub-03,linear_predictivity,656,555,0.39929437800705025,"[0.40683032786863077, 0.39714564096620675, 0.39833563827697044, 0.3944814290503352, 0.3996788538731079]"
all-other-subjects,V4,V3A,train,sub-03,linear_predictivity,656,198,0.16029624585322375,
all-other-subjects,V4,V3A,test,sub-03,linear_predictivity,656,198,0.3191585647959084,"[0.3111383348035768, 0.3205421900557085, 0.3221109492302182, 0.318989345774683, 0.3230120041153552]"
all-other-subjects,V4,V3B,train,sub-03,linear_predictivity,656,149,0.13919582222411986,
all-other-subjects,V4,V3B,test,sub-03,linear_predictivity,656,149,0.30539255333143267,"[0.2847255919701118, 0.31377540936658865, 0.3056382346966473, 0.31499799446373694, 0.30782553616007874]"
all-other-subjects,V4,V6,train,sub-03,linear_predictivity,656,157,0.0945678114446653,
all-other-subjects,V4,V6,test,sub-03,linear_predictivity,656,157,0.2430809407353911,"[0.23085036003140727, 0.2507117841502831, 0.2481525548598757, 0.2446527193484525, 0.24103728528693688]"
all-other-subjects,V4,V6A,train,sub-03,linear_predictivity,656,68,0.09617277888068856,
all-other-subjects,V4,V6A,test,sub-03,linear_predictivity,656,68,0.2446774703542033,"[0.24389608442349592, 0.24829009334609964, 0.2440287963820951, 0.23284224308470883, 0.2543301345346171]"
all-other-subjects,V4,V7,train,sub-03,linear_predictivity,656,88,0.17218554044388232,
all-other-subjects,V4,V7,test,sub-03,linear_predictivity,656,88,0.32706696630506726,"[0.3221932403480233, 0.33110202761054636, 0.32369842416173655, 0.32321031781164833, 0.3351308215933815]"
all-other-subjects,V4,V8,train,sub-03,linear_predictivity,656,111,0.230079438582168,
all-other-subjects,V4,V8,test,sub-03,linear_predictivity,656,111,0.45673462987556956,"[0.4583695094286364, 0.45310708872200206, 0.4564247942244045, 0.45836855069910976, 0.4574032063036952]"
all-other-subjects,V4,FFC,train,sub-03,linear_predictivity,656,301,0.10829809387173686,
all-other-subjects,V4,FFC,test,sub-03,linear_predictivity,656,301,0.2700371430421843,"[0.2848939721095723, 0.26857710713850336, 0.26274371904922733, 0.2697296621107379, 0.2642412548028803]"
all-other-subjects,V4,PIT,train,sub-03,linear_predictivity,656,105,0.15496423210994723,
all-other-subjects,V4,PIT,test,sub-03,linear_predictivity,656,105,0.36248635687848857,"[0.3697623156005354, 0.36111307664647274, 0.35808578264676005, 0.3715185622937243, 0.3519520472049505]"
all-other-subjects,V4,IPS1,train,sub-03,linear_predictivity,656,123,0.07305627866476712,
all-other-subjects,V4,IPS1,test,sub-03,linear_predictivity,656,123,0.16901652259067587,"[0.1678526692032713, 0.16456406236786128, 0.16924757755704664, 0.1676882259756362, 0.17573007784956396]"
all-other-subjects,V4,MST,train,sub-03,linear_predictivity,656,147,0.22627750629813073,
all-other-subjects,V4,MST,test,sub-03,linear_predictivity,656,147,0.45799410941121,"[0.44824116412514764, 0.4573863111517246, 0.4546849181989816, 0.4682688664267246, 0.4613892871534718]"
