model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
all-other-subjects,V1,V1,train,sub-02,502,435,rsa,0.3513982594013214
all-other-subjects,V1,V2,train,sub-02,502,567,rsa,0.2949640452861786
all-other-subjects,V1,V3,train,sub-02,502,538,rsa,0.22780409455299377
all-other-subjects,V1,V4,train,sub-02,502,630,rsa,0.19246499240398407
all-other-subjects,V1,V3A,train,sub-02,502,273,rsa,0.1059989333152771
all-other-subjects,V1,V3B,train,sub-02,502,148,rsa,0.10175373405218124
all-other-subjects,V1,V6,train,sub-02,502,147,rsa,0.056378237903118134
all-other-subjects,V1,V6A,train,sub-02,502,82,rsa,0.032588981091976166
all-other-subjects,V1,V7,train,sub-02,502,88,rsa,0.05540880933403969
all-other-subjects,V1,V8,train,sub-02,502,105,rsa,0.10965526103973389
all-other-subjects,V1,FFC,train,sub-02,502,269,rsa,0.04407878965139389
all-other-subjects,V1,PIT,train,sub-02,502,110,rsa,0.04348691925406456
all-other-subjects,V1,IPS1,train,sub-02,502,212,rsa,0.03887872397899628
all-other-subjects,V1,MST,train,sub-02,502,149,rsa,0.06514865159988403
all-other-subjects,V1,MT,train,sub-02,502,99,rsa,0.09397728741168976
all-other-subjects,V1,FST,train,sub-02,502,171,rsa,0.056368738412857056
all-other-subjects,V1,LO1,train,sub-02,502,78,rsa,0.0769658163189888
all-other-subjects,V1,LO2,train,sub-02,502,82,rsa,0.09336081147193909
all-other-subjects,V1,LO3,train,sub-02,502,124,rsa,0.046507712453603745
all-other-subjects,V2,V1,train,sub-02,543,435,rsa,0.29496145248413086
all-other-subjects,V2,V2,train,sub-02,543,567,rsa,0.33686187863349915
all-other-subjects,V2,V3,train,sub-02,543,538,rsa,0.24776415526866913
all-other-subjects,V2,V4,train,sub-02,543,630,rsa,0.20072005689144135
all-other-subjects,V2,V3A,train,sub-02,543,273,rsa,0.12568825483322144
all-other-subjects,V2,V3B,train,sub-02,543,148,rsa,0.09144943207502365
all-other-subjects,V2,V6,train,sub-02,543,147,rsa,0.0714367926120758
all-other-subjects,V2,V6A,train,sub-02,543,82,rsa,0.04450731724500656
all-other-subjects,V2,V7,train,sub-02,543,88,rsa,0.07350165396928787
all-other-subjects,V2,V8,train,sub-02,543,105,rsa,0.1337508261203766
all-other-subjects,V2,FFC,train,sub-02,543,269,rsa,0.0453246608376503
all-other-subjects,V2,PIT,train,sub-02,543,110,rsa,0.04294129088521004
all-other-subjects,V2,IPS1,train,sub-02,543,212,rsa,0.041887737810611725
all-other-subjects,V2,MST,train,sub-02,543,149,rsa,0.07607239484786987
all-other-subjects,V2,MT,train,sub-02,543,99,rsa,0.07309166342020035
all-other-subjects,V2,FST,train,sub-02,543,171,rsa,0.059759099036455154
all-other-subjects,V2,LO1,train,sub-02,543,78,rsa,0.07532650977373123
all-other-subjects,V2,LO2,train,sub-02,543,82,rsa,0.08758677542209625
all-other-subjects,V2,LO3,train,sub-02,543,124,rsa,0.04889518395066261
all-other-subjects,V3,V1,train,sub-02,478,435,rsa,0.2784338891506195
all-other-subjects,V3,V2,train,sub-02,478,567,rsa,0.29713255167007446
all-other-subjects,V3,V3,train,sub-02,478,538,rsa,0.2681248188018799
all-other-subjects,V3,V4,train,sub-02,478,630,rsa,0.24217237532138824
all-other-subjects,V3,V3A,train,sub-02,478,273,rsa,0.1499534249305725
all-other-subjects,V3,V3B,train,sub-02,478,148,rsa,0.0980294868350029
all-other-subjects,V3,V6,train,sub-02,478,147,rsa,0.06255088746547699
all-other-subjects,V3,V6A,train,sub-02,478,82,rsa,0.04930723458528519
all-other-subjects,V3,V7,train,sub-02,478,88,rsa,0.07487370818853378
all-other-subjects,V3,V8,train,sub-02,478,105,rsa,0.14116109907627106
all-other-subjects,V3,FFC,train,sub-02,478,269,rsa,0.041719771921634674
all-other-subjects,V3,PIT,train,sub-02,478,110,rsa,0.05083494260907173
all-other-subjects,V3,IPS1,train,sub-02,478,212,rsa,0.04735160619020462
all-other-subjects,V3,MST,train,sub-02,478,149,rsa,0.06791839748620987
all-other-subjects,V3,MT,train,sub-02,478,99,rsa,0.059358563274145126
all-other-subjects,V3,FST,train,sub-02,478,171,rsa,0.0663764625787735
all-other-subjects,V3,LO1,train,sub-02,478,78,rsa,0.09229834377765656
all-other-subjects,V3,LO2,train,sub-02,478,82,rsa,0.10938967764377594
all-other-subjects,V3,LO3,train,sub-02,478,124,rsa,0.05205535143613815
all-other-subjects,V4,V1,train,sub-02,652,435,rsa,0.20970045030117035
all-other-subjects,V4,V2,train,sub-02,652,567,rsa,0.2361556589603424
all-other-subjects,V4,V3,train,sub-02,652,538,rsa,0.28502270579338074
all-other-subjects,V4,V4,train,sub-02,652,630,rsa,0.362364798784256
all-other-subjects,V4,V3A,train,sub-02,652,273,rsa,0.12980569899082184
all-other-subjects,V4,V3B,train,sub-02,652,148,rsa,0.130151629447937
all-other-subjects,V4,V6,train,sub-02,652,147,rsa,0.07586480677127838
all-other-subjects,V4,V6A,train,sub-02,652,82,rsa,0.06258045881986618
all-other-subjects,V4,V7,train,sub-02,652,88,rsa,0.09120406210422516
all-other-subjects,V4,V8,train,sub-02,652,105,rsa,0.22911106050014496
all-other-subjects,V4,FFC,train,sub-02,652,269,rsa,0.1250545233488083
all-other-subjects,V4,PIT,train,sub-02,652,110,rsa,0.11601772159337997
all-other-subjects,V4,IPS1,train,sub-02,652,212,rsa,0.0967802107334137
all-other-subjects,V4,MST,train,sub-02,652,149,rsa,0.11858883500099182
all-other-subjects,V4,MT,train,sub-02,652,99,rsa,0.1118500679731369
all-other-subjects,V4,FST,train,sub-02,652,171,rsa,0.10924118012189865
all-other-subjects,V4,LO1,train,sub-02,652,78,rsa,0.16406157612800598
all-other-subjects,V4,LO2,train,sub-02,652,82,rsa,0.16841043531894684
all-other-subjects,V4,LO3,train,sub-02,652,124,rsa,0.1486048400402069
all-other-subjects,V3A,V1,train,sub-02,242,435,rsa,0.07597844302654266
all-other-subjects,V3A,V2,train,sub-02,242,567,rsa,0.12668316066265106
all-other-subjects,V3A,V3,train,sub-02,242,538,rsa,0.13265275955200195
all-other-subjects,V3A,V4,train,sub-02,242,630,rsa,0.1728644222021103
all-other-subjects,V3A,V3A,train,sub-02,242,273,rsa,0.2137940675020218
all-other-subjects,V3A,V3B,train,sub-02,242,148,rsa,0.09615293145179749
all-other-subjects,V3A,V6,train,sub-02,242,147,rsa,0.0900658592581749
all-other-subjects,V3A,V6A,train,sub-02,242,82,rsa,0.08844627439975739
all-other-subjects,V3A,V7,train,sub-02,242,88,rsa,0.10861635208129883
all-other-subjects,V3A,V8,train,sub-02,242,105,rsa,0.14659938216209412
all-other-subjects,V3A,FFC,train,sub-02,242,269,rsa,0.0574905090034008
all-other-subjects,V3A,PIT,train,sub-02,242,110,rsa,0.04930495470762253
all-other-subjects,V3A,IPS1,train,sub-02,242,212,rsa,0.08099595457315445
all-other-subjects,V3A,MST,train,sub-02,242,149,rsa,0.07347313314676285
all-other-subjects,V3A,MT,train,sub-02,242,99,rsa,0.10110952705144882
all-other-subjects,V3A,FST,train,sub-02,242,171,rsa,0.09452828764915466
all-other-subjects,V3A,LO1,train,sub-02,242,78,rsa,0.05546795204281807
all-other-subjects,V3A,LO2,train,sub-02,242,82,rsa,0.09810929000377655
all-other-subjects,V3A,LO3,train,sub-02,242,124,rsa,0.08595026284456253
all-other-subjects,V3B,V1,train,sub-02,150,435,rsa,0.050230398774147034
all-other-subjects,V3B,V2,train,sub-02,150,567,rsa,0.08212324976921082
all-other-subjects,V3B,V3,train,sub-02,150,538,rsa,0.099483922123909
all-other-subjects,V3B,V4,train,sub-02,150,630,rsa,0.19238589704036713
all-other-subjects,V3B,V3A,train,sub-02,150,273,rsa,0.1279318779706955
all-other-subjects,V3B,V3B,train,sub-02,150,148,rsa,0.13005343079566956
all-other-subjects,V3B,V6,train,sub-02,150,147,rsa,0.08728047460317612
all-other-subjects,V3B,V6A,train,sub-02,150,82,rsa,0.07129644602537155
all-other-subjects,V3B,V7,train,sub-02,150,88,rsa,0.08305919915437698
all-other-subjects,V3B,V8,train,sub-02,150,105,rsa,0.16423791646957397
all-other-subjects,V3B,FFC,train,sub-02,150,269,rsa,0.05670410394668579
all-other-subjects,V3B,PIT,train,sub-02,150,110,rsa,0.06166882812976837
all-other-subjects,V3B,IPS1,train,sub-02,150,212,rsa,0.10266893357038498
all-other-subjects,V3B,MST,train,sub-02,150,149,rsa,0.07915977388620377
all-other-subjects,V3B,MT,train,sub-02,150,99,rsa,0.1472473293542862
all-other-subjects,V3B,FST,train,sub-02,150,171,rsa,0.08197341859340668
all-other-subjects,V3B,LO1,train,sub-02,150,78,rsa,0.08318884670734406
all-other-subjects,V3B,LO2,train,sub-02,150,82,rsa,0.10231318324804306
all-other-subjects,V3B,LO3,train,sub-02,150,124,rsa,0.08149851113557816
all-other-subjects,V6,V1,train,sub-02,103,435,rsa,0.02842433750629425
all-other-subjects,V6,V2,train,sub-02,103,567,rsa,0.040430277585983276
all-other-subjects,V6,V3,train,sub-02,103,538,rsa,0.04319385811686516
all-other-subjects,V6,V4,train,sub-02,103,630,rsa,0.0658206194639206
all-other-subjects,V6,V3A,train,sub-02,103,273,rsa,0.11268187314271927
all-other-subjects,V6,V3B,train,sub-02,103,148,rsa,0.1047763004899025
all-other-subjects,V6,V6,train,sub-02,103,147,rsa,0.1576239913702011
all-other-subjects,V6,V6A,train,sub-02,103,82,rsa,0.08314022421836853
all-other-subjects,V6,V7,train,sub-02,103,88,rsa,0.13476990163326263
all-other-subjects,V6,V8,train,sub-02,103,105,rsa,0.05857570841908455
all-other-subjects,V6,FFC,train,sub-02,103,269,rsa,0.05929604545235634
all-other-subjects,V6,PIT,train,sub-02,103,110,rsa,0.03405182063579559
all-other-subjects,V6,IPS1,train,sub-02,103,212,rsa,0.06648962944746017
all-other-subjects,V6,MST,train,sub-02,103,149,rsa,0.07779867947101593
all-other-subjects,V6,MT,train,sub-02,103,99,rsa,0.08704468607902527
all-other-subjects,V6,FST,train,sub-02,103,171,rsa,0.10346420109272003
all-other-subjects,V6,LO1,train,sub-02,103,78,rsa,0.053007498383522034
all-other-subjects,V6,LO2,train,sub-02,103,82,rsa,0.07061254978179932
all-other-subjects,V6,LO3,train,sub-02,103,124,rsa,0.07985742390155792
all-other-subjects,V6A,V1,train,sub-02,96,435,rsa,0.03995564952492714
all-other-subjects,V6A,V2,train,sub-02,96,567,rsa,0.058658864349126816
all-other-subjects,V6A,V3,train,sub-02,96,538,rsa,0.08510641753673553
all-other-subjects,V6A,V4,train,sub-02,96,630,rsa,0.1401359736919403
all-other-subjects,V6A,V3A,train,sub-02,96,273,rsa,0.1885092705488205
all-other-subjects,V6A,V3B,train,sub-02,96,148,rsa,0.12031475454568863
all-other-subjects,V6A,V6,train,sub-02,96,147,rsa,0.1024889275431633
all-other-subjects,V6A,V6A,train,sub-02,96,82,rsa,0.12558169662952423
all-other-subjects,V6A,V7,train,sub-02,96,88,rsa,0.1482633501291275
all-other-subjects,V6A,V8,train,sub-02,96,105,rsa,0.13334015011787415
all-other-subjects,V6A,FFC,train,sub-02,96,269,rsa,0.11546959728002548
all-other-subjects,V6A,PIT,train,sub-02,96,110,rsa,0.08393480628728867
all-other-subjects,V6A,IPS1,train,sub-02,96,212,rsa,0.15648433566093445
all-other-subjects,V6A,MST,train,sub-02,96,149,rsa,0.10280449688434601
all-other-subjects,V6A,MT,train,sub-02,96,99,rsa,0.1610632836818695
all-other-subjects,V6A,FST,train,sub-02,96,171,rsa,0.1336633712053299
all-other-subjects,V6A,LO1,train,sub-02,96,78,rsa,0.10498754680156708
all-other-subjects,V6A,LO2,train,sub-02,96,82,rsa,0.12853169441223145
all-other-subjects,V6A,LO3,train,sub-02,96,124,rsa,0.1527843326330185
all-other-subjects,V7,V1,train,sub-02,89,435,rsa,0.04854423180222511
all-other-subjects,V7,V2,train,sub-02,89,567,rsa,0.07002481073141098
all-other-subjects,V7,V3,train,sub-02,89,538,rsa,0.09350639581680298
all-other-subjects,V7,V4,train,sub-02,89,630,rsa,0.13673606514930725
all-other-subjects,V7,V3A,train,sub-02,89,273,rsa,0.194650799036026
all-other-subjects,V7,V3B,train,sub-02,89,148,rsa,0.12962275743484497
all-other-subjects,V7,V6,train,sub-02,89,147,rsa,0.07631145417690277
all-other-subjects,V7,V6A,train,sub-02,89,82,rsa,0.06298166513442993
all-other-subjects,V7,V7,train,sub-02,89,88,rsa,0.14674215018749237
all-other-subjects,V7,V8,train,sub-02,89,105,rsa,0.11419092118740082
all-other-subjects,V7,FFC,train,sub-02,89,269,rsa,0.06863853335380554
all-other-subjects,V7,PIT,train,sub-02,89,110,rsa,0.061679691076278687
all-other-subjects,V7,IPS1,train,sub-02,89,212,rsa,0.06464938074350357
all-other-subjects,V7,MST,train,sub-02,89,149,rsa,0.08588287234306335
all-other-subjects,V7,MT,train,sub-02,89,99,rsa,0.12460913509130478
all-other-subjects,V7,FST,train,sub-02,89,171,rsa,0.09918878227472305
all-other-subjects,V7,LO1,train,sub-02,89,78,rsa,0.08133184164762497
all-other-subjects,V7,LO2,train,sub-02,89,82,rsa,0.10998928546905518
all-other-subjects,V7,LO3,train,sub-02,89,124,rsa,0.1174798458814621
all-other-subjects,V8,V1,train,sub-02,113,435,rsa,0.08345317095518112
all-other-subjects,V8,V2,train,sub-02,113,567,rsa,0.13800831139087677
all-other-subjects,V8,V3,train,sub-02,113,538,rsa,0.14152933657169342
all-other-subjects,V8,V4,train,sub-02,113,630,rsa,0.26898685097694397
all-other-subjects,V8,V3A,train,sub-02,113,273,rsa,0.0962323471903801
all-other-subjects,V8,V3B,train,sub-02,113,148,rsa,0.09937138855457306
all-other-subjects,V8,V6,train,sub-02,113,147,rsa,0.07701616734266281
all-other-subjects,V8,V6A,train,sub-02,113,82,rsa,0.049160413444042206
all-other-subjects,V8,V7,train,sub-02,113,88,rsa,0.08116555958986282
all-other-subjects,V8,V8,train,sub-02,113,105,rsa,0.23658320307731628
all-other-subjects,V8,FFC,train,sub-02,113,269,rsa,0.17694056034088135
all-other-subjects,V8,PIT,train,sub-02,113,110,rsa,0.11779801547527313
all-other-subjects,V8,IPS1,train,sub-02,113,212,rsa,0.08343853801488876
all-other-subjects,V8,MST,train,sub-02,113,149,rsa,0.12755851447582245
all-other-subjects,V8,MT,train,sub-02,113,99,rsa,0.14936712384223938
all-other-subjects,V8,FST,train,sub-02,113,171,rsa,0.0994405597448349
all-other-subjects,V8,LO1,train,sub-02,113,78,rsa,0.15393710136413574
all-other-subjects,V8,LO2,train,sub-02,113,82,rsa,0.14762409031391144
all-other-subjects,V8,LO3,train,sub-02,113,124,rsa,0.20730189979076385
all-other-subjects,FFC,V1,train,sub-02,315,435,rsa,0.0592847540974617
all-other-subjects,FFC,V2,train,sub-02,315,567,rsa,0.0908551812171936
all-other-subjects,FFC,V3,train,sub-02,315,538,rsa,0.1565972864627838
all-other-subjects,FFC,V4,train,sub-02,315,630,rsa,0.21611572802066803
all-other-subjects,FFC,V3A,train,sub-02,315,273,rsa,0.12313861399888992
all-other-subjects,FFC,V3B,train,sub-02,315,148,rsa,0.12014622986316681
all-other-subjects,FFC,V6,train,sub-02,315,147,rsa,0.09025033563375473
all-other-subjects,FFC,V6A,train,sub-02,315,82,rsa,0.04495188221335411
all-other-subjects,FFC,V7,train,sub-02,315,88,rsa,0.1130230501294136
all-other-subjects,FFC,V8,train,sub-02,315,105,rsa,0.16547629237174988
all-other-subjects,FFC,FFC,train,sub-02,315,269,rsa,0.3499259054660797
all-other-subjects,FFC,PIT,train,sub-02,315,110,rsa,0.20191895961761475
all-other-subjects,FFC,IPS1,train,sub-02,315,212,rsa,0.08055602759122849
all-other-subjects,FFC,MST,train,sub-02,315,149,rsa,0.21226395666599274
all-other-subjects,FFC,MT,train,sub-02,315,99,rsa,0.18980221450328827
all-other-subjects,FFC,FST,train,sub-02,315,171,rsa,0.19252194464206696
all-other-subjects,FFC,LO1,train,sub-02,315,78,rsa,0.16090838611125946
all-other-subjects,FFC,LO2,train,sub-02,315,82,rsa,0.2664721608161926
all-other-subjects,FFC,LO3,train,sub-02,315,124,rsa,0.2676003575325012
all-other-subjects,PIT,V1,train,sub-02,124,435,rsa,0.0790022537112236
all-other-subjects,PIT,V2,train,sub-02,124,567,rsa,0.10533291846513748
all-other-subjects,PIT,V3,train,sub-02,124,538,rsa,0.13689574599266052
all-other-subjects,PIT,V4,train,sub-02,124,630,rsa,0.22457528114318848
all-other-subjects,PIT,V3A,train,sub-02,124,273,rsa,0.08625787496566772
all-other-subjects,PIT,V3B,train,sub-02,124,148,rsa,0.1188749447464943
