model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-01,V1,V1,train,sub-03,linear_predictivity,1221,361,0.06952436486492493,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2438358078077008,1.3004650561155404,0.7559403687613816,0.9262908594872018
sub-01,V1,V1,test,sub-03,linear_predictivity,1221,361,0.18802934640035437,"[0.18626788763734461, 0.19041459250475767, 0.18791080122682688, 0.1944855536253777, 0.18106789700746506]",,,,,
sub-01,V1,V2,train,sub-03,linear_predictivity,1221,525,0.07125316666672193,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.24866465513295638,1.294394864235398,0.7510887008639896,0.9239351092103097
sub-01,V1,V2,test,sub-03,linear_predictivity,1221,525,0.17868542860061004,"[0.1736534387257325, 0.18221530237530958, 0.17975390128554466, 0.18501449783565876, 0.1727900027808047]",,,,,
sub-01,V1,V3,train,sub-03,linear_predictivity,1221,361,0.10417089639407885,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2711525523626065,1.2563340681532769,0.7286416837019793,0.8918846884820176
sub-01,V1,V3,test,sub-03,linear_predictivity,1221,361,0.2334325467696242,"[0.2294417374357582, 0.23913581590082808, 0.23564272505003672, 0.23587430727456246, 0.22706814818693563]",,,,,
sub-01,V1,V4,train,sub-03,linear_predictivity,1221,555,0.06414001931001354,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23930574788341566,1.2912878296944958,0.7604345582020494,0.9307591341944104
sub-01,V1,V4,test,sub-03,linear_predictivity,1221,555,0.16213237412346015,"[0.1662326963798043, 0.1648730312396518, 0.16941805805463897, 0.15706447060411347, 0.15307361433909233]",,,,,
sub-01,V1,V3A,train,sub-03,linear_predictivity,1221,198,0.0387078643736121,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.12710708024090955,1.3046428347656052,0.872599112281548,0.9562262299161924
sub-01,V1,V3A,test,sub-03,linear_predictivity,1221,198,0.10306989753886124,"[0.09675884360262887, 0.11074569530368948, 0.10509504278731074, 0.10052959256840946, 0.10222031343226769]",,,,,
sub-01,V1,V3B,train,sub-03,linear_predictivity,1221,149,0.03292035231416973,,"[10000.0, 10000.0, 3162.277660168379, 10000.0, 10000.0]",0.1461695440074609,1.3128680543470312,0.8535998703355304,0.9619439662676788
sub-01,V1,V3B,test,sub-03,linear_predictivity,1221,149,0.10677045293974659,"[0.09810869346075361, 0.10902751624121375, 0.12435361042816671, 0.10063682183956668, 0.1017256227290322]",,,,,
sub-01,V1,V6,train,sub-03,linear_predictivity,1221,157,0.030779581108774687,,"[10000.0, 10000.0, 10000.0, 3162.277660168379, 10000.0]",0.14009635685030214,1.3300836576655195,0.8596493520233631,0.964630801837532
sub-01,V1,V6,test,sub-03,linear_predictivity,1221,157,0.09816951733401517,"[0.08973990064346057, 0.09932484362662455, 0.09586744856039553, 0.11519446827947741, 0.09072092556011778]",,,,,
