model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-01,V1,V1,train,sub-03,1221,361,rsa,0.08640752732753754
sub-01,V1,V2,train,sub-03,1221,525,rsa,0.09894078969955444
sub-01,V1,V3,train,sub-03,1221,361,rsa,0.08022432029247284
sub-01,V1,V4,train,sub-03,1221,555,rsa,0.05786342918872833
sub-01,V1,V3A,train,sub-03,1221,198,rsa,0.03191833198070526
sub-01,V1,V3B,train,sub-03,1221,149,rsa,0.020695047453045845
sub-01,V1,V6,train,sub-03,1221,157,rsa,0.022954778745770454
sub-01,V1,V6A,train,sub-03,1221,68,rsa,0.015229557640850544
sub-01,V1,V7,train,sub-03,1221,88,rsa,0.01852196641266346
sub-01,V1,V8,train,sub-03,1221,111,rsa,0.025809742510318756
sub-01,V1,FFC,train,sub-03,1221,301,rsa,0.025426561012864113
sub-01,V1,PIT,train,sub-03,1221,105,rsa,0.021797075867652893
sub-01,V1,IPS1,train,sub-03,1221,123,rsa,0.01596410758793354
sub-01,V1,MST,train,sub-03,1221,147,rsa,0.02307538129389286
sub-01,V1,MT,train,sub-03,1221,98,rsa,0.02870720438659191
sub-01,V1,FST,train,sub-03,1221,166,rsa,0.025478098541498184
sub-01,V1,LO1,train,sub-03,1221,74,rsa,0.016761556267738342
sub-01,V1,LO2,train,sub-03,1221,75,rsa,0.017022771760821342
sub-01,V1,LO3,train,sub-03,1221,124,rsa,0.01426600106060505
sub-01,V1,V7,train,sub-03,1221,88,rsa,0.01852196641266346
sub-01,V1,IP0,train,sub-03,1221,110,rsa,0.024392953142523766
sub-01,V1,IP1,train,sub-03,1221,17,rsa,0.004540865309536457
sub-01,V1,MIP,train,sub-03,1221,176,rsa,0.014141258783638477
sub-01,V1,VIP,train,sub-03,1221,150,rsa,0.010452155955135822
sub-01,V1,LIPd,train,sub-03,1221,22,rsa,0.004363815300166607
sub-01,V1,LIPv,train,sub-03,1221,178,rsa,0.009637058712542057
sub-01,V1,AIP,train,sub-03,1221,121,rsa,0.0031758532859385014
sub-01,V1,7Pm,train,sub-03,1221,23,rsa,0.003269492881372571
sub-01,V1,7PL,train,sub-03,1221,32,rsa,0.009325753897428513
sub-01,V1,7PC,train,sub-03,1221,241,rsa,0.005579286254942417
sub-01,V1,7Am,train,sub-03,1221,115,rsa,0.004788956139236689
sub-01,V1,7AL,train,sub-03,1221,210,rsa,0.009295149706304073
sub-01,V1,VVC,train,sub-03,1221,185,rsa,0.016955804079771042
sub-01,V1,VMV2,train,sub-03,1221,108,rsa,0.021023128181695938
sub-01,V1,VMV3,train,sub-03,1221,111,rsa,0.022194845601916313
sub-01,V1,VMV1,train,sub-03,1221,73,rsa,0.020592080429196358
sub-01,V1,PHA2,train,sub-03,1221,17,rsa,0.005627957172691822
sub-01,V1,PHA3,train,sub-03,1221,86,rsa,0.009566039778292179
sub-01,V1,PH,train,sub-03,1221,280,rsa,0.018658772110939026
sub-01,V2,V1,train,sub-03,925,361,rsa,0.10426872223615646
sub-01,V2,V2,train,sub-03,925,525,rsa,0.12281173467636108
