model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-08,V1,V1,train,sub-07,linear_predictivity,560,420,0.06055745121483497,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16449867839682164,1.1194739702697563,0.8352174463235666,0.9345094385879547
sub-08,V1,V1,test,sub-07,linear_predictivity,560,420,0.10173898582478755,"[0.1088898239520068, 0.10458805893318401, 0.10064362701626335, 0.09552611515099615, 0.0990473040714874]",,,,,
sub-08,V1,V2,train,sub-07,linear_predictivity,560,470,0.058296813880448356,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16375644654522062,1.1189649382254137,0.8359645656346796,0.9367560315272074
sub-08,V1,V2,test,sub-07,linear_predictivity,560,470,0.11808095214059237,"[0.12226134210012672, 0.12505975563239727, 0.12419832399964367, 0.1099179687700829, 0.10896737020071126]",,,,,
sub-08,V1,V3,train,sub-07,linear_predictivity,560,348,0.029739594325109257,,"[10000.0, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.11968296911960855,1.135664790583092,0.8795874899504372,0.9642419162698606
sub-08,V1,V3,test,sub-07,linear_predictivity,560,348,0.08571950584736707,"[0.07825696899805401, 0.10535189759455335, 0.07449273721223357, 0.08749284773148315, 0.08300307770051132]",,,,,
sub-08,V1,V4,train,sub-07,linear_predictivity,560,451,0.01438212881068012,,"[10000.0, 10000.0, 10000.0, 3162.277660168379, 3162.277660168379]",0.09519833849355333,1.1514444442535758,0.9044123129983186,0.9797716122875377
sub-08,V1,V4,test,sub-07,linear_predictivity,560,451,0.05169636365042627,"[0.0495489731860597, 0.052266971635876014, 0.04742167445477684, 0.048500662441792415, 0.060743536533626435]",,,,,
sub-08,V1,V3A,train,sub-07,linear_predictivity,560,55,0.0018591577164688102,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.060355758640121104,1.1621421785579886,0.9392988331632743,0.9916350821075254
sub-08,V1,V3A,test,sub-07,linear_predictivity,560,55,0.04924527260274561,"[0.04712483060548445, 0.05590733271004767, 0.05111677899189603, 0.043715175170574126, 0.048362245535725774]",,,,,
