model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-08,V1,V1,train,sub-06,linear_predictivity,560,597,0.13238827660753924,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.22633283299361867,1.068638132668331,0.7734246554211421,0.8633410395959465
sub-08,V1,V1,test,sub-06,linear_predictivity,560,597,0.200472736825878,"[0.20391850883181958, 0.1990578313947475, 0.19661284197947704, 0.20088111585047808, 0.20189338607286772]",,,,,
sub-08,V1,V2,train,sub-06,linear_predictivity,560,631,0.09680303633703766,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1964961784978806,1.0920829382747752,0.8032293326630148,0.8983671059798667
sub-08,V1,V2,test,sub-06,linear_predictivity,560,631,0.13601540649044214,"[0.14178011280143277, 0.1260228723174858, 0.1319196362820456, 0.14111693434594905, 0.13923747670529754]",,,,,
sub-08,V1,V3,train,sub-06,linear_predictivity,560,432,0.10887069604018071,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.207219609099723,1.0834561595909522,0.7925163156315136,0.8865500688308889
sub-08,V1,V3,test,sub-06,linear_predictivity,560,432,0.16605767182438438,"[0.16811871868332984, 0.16554111673459945, 0.15967416734142825, 0.16866338842747985, 0.16829096793508444]",,,,,
sub-08,V1,V4,train,sub-06,linear_predictivity,560,560,0.09903684883041873,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 1000.0, 3162.277660168379]",0.21567873371087556,1.0840382049316202,0.7841942477379154,0.8967199595122232
sub-08,V1,V4,test,sub-06,linear_predictivity,560,560,0.1882509044701754,"[0.18267030977898924, 0.18296815275326292, 0.18099150281867935, 0.21095285595063942, 0.18367170104930602]",,,,,
sub-08,V1,V3A,train,sub-06,linear_predictivity,560,161,0.032479400608942145,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13915963974516785,1.141552610467272,0.860639513762324,0.9638649556527907
sub-08,V1,V3A,test,sub-06,linear_predictivity,560,161,0.0701920804712221,"[0.06968497609026549, 0.06984366397285872, 0.06574519983754255, 0.07719715181947231, 0.06848941063597141]",,,,,
sub-08,V1,V3B,train,sub-06,linear_predictivity,560,86,0.013322441871517744,,"[3162.277660168379, 3162.277660168379, 10000.0, 10000.0, 10000.0]",0.08924871790865403,1.1554737056452495,0.910619791383313,0.9830380378832639
sub-08,V1,V3B,test,sub-06,linear_predictivity,560,86,0.05654154693468756,"[0.061059755615468, 0.06418231817635173, 0.053862598981233516, 0.05064614195357703, 0.05295691994680751]",,,,,
sub-08,V1,V6,train,sub-06,linear_predictivity,560,86,0.02114191446717385,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13276469700877186,1.1450762265417598,0.8668843739197312,0.9726350536328127
sub-08,V1,V6,test,sub-06,linear_predictivity,560,86,0.08577931489489003,"[0.08038754421986179, 0.08798427163170158, 0.0755235683707379, 0.09450510563634475, 0.09049608461580419]",,,,,
sub-08,V1,V6A,train,sub-06,linear_predictivity,560,73,0.034418389452314284,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14213015350569447,1.1264601244611032,0.8575886940279027,0.9604998350139413
sub-08,V1,V6A,test,sub-06,linear_predictivity,560,73,0.08614973016405576,"[0.0878708298886806, 0.08337428852724159, 0.08586634801449841, 0.08608650040081171, 0.08755068398904647]",,,,,
