model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-08,V1,V1,train,sub-06,560,597,rsa,0.2014244943857193
sub-08,V1,V2,train,sub-06,560,631,rsa,0.14289726316928864
sub-08,V1,V3,train,sub-06,560,432,rsa,0.1335737109184265
sub-08,V1,V4,train,sub-06,560,560,rsa,0.11069604009389877
sub-08,V1,V3A,train,sub-06,560,161,rsa,0.040502145886421204
sub-08,V1,V3B,train,sub-06,560,86,rsa,0.018252551555633545
sub-08,V1,V6,train,sub-06,560,86,rsa,0.02221216820180416
sub-08,V1,V6A,train,sub-06,560,73,rsa,0.022959675639867783
sub-08,V1,V7,train,sub-06,560,83,rsa,0.021484972909092903
sub-08,V1,V8,train,sub-06,560,107,rsa,0.04038967192173004
sub-08,V1,FFC,train,sub-06,560,217,rsa,0.04680106043815613
sub-08,V1,PIT,train,sub-06,560,105,rsa,0.0558164045214653
sub-08,V1,IPS1,train,sub-06,560,150,rsa,0.013771182857453823
sub-08,V1,MST,train,sub-06,560,148,rsa,0.04295603558421135
sub-08,V1,MT,train,sub-06,560,95,rsa,0.0379352867603302
sub-08,V1,FST,train,sub-06,560,174,rsa,0.024623069912195206
sub-08,V1,LO1,train,sub-06,560,75,rsa,0.044871386140584946
sub-08,V1,LO2,train,sub-06,560,78,rsa,0.03373699262738228
sub-08,V1,LO3,train,sub-06,560,115,rsa,0.02485845983028412
sub-08,V1,V7,train,sub-06,560,83,rsa,0.021484972909092903
sub-08,V1,IP0,train,sub-06,560,102,rsa,0.019235650077462196
sub-08,V1,IP1,train,sub-06,560,14,rsa,0.0005146822659298778
sub-08,V1,MIP,train,sub-06,560,111,rsa,0.01417330652475357
sub-08,V1,VIP,train,sub-06,560,150,rsa,0.01614854484796524
sub-08,V1,LIPd,train,sub-06,560,52,rsa,0.003183333668857813
sub-08,V1,LIPv,train,sub-06,560,205,rsa,0.01446365937590599
sub-08,V1,AIP,train,sub-06,560,244,rsa,0.0032324884086847305
sub-08,V1,7Pm,train,sub-06,560,3,rsa,0.00021348154405131936
sub-08,V1,7PL,train,sub-06,560,24,rsa,0.003427857533097267
sub-08,V1,7PC,train,sub-06,560,276,rsa,0.011592626571655273
sub-08,V1,7Am,train,sub-06,560,86,rsa,0.012501622550189495
sub-08,V1,7AL,train,sub-06,560,236,rsa,0.007511862553656101
sub-08,V1,VVC,train,sub-06,560,202,rsa,0.03885841369628906
sub-08,V1,VMV2,train,sub-06,560,69,rsa,0.02455543726682663
sub-08,V1,VMV3,train,sub-06,560,103,rsa,0.02067704126238823
sub-08,V1,VMV1,train,sub-06,560,21,rsa,0.011665519326925278
sub-08,V1,PHA2,train,sub-06,560,49,rsa,0.015813957899808884
sub-08,V1,PHA3,train,sub-06,560,156,rsa,0.02605987899005413
sub-08,V1,PH,train,sub-06,560,327,rsa,0.03443199396133423
sub-08,V2,V1,train,sub-06,482,597,rsa,0.19374747574329376
sub-08,V2,V2,train,sub-06,482,631,rsa,0.2268010824918747
sub-08,V2,V3,train,sub-06,482,432,rsa,0.18726424872875214
sub-08,V2,V4,train,sub-06,482,560,rsa,0.1779409945011139
sub-08,V2,V3A,train,sub-06,482,161,rsa,0.08032383024692535
