model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-02,V1,V1,train,sub-06,linear_predictivity,435,597,0.1413471491012532,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.28989227501631437,1.014245311011527,0.7098583571397867,0.8538774747239561
sub-02,V1,V1,test,sub-06,linear_predictivity,435,597,0.21217743235203704,"[0.220463236273666, 0.217866928063289, 0.1982751914328432, 0.20619221217017136, 0.21808959382021562]",,,,,
sub-02,V1,V2,train,sub-06,linear_predictivity,435,631,0.11838107753397835,,"[3162.277660168379, 1000.0, 3162.277660168379, 1000.0, 3162.277660168379]",0.22981689576983538,1.0307698288709353,0.7697750116116071,0.8766364807080029
sub-02,V1,V2,test,sub-06,linear_predictivity,435,631,0.16952948272148255,"[0.16936493540604655, 0.17773660135346495, 0.16400922076062635, 0.1700470063892803, 0.16648964969799449]",,,,,
sub-02,V1,V3,train,sub-06,linear_predictivity,435,432,0.13467135051258938,,"[3162.277660168379, 1000.0, 1000.0, 1000.0, 1000.0]",0.2705045023568838,1.0191752401016296,0.7292108301527684,0.8603472772279794
sub-02,V1,V3,test,sub-06,linear_predictivity,435,432,0.19800238591145203,"[0.1880341295256695, 0.20568679355819622, 0.1989801512204902, 0.19804330424352432, 0.19926755100937987]",,,,,
sub-02,V1,V4,train,sub-06,linear_predictivity,435,560,0.11930084979256356,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.26963997508838433,1.0267252920058323,0.7301135245860012,0.8759684091387463
sub-02,V1,V4,test,sub-06,linear_predictivity,435,560,0.2055865415463341,"[0.2059773530184467, 0.21073435872507384, 0.20478655984569996, 0.20038408289303425, 0.20605035324941567]",,,,,
sub-02,V1,V3A,train,sub-06,linear_predictivity,435,161,0.04439501430915883,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13155142120686922,1.08776027225414,0.8681914100508548,0.9514749656044525
sub-02,V1,V3A,test,sub-06,linear_predictivity,435,161,0.07501939306822912,"[0.07213512435945753, 0.07993236208163901, 0.07083005289440114, 0.0748961145347499, 0.07730331147089804]",,,,,
sub-02,V1,V3B,train,sub-06,linear_predictivity,435,86,0.015946131356683494,,"[10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.09724438963960388,1.105439679871172,0.90240748290311,0.9799225473537332
sub-02,V1,V3B,test,sub-06,linear_predictivity,435,86,0.06733319191089651,"[0.056733021607052604, 0.076922593424006, 0.06895815605388013, 0.06717235653131873, 0.06687983193822512]",,,,,
sub-02,V1,V6,train,sub-06,linear_predictivity,435,86,0.029466901569562512,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12123114857131845,1.0927885544868077,0.8783995003946208,0.9641157214912768
sub-02,V1,V6,test,sub-06,linear_predictivity,435,86,0.0809219277330512,"[0.0801153506286802, 0.08799856307855011, 0.07799979363998331, 0.07782776365270477, 0.08066816766533758]",,,,,
sub-02,V1,V6A,train,sub-06,linear_predictivity,435,73,0.03598721289174821,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12320972288039973,1.0918926356420573,0.8764799191267303,0.958927983183502
sub-02,V1,V6A,test,sub-06,linear_predictivity,435,73,0.043077869819213924,"[0.044671119419482624, 0.04286176574873535, 0.03627151525148541, 0.04551039770776266, 0.04607455096860354]",,,,,
sub-02,V1,V7,train,sub-06,linear_predictivity,435,83,0.03953332683257864,,"[3162.277660168379, 1000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1463379189020509,1.0846609204036777,0.853042030004656,0.9541099702676394
sub-02,V1,V7,test,sub-06,linear_predictivity,435,83,0.045825106057411406,"[0.045887690431198794, 0.06564709169687272, 0.040748970981630744, 0.03108849873833802, 0.045753278439016755]",,,,,
sub-02,V1,V8,train,sub-06,linear_predictivity,435,107,0.06711926752212709,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15203171680719935,1.065698967448571,0.8477758158913751,0.9297783885095733
sub-02,V1,V8,test,sub-06,linear_predictivity,435,107,0.11941227234257472,"[0.12068423747643452, 0.11879231445451997, 0.12357365548317938, 0.11281378769869242, 0.1211973666000473]",,,,,
sub-02,V1,FFC,train,sub-06,linear_predictivity,435,217,0.04623754063252627,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13262823827925851,1.0798505335300697,0.8671767900975877,0.9503569486099834
sub-02,V1,FFC,test,sub-06,linear_predictivity,435,217,0.04638073344011391,"[0.04390012178357899, 0.0481745360583488, 0.045946983123005214, 0.044535584671367, 0.04934644156426956]",,,,,
sub-02,V1,PIT,train,sub-06,linear_predictivity,435,105,0.0878195985266415,,"[3162.277660168379, 3162.277660168379, 1000.0, 3162.277660168379, 3162.277660168379]",0.1893492417003918,1.0458481271390867,0.8104178978048194,0.9090640078981048
sub-02,V1,PIT,test,sub-06,linear_predictivity,435,105,0.17756050487656028,"[0.1742220951008431, 0.18031993763667223, 0.18653743776541892, 0.16856416047622388, 0.1781588934036432]",,,,,
sub-02,V1,IPS1,train,sub-06,linear_predictivity,435,150,0.01007647037685271,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10099459649401847,1.1089630634565761,0.8987219666377975,0.9851520897435666
