model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-02,V1,V1,train,sub-06,435,597,rsa,0.2521674633026123
sub-02,V1,V2,train,sub-06,435,631,rsa,0.22597773373126984
sub-02,V1,V3,train,sub-06,435,432,rsa,0.20986308157444
sub-02,V1,V4,train,sub-06,435,560,rsa,0.15636271238327026
sub-02,V1,V3A,train,sub-06,435,161,rsa,0.05327656492590904
sub-02,V1,V3B,train,sub-06,435,86,rsa,0.014700783416628838
sub-02,V1,V6,train,sub-06,435,86,rsa,0.028568729758262634
sub-02,V1,V6A,train,sub-06,435,73,rsa,0.022091766819357872
sub-02,V1,V7,train,sub-06,435,83,rsa,0.025988038629293442
sub-02,V1,V8,train,sub-06,435,107,rsa,0.06090589612722397
sub-02,V1,FFC,train,sub-06,435,217,rsa,0.04889681562781334
sub-02,V1,PIT,train,sub-06,435,105,rsa,0.08342450112104416
sub-02,V1,IPS1,train,sub-06,435,150,rsa,0.02158540114760399
sub-02,V1,MST,train,sub-06,435,148,rsa,0.055624522268772125
sub-02,V1,MT,train,sub-06,435,95,rsa,0.056214429438114166
sub-02,V1,FST,train,sub-06,435,174,rsa,0.027308503165841103
sub-02,V1,LO1,train,sub-06,435,75,rsa,0.0635710060596466
sub-02,V1,LO2,train,sub-06,435,78,rsa,0.048935599625110626
sub-02,V1,LO3,train,sub-06,435,115,rsa,0.02645227685570717
sub-02,V1,V7,train,sub-06,435,83,rsa,0.025988038629293442
sub-02,V1,IP0,train,sub-06,435,102,rsa,0.02347053587436676
sub-02,V1,IP1,train,sub-06,435,14,rsa,0.008328141644597054
sub-02,V1,MIP,train,sub-06,435,111,rsa,0.02177988737821579
sub-02,V1,VIP,train,sub-06,435,150,rsa,0.02683108299970627
sub-02,V1,LIPd,train,sub-06,435,52,rsa,0.007616068702191114
sub-02,V1,LIPv,train,sub-06,435,205,rsa,0.018487591296434402
sub-02,V1,AIP,train,sub-06,435,244,rsa,0.004107215907424688
sub-02,V1,7Pm,train,sub-06,435,3,rsa,0.0003846443723887205
sub-02,V1,7PL,train,sub-06,435,24,rsa,0.004878873471170664
sub-02,V1,7PC,train,sub-06,435,276,rsa,0.008103908970952034
sub-02,V1,7Am,train,sub-06,435,86,rsa,0.01556994579732418
sub-02,V1,7AL,train,sub-06,435,236,rsa,0.008385264314711094
sub-02,V1,VVC,train,sub-06,435,202,rsa,0.03814123943448067
sub-02,V1,VMV2,train,sub-06,435,69,rsa,0.024517593905329704
sub-02,V1,VMV3,train,sub-06,435,103,rsa,0.03173990175127983
sub-02,V1,VMV1,train,sub-06,435,21,rsa,0.006164838094264269
sub-02,V1,PHA2,train,sub-06,435,49,rsa,0.01716904155910015
sub-02,V1,PHA3,train,sub-06,435,156,rsa,0.02756367065012455
sub-02,V1,PH,train,sub-06,435,327,rsa,0.03731835260987282
sub-02,V2,V1,train,sub-06,567,597,rsa,0.23369106650352478
sub-02,V2,V2,train,sub-06,567,631,rsa,0.2406892478466034
sub-02,V2,V3,train,sub-06,567,432,rsa,0.2108006328344345
sub-02,V2,V4,train,sub-06,567,560,rsa,0.18682928383350372
sub-02,V2,V3A,train,sub-06,567,161,rsa,0.07678736001253128
sub-02,V2,V3B,train,sub-06,567,86,rsa,0.034458935260772705
sub-02,V2,V6,train,sub-06,567,86,rsa,0.03575536236166954
sub-02,V2,V6A,train,sub-06,567,73,rsa,0.034515026956796646
sub-02,V2,V7,train,sub-06,567,83,rsa,0.03975212201476097
sub-02,V2,V8,train,sub-06,567,107,rsa,0.0969405546784401
sub-02,V2,FFC,train,sub-06,567,217,rsa,0.0751105546951294
sub-02,V2,PIT,train,sub-06,567,105,rsa,0.12195966392755508
sub-02,V2,IPS1,train,sub-06,567,150,rsa,0.0251614972949028
sub-02,V2,MST,train,sub-06,567,148,rsa,0.08254793286323547
sub-02,V2,MT,train,sub-06,567,95,rsa,0.07382694631814957
sub-02,V2,FST,train,sub-06,567,174,rsa,0.037945277988910675
sub-02,V2,LO1,train,sub-06,567,75,rsa,0.06482013314962387
sub-02,V2,LO2,train,sub-06,567,78,rsa,0.05552290752530098
sub-02,V2,LO3,train,sub-06,567,115,rsa,0.031584274023771286
sub-02,V2,V7,train,sub-06,567,83,rsa,0.03975212201476097
sub-02,V2,IP0,train,sub-06,567,102,rsa,0.03294244036078453
sub-02,V2,IP1,train,sub-06,567,14,rsa,0.013696900568902493
sub-02,V2,MIP,train,sub-06,567,111,rsa,0.027820000424981117
sub-02,V2,VIP,train,sub-06,567,150,rsa,0.03267604857683182
sub-02,V2,LIPd,train,sub-06,567,52,rsa,0.013472852297127247
sub-02,V2,LIPv,train,sub-06,567,205,rsa,0.020781870931386948
sub-02,V2,AIP,train,sub-06,567,244,rsa,0.005357188172638416
sub-02,V2,7Pm,train,sub-06,567,3,rsa,1.081421214621514e-05
sub-02,V2,7PL,train,sub-06,567,24,rsa,0.006905786227434874
sub-02,V2,7PC,train,sub-06,567,276,rsa,0.012899964116513729
