model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-02,V1,V1,train,sub-04,435,523,rsa,0.24966005980968475
sub-02,V1,V2,train,sub-04,435,638,rsa,0.22899842262268066
sub-02,V1,V3,train,sub-04,435,520,rsa,0.18913812935352325
sub-02,V1,V4,train,sub-04,435,610,rsa,0.2013390064239502
sub-02,V1,V3A,train,sub-04,435,232,rsa,0.06400374323129654
sub-02,V1,V3B,train,sub-04,435,150,rsa,0.04508250951766968
sub-02,V1,V6,train,sub-04,435,58,rsa,0.007892882451415062
sub-02,V1,V6A,train,sub-04,435,38,rsa,0.02412140555679798
sub-02,V1,V7,train,sub-04,435,77,rsa,0.022530419752001762
sub-02,V1,V8,train,sub-04,435,111,rsa,0.08102582395076752
sub-02,V1,FFC,train,sub-04,435,312,rsa,0.043899647891521454
sub-02,V1,PIT,train,sub-04,435,118,rsa,0.048936035484075546
sub-02,V1,IPS1,train,sub-04,435,232,rsa,0.036205366253852844
sub-02,V1,MST,train,sub-04,435,142,rsa,0.051756978034973145
sub-02,V1,MT,train,sub-04,435,100,rsa,0.0547114759683609
sub-02,V1,FST,train,sub-04,435,175,rsa,0.03774609789252281
sub-02,V1,LO1,train,sub-04,435,80,rsa,0.08236971497535706
sub-02,V1,LO2,train,sub-04,435,83,rsa,0.06704054027795792
sub-02,V1,LO3,train,sub-04,435,118,rsa,0.05351506173610687
sub-02,V1,V7,train,sub-04,435,77,rsa,0.022530419752001762
sub-02,V1,IP0,train,sub-04,435,196,rsa,0.03714456781744957
sub-02,V1,IP1,train,sub-04,435,49,rsa,0.005560407880693674
sub-02,V1,MIP,train,sub-04,435,237,rsa,0.021080875769257545
sub-02,V1,VIP,train,sub-04,435,198,rsa,0.01478718314319849
sub-02,V1,LIPd,train,sub-04,435,28,rsa,0.006458980496972799
sub-02,V1,LIPv,train,sub-04,435,149,rsa,0.005309578962624073
sub-02,V1,AIP,train,sub-04,435,221,rsa,0.002889644354581833
sub-02,V1,7Pm,train,sub-04,435,39,rsa,0.008084142580628395
sub-02,V1,7PL,train,sub-04,435,104,rsa,0.017278417944908142
sub-02,V1,7PC,train,sub-04,435,260,rsa,0.00879732333123684
sub-02,V1,7Am,train,sub-04,435,207,rsa,0.01331552304327488
sub-02,V1,7AL,train,sub-04,435,180,rsa,0.011115934699773788
sub-02,V1,VVC,train,sub-04,435,170,rsa,0.028866125270724297
sub-02,V1,VMV2,train,sub-04,435,115,rsa,0.024319086223840714
sub-02,V1,VMV3,train,sub-04,435,115,rsa,0.03348978981375694
sub-02,V1,VMV1,train,sub-04,435,53,rsa,0.02401360683143139
sub-02,V1,PHA2,train,sub-04,435,11,rsa,0.010878296568989754
sub-02,V1,PHA3,train,sub-04,435,87,rsa,0.015476606786251068
sub-02,V1,PH,train,sub-04,435,340,rsa,0.02945195510983467
sub-02,V2,V1,train,sub-04,567,523,rsa,0.2258981615304947
sub-02,V2,V2,train,sub-04,567,638,rsa,0.24121755361557007
sub-02,V2,V3,train,sub-04,567,520,rsa,0.2252621352672577
sub-02,V2,V4,train,sub-04,567,610,rsa,0.21036340296268463
sub-02,V2,V3A,train,sub-04,567,232,rsa,0.0952862799167633
sub-02,V2,V3B,train,sub-04,567,150,rsa,0.06057153642177582
sub-02,V2,V6,train,sub-04,567,58,rsa,0.012243288569152355
sub-02,V2,V6A,train,sub-04,567,38,rsa,0.034067217260599136
sub-02,V2,V7,train,sub-04,567,77,rsa,0.037028200924396515
sub-02,V2,V8,train,sub-04,567,111,rsa,0.12439356744289398
sub-02,V2,FFC,train,sub-04,567,312,rsa,0.060019154101610184
sub-02,V2,PIT,train,sub-04,567,118,rsa,0.06597834080457687
sub-02,V2,IPS1,train,sub-04,567,232,rsa,0.04188830032944679
sub-02,V2,MST,train,sub-04,567,142,rsa,0.07394600659608841
sub-02,V2,MT,train,sub-04,567,100,rsa,0.08785341680049896
sub-02,V2,FST,train,sub-04,567,175,rsa,0.050381843000650406
sub-02,V2,LO1,train,sub-04,567,80,rsa,0.08007621765136719
sub-02,V2,LO2,train,sub-04,567,83,rsa,0.07771177589893341
sub-02,V2,LO3,train,sub-04,567,118,rsa,0.06733381748199463
sub-02,V2,V7,train,sub-04,567,77,rsa,0.037028200924396515
sub-02,V2,IP0,train,sub-04,567,196,rsa,0.04948006570339203
sub-02,V2,IP1,train,sub-04,567,49,rsa,0.007377648260444403
sub-02,V2,MIP,train,sub-04,567,237,rsa,0.029106510803103447
sub-02,V2,VIP,train,sub-04,567,198,rsa,0.021342849358916283
sub-02,V2,LIPd,train,sub-04,567,28,rsa,0.004921469837427139
sub-02,V2,LIPv,train,sub-04,567,149,rsa,0.0073963492177426815
sub-02,V2,AIP,train,sub-04,567,221,rsa,0.004285095725208521
sub-02,V2,7Pm,train,sub-04,567,39,rsa,0.012587601318955421
sub-02,V2,7PL,train,sub-04,567,104,rsa,0.02316068857908249
sub-02,V2,7PC,train,sub-04,567,260,rsa,0.014821338467299938
sub-02,V2,7Am,train,sub-04,567,207,rsa,0.021397249773144722
sub-02,V2,7AL,train,sub-04,567,180,rsa,0.013984635472297668
sub-02,V2,VVC,train,sub-04,567,170,rsa,0.044126443564891815
sub-02,V2,VMV2,train,sub-04,567,115,rsa,0.027787378057837486
sub-02,V2,VMV3,train,sub-04,567,115,rsa,0.04539235681295395
sub-02,V2,VMV1,train,sub-04,567,53,rsa,0.03540923073887825
sub-02,V2,PHA2,train,sub-04,567,11,rsa,0.007434097584336996
sub-02,V2,PHA3,train,sub-04,567,87,rsa,0.020936541259288788
sub-02,V2,PH,train,sub-04,567,340,rsa,0.03391358628869057
sub-02,V3,V1,train,sub-04,538,523,rsa,0.17695222795009613
sub-02,V3,V2,train,sub-04,538,638,rsa,0.18822599947452545
sub-02,V3,V3,train,sub-04,538,520,rsa,0.1802559643983841
sub-02,V3,V4,train,sub-04,538,610,rsa,0.2488502711057663
sub-02,V3,V3A,train,sub-04,538,232,rsa,0.07847084105014801
sub-02,V3,V3B,train,sub-04,538,150,rsa,0.08207009732723236
sub-02,V3,V6,train,sub-04,538,58,rsa,0.017532970756292343
sub-02,V3,V6A,train,sub-04,538,38,rsa,0.03920309990644455
sub-02,V3,V7,train,sub-04,538,77,rsa,0.04359700530767441
sub-02,V3,V8,train,sub-04,538,111,rsa,0.1403571218252182
sub-02,V3,FFC,train,sub-04,538,312,rsa,0.1357523798942566
sub-02,V3,PIT,train,sub-04,538,118,rsa,0.10160122066736221
sub-02,V3,IPS1,train,sub-04,538,232,rsa,0.05320239067077637
sub-02,V3,MST,train,sub-04,538,142,rsa,0.11278430372476578
sub-02,V3,MT,train,sub-04,538,100,rsa,0.14330628514289856
sub-02,V3,FST,train,sub-04,538,175,rsa,0.09105262160301208
sub-02,V3,LO1,train,sub-04,538,80,rsa,0.12179309874773026
sub-02,V3,LO2,train,sub-04,538,83,rsa,0.12438981235027313
sub-02,V3,LO3,train,sub-04,538,118,rsa,0.10826416313648224
sub-02,V3,V7,train,sub-04,538,77,rsa,0.04359700530767441
sub-02,V3,IP0,train,sub-04,538,196,rsa,0.0639500692486763
sub-02,V3,IP1,train,sub-04,538,49,rsa,0.016879364848136902
sub-02,V3,MIP,train,sub-04,538,237,rsa,0.03461063280701637
sub-02,V3,VIP,train,sub-04,538,198,rsa,0.02056294120848179
sub-02,V3,LIPd,train,sub-04,538,28,rsa,0.0027274698950350285
sub-02,V3,LIPv,train,sub-04,538,149,rsa,0.01044982299208641
sub-02,V3,AIP,train,sub-04,538,221,rsa,0.007800973020493984
sub-02,V3,7Pm,train,sub-04,538,39,rsa,0.010398553684353828
sub-02,V3,7PL,train,sub-04,538,104,rsa,0.02474413998425007
sub-02,V3,7PC,train,sub-04,538,260,rsa,0.01680835708975792
sub-02,V3,7Am,train,sub-04,538,207,rsa,0.020859410986304283
sub-02,V3,7AL,train,sub-04,538,180,rsa,0.020182251930236816
sub-02,V3,VVC,train,sub-04,538,170,rsa,0.09272981435060501
sub-02,V3,VMV2,train,sub-04,538,115,rsa,0.04533808305859566
sub-02,V3,VMV3,train,sub-04,538,115,rsa,0.04677550867199898
