model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-04,V1,V1,train,sub-10,linear_predictivity,523,553,0.15877096735000198,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2495616124103739,1.0293990321141127,0.7502170803406096,0.8373182999619354
sub-04,V1,V1,test,sub-10,linear_predictivity,523,553,0.262505637122172,"[0.2610394517726635, 0.26309309275081305, 0.2593077068098276, 0.27068747712788327, 0.2584004571496727]",,,,,
sub-04,V1,V2,train,sub-10,linear_predictivity,523,516,0.15140353068844736,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.24186770189793064,1.0355191562552726,0.7578996005300119,0.8446054838987994
sub-04,V1,V2,test,sub-10,linear_predictivity,523,516,0.24538701492488285,"[0.24169358689204584, 0.24956328285078475, 0.24197302649910613, 0.2520656820227644, 0.24163949635971319]",,,,,
sub-04,V1,V3,train,sub-10,linear_predictivity,523,400,0.16836312795130268,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2557056506889723,1.0226906123947288,0.7440932383061989,0.8282507127636635
sub-04,V1,V3,test,sub-10,linear_predictivity,523,400,0.26658744851764204,"[0.26297618791515603, 0.26977514284348847, 0.26302825841552674, 0.27180269195444395, 0.2653549614595949]",,,,,
sub-04,V1,V4,train,sub-10,linear_predictivity,523,574,0.11627309841318909,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20890950089397795,1.054122638455083,0.7908947026355643,0.8803923197725287
sub-04,V1,V4,test,sub-10,linear_predictivity,523,574,0.2042890392358367,"[0.20103693641261713, 0.20568888418471246, 0.19992794088407137, 0.20632438464021352, 0.20846705005756913]",,,,,
sub-04,V1,V3A,train,sub-10,linear_predictivity,523,85,0.06335957567649227,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15990283748994652,1.0926059064825047,0.8399189380212171,0.9333138986423046
sub-04,V1,V3A,test,sub-10,linear_predictivity,523,85,0.1550618277010113,"[0.14728844664365184, 0.15323968272219426, 0.15119829418527145, 0.16540524902435402, 0.15817746592958482]",,,,,
