model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-04,V1,V1,train,sub-10,523,553,rsa,0.256582111120224
sub-04,V1,V2,train,sub-10,523,516,rsa,0.2429158240556717
sub-04,V1,V3,train,sub-10,523,400,rsa,0.2664982080459595
sub-04,V1,V4,train,sub-10,523,574,rsa,0.21783509850502014
sub-04,V1,V3A,train,sub-10,523,85,rsa,0.09688898921012878
sub-04,V1,V3B,train,sub-10,523,99,rsa,0.05316479876637459
sub-04,V1,V6,train,sub-10,523,11,rsa,0.014831526204943657
sub-04,V1,V6A,train,sub-10,523,45,rsa,0.04094322398304939
sub-04,V1,V7,train,sub-10,523,61,rsa,0.027713334187865257
sub-04,V1,V8,train,sub-10,523,96,rsa,0.1091584712266922
sub-04,V1,FFC,train,sub-10,523,244,rsa,0.06054253876209259
sub-04,V1,PIT,train,sub-10,523,100,rsa,0.07478208094835281
sub-04,V1,IPS1,train,sub-10,523,166,rsa,0.012827389873564243
sub-04,V1,MST,train,sub-10,523,135,rsa,0.04310126230120659
sub-04,V1,MT,train,sub-10,523,86,rsa,0.09008844941854477
sub-04,V1,FST,train,sub-10,523,167,rsa,0.03400810807943344
sub-04,V1,LO1,train,sub-10,523,78,rsa,0.09850212931632996
sub-04,V1,LO2,train,sub-10,523,80,rsa,0.05495546758174896
sub-04,V1,LO3,train,sub-10,523,113,rsa,0.06435953080654144
sub-04,V1,V7,train,sub-10,523,61,rsa,0.027713334187865257
sub-04,V1,IP0,train,sub-10,523,103,rsa,0.033276189118623734
sub-04,V1,IP1,train,sub-10,523,33,rsa,0.0024792528711259365
sub-04,V1,MIP,train,sub-10,523,178,rsa,0.0033881941344588995
sub-04,V1,VIP,train,sub-10,523,100,rsa,0.009790939278900623
sub-04,V1,LIPd,train,sub-10,523,31,rsa,0.0009640245698392391
sub-04,V1,LIPv,train,sub-10,523,75,rsa,0.009935811161994934
sub-04,V1,AIP,train,sub-10,523,409,rsa,0.004972400609403849
sub-04,V1,7Pm,train,sub-10,523,21,rsa,0.017290107905864716
sub-04,V1,7PL,train,sub-10,523,106,rsa,0.006877769250422716
sub-04,V1,7PC,train,sub-10,523,224,rsa,0.01486822497099638
sub-04,V1,7Am,train,sub-10,523,186,rsa,0.014556961134076118
sub-04,V1,7AL,train,sub-10,523,158,rsa,0.005678015761077404
sub-04,V1,VVC,train,sub-10,523,196,rsa,0.04507837072014809
sub-04,V1,VMV2,train,sub-10,523,94,rsa,0.04460620880126953
sub-04,V1,VMV3,train,sub-10,523,98,rsa,0.03302725777029991
sub-04,V1,VMV1,train,sub-10,523,42,rsa,0.04347361624240875
sub-04,V1,PHA2,train,sub-10,523,21,rsa,0.013567370362579823
