model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-05,V1,V1,train,sub-07,608,420,rsa,0.05259568244218826
sub-05,V1,V2,train,sub-07,608,470,rsa,0.05216743052005768
sub-05,V1,V3,train,sub-07,608,348,rsa,0.03136280179023743
sub-05,V1,V4,train,sub-07,608,451,rsa,0.038900427520275116
sub-05,V1,V3A,train,sub-07,608,55,rsa,0.005072902422398329
sub-05,V1,V3B,train,sub-07,608,103,rsa,0.014980805106461048
sub-05,V1,V6,train,sub-07,608,94,rsa,0.01239139772951603
sub-05,V1,V6A,train,sub-07,608,63,rsa,0.009456203319132328
sub-05,V1,V7,train,sub-07,608,37,rsa,0.0050922720693051815
sub-05,V1,V8,train,sub-07,608,80,rsa,0.023598192259669304
sub-05,V1,FFC,train,sub-07,608,265,rsa,0.018183480948209763
sub-05,V1,PIT,train,sub-07,608,101,rsa,0.018307939171791077
sub-05,V1,IPS1,train,sub-07,608,191,rsa,0.008499717339873314
sub-05,V1,MST,train,sub-07,608,149,rsa,0.02322208508849144
sub-05,V1,MT,train,sub-07,608,100,rsa,0.023060549050569534
sub-05,V1,FST,train,sub-07,608,167,rsa,0.010150399059057236
sub-05,V1,LO1,train,sub-07,608,80,rsa,0.017303477972745895
sub-05,V1,LO2,train,sub-07,608,67,rsa,0.020564695820212364
sub-05,V1,LO3,train,sub-07,608,125,rsa,0.02490197867155075
sub-05,V1,V7,train,sub-07,608,37,rsa,0.0050922720693051815
sub-05,V1,IP0,train,sub-07,608,73,rsa,0.009273211471736431
sub-05,V1,IP1,train,sub-07,608,94,rsa,0.0011369743151590228
sub-05,V1,MIP,train,sub-07,608,71,rsa,-7.972063031047583e-05
sub-05,V1,VIP,train,sub-07,608,91,rsa,0.002195267239585519
sub-05,V1,LIPd,train,sub-07,608,65,rsa,0.0018243066733703017
sub-05,V1,LIPv,train,sub-07,608,95,rsa,0.0037431002128869295
sub-05,V1,AIP,train,sub-07,608,224,rsa,0.0034833040554076433
sub-05,V1,7Pm,train,sub-07,608,5,rsa,-0.0014285907382145524
sub-05,V1,7PL,train,sub-07,608,40,rsa,0.0009442090522497892
sub-05,V1,7PC,train,sub-07,608,153,rsa,0.004506953991949558
sub-05,V1,7Am,train,sub-07,608,78,rsa,0.00050551095046103
sub-05,V1,7AL,train,sub-07,608,64,rsa,0.0014751896960660815
sub-05,V1,VVC,train,sub-07,608,157,rsa,0.020822010934352875
sub-05,V1,VMV2,train,sub-07,608,66,rsa,0.0055871144868433475
sub-05,V1,VMV3,train,sub-07,608,82,rsa,0.009846012108027935
sub-05,V1,VMV1,train,sub-07,608,27,rsa,0.006778434384614229
sub-05,V1,PHA2,train,sub-07,608,55,rsa,0.010541753843426704
