model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-05,V1,V1,train,sub-04,linear_predictivity,608,523,0.13517566047998994,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23351967053234493,1.0659990908288248,0.7661877310972506,0.8595123061411817
sub-05,V1,V1,test,sub-04,linear_predictivity,608,523,0.2092584294931053,"[0.21005971217733616, 0.20625313214038207, 0.20898507846323047, 0.21218089362889764, 0.20881333105568003]",,,,,
sub-05,V1,V2,train,sub-04,linear_predictivity,608,638,0.10059504153297406,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20433497793864838,1.0964512481401094,0.7954073359536465,0.8947082147374482
sub-05,V1,V2,test,sub-04,linear_predictivity,608,638,0.15561620728408457,"[0.15913244938461693, 0.15517395074112098, 0.16076356548386728, 0.1540187266221219, 0.14899234418869564]",,,,,
sub-05,V1,V3,train,sub-04,linear_predictivity,608,520,0.1288306083868277,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.22804848048735593,1.0734356904393794,0.7716799877125878,0.866317725745913
sub-05,V1,V3,test,sub-04,linear_predictivity,608,520,0.211016010432285,"[0.21034618612284908, 0.21095177750381627, 0.21546346015983436, 0.20936646422617278, 0.20895216414875237]",,,,,
sub-05,V1,V4,train,sub-04,linear_predictivity,608,610,0.12697843185978044,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 1000.0]",0.24513881090965514,1.073096047350178,0.7546063636415143,0.8675094877671032
sub-05,V1,V4,test,sub-04,linear_predictivity,608,610,0.2200558152912962,"[0.2151834122735771, 0.21651762485253595, 0.21201071887397102, 0.21248050446828493, 0.24408681598811194]",,,,,
sub-05,V1,V3A,train,sub-04,linear_predictivity,608,232,0.038088177869648084,,"[3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13801910612527232,1.1502425708927895,0.861821499308627,0.957709839652566
sub-05,V1,V3A,test,sub-04,linear_predictivity,608,232,0.06531503847633502,"[0.06829951529932567, 0.04852532238908678, 0.07922465656458841, 0.07005616574176124, 0.06046953238691298]",,,,,
sub-05,V1,V3B,train,sub-04,linear_predictivity,608,150,0.03442996062994702,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14559112183554496,1.1379820113264862,0.8542020261640204,0.9620047834023462
sub-05,V1,V3B,test,sub-04,linear_predictivity,608,150,0.09982066009085681,"[0.11437804206078511, 0.09482476520114905, 0.0811832919136216, 0.09864370418037742, 0.11007349709835088]",,,,,
sub-05,V1,V6,train,sub-04,linear_predictivity,608,58,-0.002614153491316414,,"[100000.0, 31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796]",0.023122033787580838,1.1942408256582597,0.9766849187620299,0.9992495120624609
sub-05,V1,V6,test,sub-04,linear_predictivity,608,58,-0.025643124741996953,"[-0.02836366955515909, -0.031850961261895835, -0.015072479230209823, -0.031065657249772397, -0.02186285641294762]",,,,,
sub-05,V1,V6A,train,sub-04,linear_predictivity,608,38,0.015209812311672991,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.0689560862638661,1.1856676921830007,0.9308558777748243,0.981791709036755
sub-05,V1,V6A,test,sub-04,linear_predictivity,608,38,0.04376936511189977,"[0.04714915031548741, 0.04352138432453692, 0.045249488293913745, 0.0398349422845629, 0.043091860340997885]",,,,,
sub-05,V1,V7,train,sub-04,linear_predictivity,608,77,0.015996914996002778,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.11646861818280149,1.1540728067303696,0.8832633940706461,0.9793319343077316
sub-05,V1,V7,test,sub-04,linear_predictivity,608,77,0.05859308009012663,"[0.06119365200960506, 0.06482470548090233, 0.03853566323587119, 0.06544165469009519, 0.06296972503415935]",,,,,
sub-05,V1,V8,train,sub-04,linear_predictivity,608,111,0.07529745963659833,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17983854068379954,1.1121371573014824,0.8199169859345329,0.9200402052681715
sub-05,V1,V8,test,sub-04,linear_predictivity,608,111,0.14309564991426119,"[0.14307796227433114, 0.1520393736943324, 0.1397661687415926, 0.1350870587269561, 0.14550768613409373]",,,,,
