model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-05,V1,V1,train,sub-04,608,523,rsa,0.17045679688453674
sub-05,V1,V2,train,sub-04,608,638,rsa,0.1440587043762207
sub-05,V1,V3,train,sub-04,608,520,rsa,0.13882280886173248
sub-05,V1,V4,train,sub-04,608,610,rsa,0.12357581406831741
sub-05,V1,V3A,train,sub-04,608,232,rsa,0.04662584513425827
sub-05,V1,V3B,train,sub-04,608,150,rsa,0.045087557286024094
sub-05,V1,V6,train,sub-04,608,58,rsa,0.009701771661639214
sub-05,V1,V6A,train,sub-04,608,38,rsa,0.018672538921236992
sub-05,V1,V7,train,sub-04,608,77,rsa,0.014691144227981567
sub-05,V1,V8,train,sub-04,608,111,rsa,0.06088870018720627
sub-05,V1,FFC,train,sub-04,608,312,rsa,0.03313387930393219
sub-05,V1,PIT,train,sub-04,608,118,rsa,0.03633284196257591
sub-05,V1,IPS1,train,sub-04,608,232,rsa,0.027041057124733925
sub-05,V1,MST,train,sub-04,608,142,rsa,0.05227680504322052
sub-05,V1,MT,train,sub-04,608,100,rsa,0.030276712030172348
sub-05,V1,FST,train,sub-04,608,175,rsa,0.03718896210193634
sub-05,V1,LO1,train,sub-04,608,80,rsa,0.04404488950967789
sub-05,V1,LO2,train,sub-04,608,83,rsa,0.04020295664668083
sub-05,V1,LO3,train,sub-04,608,118,rsa,0.03902703523635864
sub-05,V1,V7,train,sub-04,608,77,rsa,0.014691144227981567
sub-05,V1,IP0,train,sub-04,608,196,rsa,0.04060188680887222
sub-05,V1,IP1,train,sub-04,608,49,rsa,0.005698037799447775
sub-05,V1,MIP,train,sub-04,608,237,rsa,0.024053866043686867
sub-05,V1,VIP,train,sub-04,608,198,rsa,0.012953235767781734
sub-05,V1,LIPd,train,sub-04,608,28,rsa,0.0024751322343945503
sub-05,V1,LIPv,train,sub-04,608,149,rsa,0.006524389144033194
sub-05,V1,AIP,train,sub-04,608,221,rsa,0.0020280415192246437
sub-05,V1,7Pm,train,sub-04,608,39,rsa,0.00474702101200819
sub-05,V1,7PL,train,sub-04,608,104,rsa,0.019758248701691628
sub-05,V1,7PC,train,sub-04,608,260,rsa,0.009757161140441895
sub-05,V1,7Am,train,sub-04,608,207,rsa,0.008828422985970974
sub-05,V1,7AL,train,sub-04,608,180,rsa,0.008062902837991714
sub-05,V1,VVC,train,sub-04,608,170,rsa,0.02195144072175026
sub-05,V1,VMV2,train,sub-04,608,115,rsa,0.020791925489902496
sub-05,V1,VMV3,train,sub-04,608,115,rsa,0.029941434040665627
sub-05,V1,VMV1,train,sub-04,608,53,rsa,0.024167973548173904
sub-05,V1,PHA2,train,sub-04,608,11,rsa,0.009613580070436
sub-05,V1,PHA3,train,sub-04,608,87,rsa,0.01244182139635086
sub-05,V1,PH,train,sub-04,608,340,rsa,0.0267331562936306
sub-05,V2,V1,train,sub-04,559,523,rsa,0.16746123135089874
sub-05,V2,V2,train,sub-04,559,638,rsa,0.1659390926361084
sub-05,V2,V3,train,sub-04,559,520,rsa,0.1439874917268753
sub-05,V2,V4,train,sub-04,559,610,rsa,0.1360904723405838
sub-05,V2,V3A,train,sub-04,559,232,rsa,0.06353554874658585
sub-05,V2,V3B,train,sub-04,559,150,rsa,0.05288295820355415
sub-05,V2,V6,train,sub-04,559,58,rsa,0.013566924259066582
sub-05,V2,V6A,train,sub-04,559,38,rsa,0.026240646839141846
sub-05,V2,V7,train,sub-04,559,77,rsa,0.02539822645485401
sub-05,V2,V8,train,sub-04,559,111,rsa,0.07665658742189407
sub-05,V2,FFC,train,sub-04,559,312,rsa,0.04916951060295105
sub-05,V2,PIT,train,sub-04,559,118,rsa,0.052195820957422256
sub-05,V2,IPS1,train,sub-04,559,232,rsa,0.0373445488512516
sub-05,V2,MST,train,sub-04,559,142,rsa,0.073916494846344
sub-05,V2,MT,train,sub-04,559,100,rsa,0.0400896817445755
sub-05,V2,FST,train,sub-04,559,175,rsa,0.054479870945215225
sub-05,V2,LO1,train,sub-04,559,80,rsa,0.054290521889925
sub-05,V2,LO2,train,sub-04,559,83,rsa,0.056214187294244766
sub-05,V2,LO3,train,sub-04,559,118,rsa,0.05960753560066223
sub-05,V2,V7,train,sub-04,559,77,rsa,0.02539822645485401
sub-05,V2,IP0,train,sub-04,559,196,rsa,0.050964027643203735
sub-05,V2,IP1,train,sub-04,559,49,rsa,0.0062033915892243385
sub-05,V2,MIP,train,sub-04,559,237,rsa,0.032882146537303925
sub-05,V2,VIP,train,sub-04,559,198,rsa,0.018377071246504784
sub-05,V2,LIPd,train,sub-04,559,28,rsa,0.004879973363131285
sub-05,V2,LIPv,train,sub-04,559,149,rsa,0.009371506050229073
sub-05,V2,AIP,train,sub-04,559,221,rsa,0.0023121971171349287
sub-05,V2,7Pm,train,sub-04,559,39,rsa,0.008513013832271099
sub-05,V2,7PL,train,sub-04,559,104,rsa,0.02517816424369812
sub-05,V2,7PC,train,sub-04,559,260,rsa,0.017829135060310364
sub-05,V2,7Am,train,sub-04,559,207,rsa,0.0187413077801466
sub-05,V2,7AL,train,sub-04,559,180,rsa,0.010671584866940975
sub-05,V2,VVC,train,sub-04,559,170,rsa,0.033183254301548004
sub-05,V2,VMV2,train,sub-04,559,115,rsa,0.027684887871146202
sub-05,V2,VMV3,train,sub-04,559,115,rsa,0.03521846979856491
sub-05,V2,VMV1,train,sub-04,559,53,rsa,0.03219134733080864
sub-05,V2,PHA2,train,sub-04,559,11,rsa,0.013518440537154675
sub-05,V2,PHA3,train,sub-04,559,87,rsa,0.017280220985412598
sub-05,V2,PH,train,sub-04,559,340,rsa,0.03818977624177933
sub-05,V3,V1,train,sub-04,451,523,rsa,0.13274520635604858
sub-05,V3,V2,train,sub-04,451,638,rsa,0.14231444895267487
sub-05,V3,V3,train,sub-04,451,520,rsa,0.13946855068206787
sub-05,V3,V4,train,sub-04,451,610,rsa,0.13462774455547333
sub-05,V3,V3A,train,sub-04,451,232,rsa,0.06680509448051453
sub-05,V3,V3B,train,sub-04,451,150,rsa,0.05071582645177841
sub-05,V3,V6,train,sub-04,451,58,rsa,0.0113685866817832
sub-05,V3,V6A,train,sub-04,451,38,rsa,0.0241948664188385
sub-05,V3,V7,train,sub-04,451,77,rsa,0.020060108974575996
sub-05,V3,V8,train,sub-04,451,111,rsa,0.06775345653295517
sub-05,V3,FFC,train,sub-04,451,312,rsa,0.041079986840486526
sub-05,V3,PIT,train,sub-04,451,118,rsa,0.04680689051747322
sub-05,V3,IPS1,train,sub-04,451,232,rsa,0.02813546359539032
sub-05,V3,MST,train,sub-04,451,142,rsa,0.05149673670530319
sub-05,V3,MT,train,sub-04,451,100,rsa,0.0452011339366436
sub-05,V3,FST,train,sub-04,451,175,rsa,0.04093547537922859
sub-05,V3,LO1,train,sub-04,451,80,rsa,0.05887241289019585
sub-05,V3,LO2,train,sub-04,451,83,rsa,0.0530506893992424
sub-05,V3,LO3,train,sub-04,451,118,rsa,0.05166034772992134
sub-05,V3,V7,train,sub-04,451,77,rsa,0.020060108974575996
sub-05,V3,IP0,train,sub-04,451,196,rsa,0.040501952171325684
sub-05,V3,IP1,train,sub-04,451,49,rsa,0.005213209893554449
sub-05,V3,MIP,train,sub-04,451,237,rsa,0.024607690051198006
