model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-08,V1,V1,train,sub-01,linear_predictivity,560,1221,0.021037095559132,,"[10000.0, 10000.0, 10000.0, 3162.277660168379, 3162.277660168379]",0.10168667328939589,1.1544246686346766,0.8981142303893842,0.9752186411956145
sub-08,V1,V1,test,sub-01,linear_predictivity,560,1221,0.013270624355147179,"[0.013710672808879327, 0.007036002030574262, 0.02074381290438422, 0.02385976117567925, 0.0010028728562188332]",,,,,
sub-08,V1,V2,train,sub-01,linear_predictivity,560,925,0.029036240764567272,,"[10000.0, 3162.277660168379, 10000.0, 10000.0, 3162.277660168379]",0.10755487215368487,1.1408523147532161,0.8923069520354308,0.9667850604718679
sub-08,V1,V2,test,sub-01,linear_predictivity,560,925,0.06497392657318621,"[0.05493986847747159, 0.06937822506832478, 0.07014450964142221, 0.06121161929365888, 0.0691954103850536]",,,,,
sub-08,V1,V3,train,sub-01,linear_predictivity,560,621,0.061361969282960664,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16910744289541008,1.117122401233465,0.830641902842044,0.9341655118302171
sub-08,V1,V3,test,sub-01,linear_predictivity,560,621,0.09940450041430568,"[0.0871539407902613, 0.09789478694364907, 0.11044976983336963, 0.1067918162783575, 0.09473218822589094]",,,,,
sub-08,V1,V4,train,sub-01,linear_predictivity,560,625,0.06415040203865395,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16788040784286276,1.114578437001269,0.831878985600145,0.9315840117009506
sub-08,V1,V4,test,sub-01,linear_predictivity,560,625,0.16437778119450586,"[0.1606981227358621, 0.16501208947396995, 0.16330111426789357, 0.1668878290059666, 0.1659897504888371]",,,,,
sub-08,V1,V3A,train,sub-01,linear_predictivity,560,238,0.008460257881040113,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06657256126728699,1.160290444329426,0.9332022366532549,0.9877367761850078
sub-08,V1,V3A,test,sub-01,linear_predictivity,560,238,0.031795267385535605,"[0.025568658000205576, 0.028355843465886425, 0.039715327435242385, 0.03567005744763649, 0.02966645057870716]",,,,,
