model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-08,V1,V1,train,sub-01,560,1221,rsa,0.08868439495563507
sub-08,V1,V2,train,sub-01,560,925,rsa,0.09055327624082565
sub-08,V1,V3,train,sub-01,560,621,rsa,0.10190820693969727
sub-08,V1,V4,train,sub-01,560,625,rsa,0.08514569699764252
sub-08,V1,V3A,train,sub-01,560,238,rsa,0.026998357847332954
sub-08,V1,V3B,train,sub-01,560,150,rsa,0.02033352479338646
sub-08,V1,V6,train,sub-01,560,198,rsa,0.016512539237737656
sub-08,V1,V6A,train,sub-01,560,91,rsa,0.02723020501434803
sub-08,V1,V7,train,sub-01,560,89,rsa,0.03235314413905144
sub-08,V1,V8,train,sub-01,560,112,rsa,0.043507955968379974
sub-08,V1,FFC,train,sub-01,560,284,rsa,0.02346719242632389
sub-08,V1,PIT,train,sub-01,560,103,rsa,0.03234102576971054
sub-08,V1,IPS1,train,sub-01,560,235,rsa,0.02507571130990982
sub-08,V1,MST,train,sub-01,560,149,rsa,0.03449659049510956
sub-08,V1,MT,train,sub-01,560,100,rsa,0.03253363072872162
sub-08,V1,FST,train,sub-01,560,175,rsa,0.020192347466945648
sub-08,V1,LO1,train,sub-01,560,80,rsa,0.03382427990436554
sub-08,V1,LO2,train,sub-01,560,67,rsa,0.01466357707977295
sub-08,V1,LO3,train,sub-01,560,121,rsa,0.04289456829428673
sub-08,V1,V7,train,sub-01,560,89,rsa,0.03235314413905144
sub-08,V1,IP0,train,sub-01,560,169,rsa,0.009570106863975525
sub-08,V1,IP1,train,sub-01,560,226,rsa,0.00899728387594223
sub-08,V1,MIP,train,sub-01,560,296,rsa,0.014155345968902111
sub-08,V1,VIP,train,sub-01,560,203,rsa,0.013037767261266708
sub-08,V1,LIPd,train,sub-01,560,122,rsa,0.012260396964848042
sub-08,V1,LIPv,train,sub-01,560,173,rsa,0.01828748546540737
sub-08,V1,AIP,train,sub-01,560,563,rsa,0.007346028462052345
sub-08,V1,7Pm,train,sub-01,560,92,rsa,0.011921733617782593
sub-08,V1,7PL,train,sub-01,560,155,rsa,0.01846371218562126
sub-08,V1,7PC,train,sub-01,560,322,rsa,0.008924939669668674
sub-08,V1,7Am,train,sub-01,560,321,rsa,0.01431986317038536
sub-08,V1,7AL,train,sub-01,560,299,rsa,0.014166726730763912
sub-08,V1,VVC,train,sub-01,560,209,rsa,0.028210237622261047
sub-08,V1,VMV2,train,sub-01,560,115,rsa,0.015170199796557426
sub-08,V1,VMV3,train,sub-01,560,115,rsa,0.015434031374752522
sub-08,V1,VMV1,train,sub-01,560,121,rsa,0.027247857302427292
sub-08,V1,PHA2,train,sub-01,560,91,rsa,0.017106948420405388
sub-08,V1,PHA3,train,sub-01,560,182,rsa,0.02316105365753174
sub-08,V1,PH,train,sub-01,560,371,rsa,0.022993652150034904
sub-08,V2,V1,train,sub-01,482,1221,rsa,0.09100916236639023
