model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-02,V1,V1,train,sub-03,linear_predictivity,435,361,0.08563015933629986,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17319834089583203,1.0580179074640128,0.8265689694404369,0.9104628939003525
sub-02,V1,V1,test,sub-03,linear_predictivity,435,361,0.16779062065547007,"[0.17039808210960178, 0.17073419378527818, 0.16804918060518897, 0.16799860134919842, 0.16177304542808305]",,,,,
sub-02,V1,V2,train,sub-03,linear_predictivity,435,525,0.08727205052116896,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17510993404107036,1.0548723037865586,0.8246231835370119,0.9080674932506831
sub-02,V1,V2,test,sub-03,linear_predictivity,435,525,0.15780923760882332,"[0.1600983621556072, 0.1570896330506058, 0.16077687634556173, 0.1586880603050424, 0.15239325618729951]",,,,,
sub-02,V1,V3,train,sub-03,linear_predictivity,435,361,0.12410166449460819,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20774963509575758,1.0298929050635208,0.7919956786283432,0.871605012329894
sub-02,V1,V3,test,sub-03,linear_predictivity,435,361,0.2399995115040329,"[0.238904960528681, 0.24039420900011219, 0.24126051270598475, 0.24200928544247322, 0.23742858984291323]",,,,,
sub-02,V1,V4,train,sub-03,linear_predictivity,435,555,0.06216154137446295,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15287899278245637,1.0669261205724498,0.8468077945861532,0.9323944275356583
sub-02,V1,V4,test,sub-03,linear_predictivity,435,555,0.12156424411553883,"[0.1230472651935577, 0.12158179844837667, 0.1218808797586414, 0.11932821504646994, 0.12198306213064847]",,,,,
sub-02,V1,V3A,train,sub-03,linear_predictivity,435,198,0.03365914057024851,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12400604942417959,1.0897117624480326,0.8757080433350228,0.9611918326234147
sub-02,V1,V3A,test,sub-03,linear_predictivity,435,198,0.07909161355303826,"[0.07509179191869587, 0.08250614954123427, 0.07684658963463482, 0.08249470774467357, 0.07851882892595272]",,,,,
sub-02,V1,V3B,train,sub-03,linear_predictivity,435,149,0.03447100963290956,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0, 10000.0]",0.10924277144516945,1.092655446833957,0.8905552766756252,0.9601092299364711
sub-02,V1,V3B,test,sub-03,linear_predictivity,435,149,0.10671352251116151,"[0.10551891226212033, 0.11968883527875047, 0.1214467775923008, 0.09056638423163982, 0.09634670319099603]",,,,,
sub-02,V1,V6,train,sub-03,linear_predictivity,435,157,0.02450006467032716,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1159691197950086,1.0982933616629373,0.8837600436685079,0.9706024420664067
sub-02,V1,V6,test,sub-03,linear_predictivity,435,157,0.08318980543056431,"[0.07640809198191764, 0.08657450760068755, 0.08992448686251239, 0.08312732110534538, 0.0799146196023586]",,,,,
sub-02,V1,V6A,train,sub-03,linear_predictivity,435,68,0.014282893586180165,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0]",0.09694113975674219,1.1006910230593718,0.9027620818751483,0.9813673269129758
