model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-02,V1,V1,train,sub-03,435,361,rsa,0.16642877459526062
sub-02,V1,V2,train,sub-03,435,525,rsa,0.1577601134777069
sub-02,V1,V3,train,sub-03,435,361,rsa,0.1885739415884018
sub-02,V1,V4,train,sub-03,435,555,rsa,0.1176062673330307
sub-02,V1,V3A,train,sub-03,435,198,rsa,0.03663400560617447
sub-02,V1,V3B,train,sub-03,435,149,rsa,0.039841003715991974
sub-02,V1,V6,train,sub-03,435,157,rsa,0.024652116000652313
sub-02,V1,V6A,train,sub-03,435,68,rsa,0.020145071670413017
sub-02,V1,V7,train,sub-03,435,88,rsa,0.03480806201696396
sub-02,V1,V8,train,sub-03,435,111,rsa,0.05324602127075195
sub-02,V1,FFC,train,sub-03,435,301,rsa,0.04666433855891228
sub-02,V1,PIT,train,sub-03,435,105,rsa,0.04180828481912613
sub-02,V1,IPS1,train,sub-03,435,123,rsa,0.014713865704834461
sub-02,V1,MST,train,sub-03,435,147,rsa,0.03375376760959625
sub-02,V1,MT,train,sub-03,435,98,rsa,0.045406658202409744
sub-02,V1,FST,train,sub-03,435,166,rsa,0.019645364955067635
sub-02,V1,LO1,train,sub-03,435,74,rsa,0.04031101614236832
sub-02,V1,LO2,train,sub-03,435,75,rsa,0.02224537543952465
sub-02,V1,LO3,train,sub-03,435,124,rsa,0.034969281405210495
sub-02,V1,V7,train,sub-03,435,88,rsa,0.03480806201696396
sub-02,V1,IP0,train,sub-03,435,110,rsa,0.015435414388775826
sub-02,V1,IP1,train,sub-03,435,17,rsa,0.0010042176581919193
sub-02,V1,MIP,train,sub-03,435,176,rsa,0.015780605375766754
sub-02,V1,VIP,train,sub-03,435,150,rsa,0.014753269962966442
sub-02,V1,LIPd,train,sub-03,435,22,rsa,0.0018281901720911264
sub-02,V1,LIPv,train,sub-03,435,178,rsa,0.01280228141695261
sub-02,V1,AIP,train,sub-03,435,121,rsa,0.0015806092415004969
sub-02,V1,7Pm,train,sub-03,435,23,rsa,0.006460523698478937
sub-02,V1,7PL,train,sub-03,435,32,rsa,0.008668629452586174
sub-02,V1,7PC,train,sub-03,435,241,rsa,0.004002077504992485
sub-02,V1,7Am,train,sub-03,435,115,rsa,0.0049415817484259605
sub-02,V1,7AL,train,sub-03,435,210,rsa,0.004351054318249226
sub-02,V1,VVC,train,sub-03,435,185,rsa,0.021981708705425262
sub-02,V1,VMV2,train,sub-03,435,108,rsa,0.03203827515244484
sub-02,V1,VMV3,train,sub-03,435,111,rsa,0.028335029259324074
sub-02,V1,VMV1,train,sub-03,435,73,rsa,0.03042122721672058
sub-02,V1,PHA2,train,sub-03,435,17,rsa,0.004553948529064655
sub-02,V1,PHA3,train,sub-03,435,86,rsa,0.010983604937791824
sub-02,V1,PH,train,sub-03,435,280,rsa,0.03048178181052208
sub-02,V2,V1,train,sub-03,567,361,rsa,0.1454998105764389
sub-02,V2,V2,train,sub-03,567,525,rsa,0.19288970530033112
sub-02,V2,V3,train,sub-03,567,361,rsa,0.1782761812210083
sub-02,V2,V4,train,sub-03,567,555,rsa,0.1325468271970749
sub-02,V2,V3A,train,sub-03,567,198,rsa,0.06257060915231705
sub-02,V2,V3B,train,sub-03,567,149,rsa,0.05200356990098953
