model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-01,V1,V1,train,sub-06,linear_predictivity,1221,597,0.12017718682285658,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2853384183067881,1.259208499524926,0.7144128220317774,0.8749664047597294
sub-01,V1,V1,test,sub-06,linear_predictivity,1221,597,0.22275093758587744,"[0.2263951885491132, 0.22177268621479876, 0.22484649778066507, 0.22058156033966766, 0.22015875504514246]",,,,,
sub-01,V1,V2,train,sub-06,linear_predictivity,1221,631,0.09184621709853624,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.26255855979932335,1.2872595565892742,0.7371760199063887,0.9029701422176281
sub-01,V1,V2,test,sub-06,linear_predictivity,1221,631,0.17960356067823985,"[0.18163558845418146, 0.1739277616151368, 0.17814964951467144, 0.1812238115067868, 0.18308099230042266]",,,,,
sub-01,V1,V3,train,sub-06,linear_predictivity,1221,432,0.09933024368794438,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.26808802905299617,1.268590525245615,0.731649377296955,0.8956682439445256
sub-01,V1,V3,test,sub-06,linear_predictivity,1221,432,0.17779702180623347,"[0.18008152678279674, 0.17809567940943904, 0.17547084279796937, 0.17536591849662525, 0.179971141544337]",,,,,
sub-01,V1,V4,train,sub-06,linear_predictivity,1221,560,0.0902107939758794,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2605231494137565,1.266893843990364,0.7392560370379949,0.9054258482344497
sub-01,V1,V4,test,sub-06,linear_predictivity,1221,560,0.17368391675473266,"[0.17822910511248793, 0.1807691254491822, 0.16964938636556204, 0.16776250893672, 0.17200945790971123]",,,,,
sub-01,V1,V3A,train,sub-06,linear_predictivity,1221,161,0.037337280108236844,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.12548466147622098,1.3379411454201127,0.8742857803069821,0.9588659349062768
sub-01,V1,V3A,test,sub-06,linear_predictivity,1221,161,0.08190816168555393,"[0.08119634091337671, 0.0840277698193883, 0.0807176920505897, 0.08071472891460996, 0.08288427672980496]",,,,,
sub-01,V1,V3B,train,sub-06,linear_predictivity,1221,86,0.01943860105522467,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.10767608267352502,1.3626790350773588,0.892128010084537,0.97709645455645
sub-01,V1,V3B,test,sub-06,linear_predictivity,1221,86,0.07585843998817296,"[0.08254498564072976, 0.08098139996121766, 0.07245716960803653, 0.07365082334602314, 0.06965782138485767]",,,,,
sub-01,V1,V6,train,sub-06,linear_predictivity,1221,86,0.024129944701221887,,"[10000.0, 10000.0, 3162.277660168379, 3162.277660168379, 10000.0]",0.15551730297665006,1.3398757149099088,0.8441917937525405,0.9698236474424402
sub-01,V1,V6,test,sub-06,linear_predictivity,1221,86,0.0889213235683626,"[0.0881089020069635, 0.07828971663860929, 0.10007420096225539, 0.09782050876876061, 0.08031328946522424]",,,,,
sub-01,V1,V6A,train,sub-06,linear_predictivity,1221,73,0.05599921612262936,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.22980543300016545,1.3005022839658513,0.7698814893478731,0.9382197764697444
sub-01,V1,V6A,test,sub-06,linear_predictivity,1221,73,0.1357508269654356,"[0.14715314495867945, 0.13100683453635964, 0.1361279906100556, 0.13304174003617486, 0.13142442468590856]",,,,,
sub-01,V1,V7,train,sub-06,linear_predictivity,1221,83,0.06677646664270863,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2415453996259446,1.2624039326261975,0.7580805597861271,0.9267675842424532
sub-01,V1,V7,test,sub-06,linear_predictivity,1221,83,0.15794176599023874,"[0.16426116810493693, 0.1748963404726907, 0.15093353871719256, 0.1457367526460473, 0.15388103001032616]",,,,,
sub-01,V1,V8,train,sub-06,linear_predictivity,1221,107,0.04665850171549072,,"[3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.208575740233295,1.3015009950599548,0.791178095936881,0.9496826015019911
sub-01,V1,V8,test,sub-06,linear_predictivity,1221,107,0.10734922114856058,"[0.11162317595650523, 0.10271750415135548, 0.10891758595562173, 0.10264170938140177, 0.11084613029791869]",,,,,
sub-01,V1,FFC,train,sub-06,linear_predictivity,1221,217,0.029594215212159825,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.11676923284212977,1.3482186889718237,0.8830132642677313,0.966682365484629
sub-01,V1,FFC,test,sub-06,linear_predictivity,1221,217,0.0273350036153616,"[0.029528069238309165, 0.027975504437354075, 0.02718664697329356, 0.023178716074640192, 0.028806081353210986]",,,,,
sub-01,V1,PIT,train,sub-06,linear_predictivity,1221,105,0.06921398817194604,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.24451768824339357,1.2923983243916723,0.7553070826393421,0.9273859932496652
sub-01,V1,PIT,test,sub-06,linear_predictivity,1221,105,0.18548067347843739,"[0.18471422845603525, 0.19289648476895097, 0.18658897912151584, 0.17002609044240896, 0.19317758460327605]",,,,,
sub-01,V1,IPS1,train,sub-06,linear_predictivity,1221,150,0.023015466777342817,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.11094067477221774,1.3389786493971496,0.8888290460235702,0.9730416730392248
sub-01,V1,IPS1,test,sub-06,linear_predictivity,1221,150,0.10653818751176077,"[0.11262633819436163, 0.10328887778305049, 0.10243903693084962, 0.10892355056839766, 0.10541313408214448]",,,,,
sub-01,V1,MST,train,sub-06,linear_predictivity,1221,148,0.08895154511363954,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2604335238852268,1.256834163840442,0.7393374768206311,0.9072638717229442
sub-01,V1,MST,test,sub-06,linear_predictivity,1221,148,0.15761335022401962,"[0.16486864489001007, 0.1566908843428673, 0.1546254542267854, 0.152853037208284, 0.1590287304521513]",,,,,
sub-01,V1,MT,train,sub-06,linear_predictivity,1221,95,0.08231191747832246,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2550436984249907,1.2762039019604199,0.7446776097784055,0.9126191703505473
sub-01,V1,MT,test,sub-06,linear_predictivity,1221,95,0.16481221103470625,"[0.17534202697208684, 0.16388774726425076, 0.16477791327209323, 0.1543896071057816, 0.16566376055931872]",,,,,
sub-01,V1,FST,train,sub-06,linear_predictivity,1221,174,0.11767357727583654,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.27976985232721885,1.2082111651664604,0.7198818173437679,0.8772902385045978
sub-01,V1,FST,test,sub-06,linear_predictivity,1221,174,0.2208735923598423,"[0.2254789627234471, 0.22175384054055627, 0.2153876261138584, 0.21716672243425644, 0.22458080998709326]",,,,,
sub-01,V1,LO1,train,sub-06,linear_predictivity,1221,75,0.03941488325269949,,"[3162.277660168379, 10000.0, 3162.277660168379, 10000.0, 3162.277660168379]",0.1825379274330044,1.3193647641393738,0.8171116967043558,0.9578804808794816
sub-01,V1,LO1,test,sub-06,linear_predictivity,1221,75,0.09020236842456493,"[0.10999511492233263, 0.07660699236197069, 0.09594789133171215, 0.07183123818377843, 0.09663060532303067]",,,,,
sub-01,V1,LO2,train,sub-06,linear_predictivity,1221,78,0.07617187821071737,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2455166533852462,1.2879333418123817,0.7543215273349453,0.9209659765002515
sub-01,V1,LO2,test,sub-06,linear_predictivity,1221,78,0.18040593447646008,"[0.18540570019721203, 0.17416147790795586, 0.18234387642753522, 0.17909970710110623, 0.18101891074849105]",,,,,
sub-01,V1,LO3,train,sub-06,linear_predictivity,1221,115,0.04220201605338141,,"[3162.277660168379, 10000.0, 3162.277660168379, 10000.0, 3162.277660168379]",0.18594512978562,1.2926263717050746,0.8138678188543444,0.9543256309574151
