model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-01,V1,V1,train,sub-06,1221,597,rsa,0.16226263344287872
sub-01,V1,V2,train,sub-06,1221,631,rsa,0.13276410102844238
sub-01,V1,V3,train,sub-06,1221,432,rsa,0.11438502371311188
sub-01,V1,V4,train,sub-06,1221,560,rsa,0.07277120649814606
sub-01,V1,V3A,train,sub-06,1221,161,rsa,0.05615207925438881
sub-01,V1,V3B,train,sub-06,1221,86,rsa,0.019976872950792313
sub-01,V1,V6,train,sub-06,1221,86,rsa,0.027408402413129807
sub-01,V1,V6A,train,sub-06,1221,73,rsa,0.02775721065700054
sub-01,V1,V7,train,sub-06,1221,83,rsa,0.025942398235201836
sub-01,V1,V8,train,sub-06,1221,107,rsa,0.03488205000758171
sub-01,V1,FFC,train,sub-06,1221,217,rsa,0.02935837022960186
sub-01,V1,PIT,train,sub-06,1221,105,rsa,0.039310965687036514
sub-01,V1,IPS1,train,sub-06,1221,150,rsa,0.01315890159457922
sub-01,V1,MST,train,sub-06,1221,148,rsa,0.03751879557967186
sub-01,V1,MT,train,sub-06,1221,95,rsa,0.030838949605822563
sub-01,V1,FST,train,sub-06,1221,174,rsa,0.02936757728457451
sub-01,V1,LO1,train,sub-06,1221,75,rsa,0.027461078017950058
sub-01,V1,LO2,train,sub-06,1221,78,rsa,0.026757076382637024
sub-01,V1,LO3,train,sub-06,1221,115,rsa,0.021410716697573662
sub-01,V1,V7,train,sub-06,1221,83,rsa,0.025942398235201836
sub-01,V1,IP0,train,sub-06,1221,102,rsa,0.01804606430232525
sub-01,V1,IP1,train,sub-06,1221,14,rsa,0.007761963177472353
sub-01,V1,MIP,train,sub-06,1221,111,rsa,0.0217867661267519
sub-01,V1,VIP,train,sub-06,1221,150,rsa,0.02617390640079975
sub-01,V1,LIPd,train,sub-06,1221,52,rsa,0.009011738933622837
sub-01,V1,LIPv,train,sub-06,1221,205,rsa,0.021520448848605156
sub-01,V1,AIP,train,sub-06,1221,244,rsa,0.006600697059184313
sub-01,V1,7Pm,train,sub-06,1221,3,rsa,0.005037772934883833
sub-01,V1,7PL,train,sub-06,1221,24,rsa,0.007818512618541718
sub-01,V1,7PC,train,sub-06,1221,276,rsa,0.017242712900042534
sub-01,V1,7Am,train,sub-06,1221,86,rsa,0.013348257169127464
sub-01,V1,7AL,train,sub-06,1221,236,rsa,0.00844231154769659
sub-01,V1,VVC,train,sub-06,1221,202,rsa,0.02854943834245205
sub-01,V1,VMV2,train,sub-06,1221,69,rsa,0.02118019387125969
sub-01,V1,VMV3,train,sub-06,1221,103,rsa,0.018433403223752975
sub-01,V1,VMV1,train,sub-06,1221,21,rsa,0.0062013473361730576
sub-01,V1,PHA2,train,sub-06,1221,49,rsa,0.020561736077070236
sub-01,V1,PHA3,train,sub-06,1221,156,rsa,0.023798421025276184
sub-01,V1,PH,train,sub-06,1221,327,rsa,0.022489458322525024
sub-01,V2,V1,train,sub-06,925,597,rsa,0.17023824155330658
