model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-05,V1,V1,train,sub-08,linear_predictivity,608,560,0.06313395091315673,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16788427164801759,1.1317283112518546,0.8319232976565851,0.9334032886060568
sub-05,V1,V1,test,sub-08,linear_predictivity,608,560,0.1430726990124819,"[0.13855275529497937, 0.13854700057306632, 0.14630122682535518, 0.14581224845303922, 0.14615026391596944]",,,,,
sub-05,V1,V2,train,sub-08,linear_predictivity,608,482,0.08582769744978411,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18745698371813752,1.112934514784532,0.8123503492860505,0.9106735931610253
sub-05,V1,V2,test,sub-08,linear_predictivity,608,482,0.19513639033554728,"[0.18782770562079737, 0.19283070623713566, 0.19821663450236918, 0.1988680222960567, 0.19793888302137758]",,,,,
sub-05,V1,V3,train,sub-08,linear_predictivity,608,458,0.04732383685114294,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15333444065874832,1.1472742885984624,0.8465046697424394,0.9496025112347946
sub-05,V1,V3,test,sub-08,linear_predictivity,608,458,0.13449542475452375,"[0.13119348290682728, 0.12826164560220038, 0.13485775817848547, 0.13868618726836435, 0.1394780498167413]",,,,,
sub-05,V1,V4,train,sub-08,linear_predictivity,608,604,0.0331986906161822,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14030355014252216,1.1535445605539296,0.8595511256464284,0.964035915777458
sub-05,V1,V4,test,sub-08,linear_predictivity,608,604,0.10013587735445888,"[0.09898622734997346, 0.09371059567177603, 0.09684988919728513, 0.10430512006710642, 0.10682755448615339]",,,,,
sub-05,V1,V3A,train,sub-08,linear_predictivity,608,226,0.01631019417105222,,"[3162.277660168379, 10000.0, 10000.0, 3162.277660168379, 10000.0]",0.09787300829249093,1.155790810907809,0.9019399603591841,0.9800082508627284
sub-05,V1,V3A,test,sub-08,linear_predictivity,608,226,0.07504026322488841,"[0.07087119078727033, 0.0660712871807619, 0.07121983306166156, 0.0933756885168709, 0.07366331657787735]",,,,,
sub-05,V1,V3B,train,sub-08,linear_predictivity,608,147,0.013187330552926969,,"[10000.0, 10000.0, 10000.0, 3162.277660168379, 3162.277660168379]",0.08967245728858823,1.1680767510436831,0.910220090460433,0.9840718357832297
sub-05,V1,V3B,test,sub-08,linear_predictivity,608,147,0.06748142603119711,"[0.04706672614523962, 0.052138923854299635, 0.04868463512685983, 0.09504232319081891, 0.09447452183876756]",,,,,
sub-05,V1,V6,train,sub-08,linear_predictivity,608,105,0.004573730901295624,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.059733637316170596,1.1743610958390271,0.9400621654916403,0.9919637726560875
sub-05,V1,V6,test,sub-08,linear_predictivity,608,105,0.00946692858752179,"[0.012911256278440576, 0.010877200309261007, 0.01358237902603698, 0.0009742876809914887, 0.008989519642878889]",,,,,
sub-05,V1,V6A,train,sub-08,linear_predictivity,608,84,0.017243488682671806,,"[3162.277660168379, 10000.0, 10000.0, 3162.277660168379, 3162.277660168379]",0.10785921617404963,1.1556577545647855,0.8919464377076063,0.9782742689677001
