model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-05,V1,V1,train,sub-08,608,560,rsa,0.09627307206392288
sub-05,V1,V2,train,sub-08,608,482,rsa,0.10201805084943771
sub-05,V1,V3,train,sub-08,608,458,rsa,0.06892769783735275
sub-05,V1,V4,train,sub-08,608,604,rsa,0.06458956748247147
sub-05,V1,V3A,train,sub-08,608,226,rsa,0.029292691498994827
sub-05,V1,V3B,train,sub-08,608,147,rsa,0.029229730367660522
sub-05,V1,V6,train,sub-08,608,105,rsa,0.01317915040999651
sub-05,V1,V6A,train,sub-08,608,84,rsa,0.02012592926621437
sub-05,V1,V7,train,sub-08,608,78,rsa,0.016366392374038696
sub-05,V1,V8,train,sub-08,608,112,rsa,0.0363590307533741
sub-05,V1,FFC,train,sub-08,608,275,rsa,0.027157152071595192
sub-05,V1,PIT,train,sub-08,608,117,rsa,0.017436154186725616
sub-05,V1,IPS1,train,sub-08,608,219,rsa,0.017963368445634842
sub-05,V1,MST,train,sub-08,608,140,rsa,0.019629482179880142
sub-05,V1,MT,train,sub-08,608,99,rsa,0.02242141216993332
sub-05,V1,FST,train,sub-08,608,149,rsa,0.022349897772073746
sub-05,V1,LO1,train,sub-08,608,79,rsa,0.012275410816073418
sub-05,V1,LO2,train,sub-08,608,83,rsa,0.03781794384121895
sub-05,V1,LO3,train,sub-08,608,125,rsa,0.02265823259949684
sub-05,V1,V7,train,sub-08,608,78,rsa,0.016366392374038696
sub-05,V1,IP0,train,sub-08,608,151,rsa,0.01601041853427887
sub-05,V1,IP1,train,sub-08,608,91,rsa,0.0057632834650576115
sub-05,V1,MIP,train,sub-08,608,291,rsa,0.013265600427985191
sub-05,V1,VIP,train,sub-08,608,184,rsa,0.007625511847436428
sub-05,V1,LIPd,train,sub-08,608,77,rsa,0.005442849360406399
sub-05,V1,LIPv,train,sub-08,608,251,rsa,0.006271663121879101
sub-05,V1,AIP,train,sub-08,608,387,rsa,0.003599810181185603
sub-05,V1,7Pm,train,sub-08,608,25,rsa,0.0014767261454835534
sub-05,V1,7PL,train,sub-08,608,91,rsa,0.0071031320840120316
sub-05,V1,7PC,train,sub-08,608,231,rsa,0.0027652978897094727
sub-05,V1,7Am,train,sub-08,608,136,rsa,0.004807492718100548
sub-05,V1,7AL,train,sub-08,608,234,rsa,0.0016676699742674828
sub-05,V1,VVC,train,sub-08,608,199,rsa,0.013475808314979076
sub-05,V1,VMV2,train,sub-08,608,94,rsa,0.00965910218656063
sub-05,V1,VMV3,train,sub-08,608,107,rsa,0.015262622386217117
sub-05,V1,VMV1,train,sub-08,608,44,rsa,0.011780302971601486
sub-05,V1,PHA2,train,sub-08,608,13,rsa,0.003052867716178298
sub-05,V1,PHA3,train,sub-08,608,55,rsa,0.009118052199482918
sub-05,V1,PH,train,sub-08,608,350,rsa,0.022176165133714676
sub-05,V2,V1,train,sub-08,559,560,rsa,0.09133134037256241
sub-05,V2,V2,train,sub-08,559,482,rsa,0.1164097785949707
sub-05,V2,V3,train,sub-08,559,458,rsa,0.08718878030776978
sub-05,V2,V4,train,sub-08,559,604,rsa,0.08335280418395996
sub-05,V2,V3A,train,sub-08,559,226,rsa,0.043747108429670334
sub-05,V2,V3B,train,sub-08,559,147,rsa,0.04129515215754509
sub-05,V2,V6,train,sub-08,559,105,rsa,0.02191714011132717
sub-05,V2,V6A,train,sub-08,559,84,rsa,0.027471579611301422
