model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-09,V1,V1,train,sub-02,linear_predictivity,641,435,0.12327097839432505,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.230782018304695,1.1161707934703842,0.7690213823701322,0.8732418250206718
sub-09,V1,V1,test,sub-02,linear_predictivity,641,435,0.22980429391143983,"[0.22633838130893458, 0.23191334874880845, 0.23408189376340013, 0.22886046816915231, 0.2278273775669037]",,,,,
sub-09,V1,V2,train,sub-02,linear_predictivity,641,567,0.08727604844008743,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20195940850544006,1.1412651193665042,0.7978168136209527,0.9085785275204807
sub-09,V1,V2,test,sub-02,linear_predictivity,641,567,0.17671788701607483,"[0.17426552227686304, 0.18440111319436958, 0.17562624742566793, 0.17463823644504897, 0.1746583157384246]",,,,,
sub-09,V1,V3,train,sub-02,linear_predictivity,641,538,0.07062972862185185,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1874214966268518,1.1595487031348495,0.8123608003566141,0.9252554842485718
sub-09,V1,V3,test,sub-02,linear_predictivity,641,538,0.16593181021899475,"[0.1609888825844296, 0.16672582528557475, 0.16689184528291387, 0.16017074780874388, 0.1748817501333116]",,,,,
sub-09,V1,V4,train,sub-02,linear_predictivity,641,630,0.05607280146461789,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17416176992061883,1.1686798636491669,0.8256497657123777,0.9402430325314857
sub-09,V1,V4,test,sub-02,linear_predictivity,641,630,0.140674772519339,"[0.1332462944323735, 0.14057427314598747, 0.14668315122267314, 0.13479164308069297, 0.14807850071496784]",,,,,
sub-09,V1,V3A,train,sub-02,linear_predictivity,641,273,0.04529817191423626,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16483472459483553,1.1725036660923347,0.8349285765270137,0.950012858290008
sub-09,V1,V3A,test,sub-02,linear_predictivity,641,273,0.10343763740983895,"[0.0949820395445712, 0.11323605342109089, 0.09527118657573863, 0.10795573902961798, 0.1057431684781761]",,,,,
