model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-09,V1,V1,train,sub-02,641,435,rsa,0.14361472427845
sub-09,V1,V2,train,sub-02,641,567,rsa,0.1245155930519104
sub-09,V1,V3,train,sub-02,641,538,rsa,0.09417444467544556
sub-09,V1,V4,train,sub-02,641,630,rsa,0.0806882381439209
sub-09,V1,V3A,train,sub-02,641,273,rsa,0.04087517783045769
sub-09,V1,V3B,train,sub-02,641,148,rsa,0.04921668767929077
sub-09,V1,V6,train,sub-02,641,147,rsa,0.02777831070125103
sub-09,V1,V6A,train,sub-02,641,82,rsa,0.0140567347407341
sub-09,V1,V7,train,sub-02,641,88,rsa,0.023868076503276825
sub-09,V1,V8,train,sub-02,641,105,rsa,0.049234382808208466
sub-09,V1,FFC,train,sub-02,641,269,rsa,0.02513621188700199
sub-09,V1,PIT,train,sub-02,641,110,rsa,0.02594965510070324
sub-09,V1,IPS1,train,sub-02,641,212,rsa,0.02110660821199417
sub-09,V1,MST,train,sub-02,641,149,rsa,0.04230900853872299
sub-09,V1,MT,train,sub-02,641,99,rsa,0.04074326157569885
sub-09,V1,FST,train,sub-02,641,171,rsa,0.03294680267572403
sub-09,V1,LO1,train,sub-02,641,78,rsa,0.0389188788831234
sub-09,V1,LO2,train,sub-02,641,82,rsa,0.04794412851333618
sub-09,V1,LO3,train,sub-02,641,124,rsa,0.02784438617527485
sub-09,V1,V7,train,sub-02,641,88,rsa,0.023868076503276825
sub-09,V1,IP0,train,sub-02,641,151,rsa,0.025130242109298706
sub-09,V1,IP1,train,sub-02,641,78,rsa,0.015594664961099625
sub-09,V1,MIP,train,sub-02,641,198,rsa,0.010733909904956818
sub-09,V1,VIP,train,sub-02,641,200,rsa,0.011283691972494125
sub-09,V1,LIPd,train,sub-02,641,106,rsa,0.011344593949615955
sub-09,V1,LIPv,train,sub-02,641,239,rsa,0.009112243540585041
sub-09,V1,AIP,train,sub-02,641,381,rsa,0.007781253196299076
sub-09,V1,7Pm,train,sub-02,641,37,rsa,0.0037066801451146603
sub-09,V1,7PL,train,sub-02,641,38,rsa,0.007199638523161411
sub-09,V1,7PC,train,sub-02,641,234,rsa,0.011337287724018097
sub-09,V1,7Am,train,sub-02,641,232,rsa,0.00940729957073927
sub-09,V1,7AL,train,sub-02,641,259,rsa,0.014708679169416428
sub-09,V1,VVC,train,sub-02,641,159,rsa,0.027906304225325584
sub-09,V1,VMV2,train,sub-02,641,124,rsa,0.014319941401481628
