model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-09,V1,V1,train,sub-08,linear_predictivity,641,560,0.09157332883273266,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20733276152596183,1.1480937144247625,0.7924333225576832,0.9042592693894911
sub-09,V1,V1,test,sub-08,linear_predictivity,641,560,0.205054987189001,"[0.1956092396606336, 0.20925021732622862, 0.2112917158247185, 0.2096298200049072, 0.19949394312851731]",,,,,
sub-09,V1,V2,train,sub-08,linear_predictivity,641,482,0.11622560560021558,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.22763260306583638,1.1240356450143365,0.7721496362989816,0.8799912066480473
sub-09,V1,V2,test,sub-08,linear_predictivity,641,482,0.24148907625058272,"[0.23184504652945762, 0.24336344028237164, 0.24813990430018149, 0.24145552268072296, 0.24264146746017987]",,,,,
sub-09,V1,V3,train,sub-08,linear_predictivity,641,458,0.0682733828388462,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18579028100444,1.1694333062628743,0.8140277420955397,0.9284493705843786
sub-09,V1,V3,test,sub-08,linear_predictivity,641,458,0.16142075871029687,"[0.15485459183123546, 0.1635216867414787, 0.16215968011876583, 0.16259123747888451, 0.1639765973811199]",,,,,
sub-09,V1,V4,train,sub-08,linear_predictivity,641,604,0.060696673375215886,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17796715054440665,1.1788444674157292,0.8218649508169152,0.9363317005819143
sub-09,V1,V4,test,sub-08,linear_predictivity,641,604,0.1138871441816471,"[0.11226291209178264, 0.10981459366820347, 0.11335972280363554, 0.1161289824536211, 0.11786950989099268]",,,,,
sub-09,V1,V3A,train,sub-08,linear_predictivity,641,226,0.03605959115982806,,"[3162.277660168379, 10000.0, 10000.0, 3162.277660168379, 3162.277660168379]",0.13725754551204722,1.196026645824576,0.8625631835701503,0.9603133905445878
sub-09,V1,V3A,test,sub-08,linear_predictivity,641,226,0.11504915291440829,"[0.1168179851022121, 0.11163427618489861, 0.10408214760638264, 0.1253747482843588, 0.11733660739418937]",,,,,
sub-09,V1,V3B,train,sub-08,linear_predictivity,641,147,0.052908792253411045,,"[3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1566665393993175,1.1977772316476014,0.8431697962067093,0.9443822234298359
sub-09,V1,V3B,test,sub-08,linear_predictivity,641,147,0.09478683263598861,"[0.09031684194846701, 0.09059045427218038, 0.0925240007578094, 0.10573090337757808, 0.09477196282390814]",,,,,
sub-09,V1,V6,train,sub-08,linear_predictivity,641,105,0.02227162727359893,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.08236864000820796,1.2090388374412246,0.9174248961068725,0.9742976563030521
sub-09,V1,V6,test,sub-08,linear_predictivity,641,105,0.050279552917725366,"[0.048270372718122984, 0.057302917662525286, 0.04993922984962088, 0.04802856033394389, 0.0478566840244138]",,,,,
sub-09,V1,V6A,train,sub-08,linear_predictivity,641,84,0.049401097791076355,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.16205021543775588,1.1762105210115634,0.8375381998229873,0.9456908657112848
sub-09,V1,V6A,test,sub-08,linear_predictivity,641,84,0.11451886844707795,"[0.12229541810803284, 0.12527055199019912, 0.09072782937927981, 0.12486340415942261, 0.1094371385984554]",,,,,
sub-09,V1,V7,train,sub-08,linear_predictivity,641,78,0.06567745068077369,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18474224635387398,1.1582869553165904,0.8149752705486939,0.9298040466907258
sub-09,V1,V7,test,sub-08,linear_predictivity,641,78,0.08543291037291394,"[0.083958591400325, 0.09191401434757032, 0.07412460620147633, 0.1007923311360968, 0.07637500877910128]",,,,,
sub-09,V1,V8,train,sub-08,linear_predictivity,641,112,0.039558870491940304,,"[3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379, 10000.0]",0.13393007034414622,1.2150536596612582,0.8658209703167439,0.9584737426415254
sub-09,V1,V8,test,sub-08,linear_predictivity,641,112,0.057471898402622734,"[0.06074549113971127, 0.04998093889227882, 0.06286273831671478, 0.052840202184539886, 0.06093012147986893]",,,,,
sub-09,V1,FFC,train,sub-08,linear_predictivity,641,275,0.04708324062781859,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16847360477428625,1.1817750547227486,0.8313247690829859,0.9492220855471777
sub-09,V1,FFC,test,sub-08,linear_predictivity,641,275,0.09670609193637161,"[0.09483163183906622, 0.10093434675755665, 0.09779916934528098, 0.09090680476541992, 0.09905850697453425]",,,,,
sub-09,V1,PIT,train,sub-08,linear_predictivity,641,117,0.03944462129435267,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16318479169993133,1.186543955346917,0.836655304066003,0.9576056878652063
sub-09,V1,PIT,test,sub-08,linear_predictivity,641,117,0.0980884364708503,"[0.09389155848925083, 0.10185980514987662, 0.10311989024184821, 0.0984585533374582, 0.0931123751358176]",,,,,
sub-09,V1,IPS1,train,sub-08,linear_predictivity,641,219,0.03279587550306373,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15569224865881381,1.195172766261884,0.8440696076241702,0.9630110188588477
sub-09,V1,IPS1,test,sub-08,linear_predictivity,641,219,0.06281461756940013,"[0.06420170857859514, 0.06625682227330636, 0.05714831755943498, 0.07284870232193903, 0.05361753711372513]",,,,,
sub-09,V1,MST,train,sub-08,linear_predictivity,641,140,0.08539587653508984,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20268683614330735,1.1302155465519348,0.7971841056278374,0.9124874907449488
sub-09,V1,MST,test,sub-08,linear_predictivity,641,140,0.1242809361209816,"[0.12306552295899173, 0.13166369374380232, 0.11262937901855846, 0.1355019306402087, 0.11854415424334676]",,,,,
sub-09,V1,MT,train,sub-08,linear_predictivity,641,99,0.07018245704706495,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1888152314723223,1.152603947158167,0.8109465787231711,0.9255775946604056
