model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-09,V1,V1,train,sub-08,641,560,rsa,0.13781648874282837
sub-09,V1,V2,train,sub-08,641,482,rsa,0.13640718162059784
sub-09,V1,V3,train,sub-08,641,458,rsa,0.09283232688903809
sub-09,V1,V4,train,sub-08,641,604,rsa,0.08485889434814453
sub-09,V1,V3A,train,sub-08,641,226,rsa,0.043625738471746445
sub-09,V1,V3B,train,sub-08,641,147,rsa,0.04212063550949097
sub-09,V1,V6,train,sub-08,641,105,rsa,0.02975461259484291
sub-09,V1,V6A,train,sub-08,641,84,rsa,0.035694047808647156
sub-09,V1,V7,train,sub-08,641,78,rsa,0.028286613523960114
sub-09,V1,V8,train,sub-08,641,112,rsa,0.04508788883686066
sub-09,V1,FFC,train,sub-08,641,275,rsa,0.03535674512386322
sub-09,V1,PIT,train,sub-08,641,117,rsa,0.029163319617509842
sub-09,V1,IPS1,train,sub-08,641,219,rsa,0.02541692927479744
sub-09,V1,MST,train,sub-08,641,140,rsa,0.0315803699195385
sub-09,V1,MT,train,sub-08,641,99,rsa,0.03233984485268593
sub-09,V1,FST,train,sub-08,641,149,rsa,0.04022744670510292
sub-09,V1,LO1,train,sub-08,641,79,rsa,0.02405620366334915
sub-09,V1,LO2,train,sub-08,641,83,rsa,0.0402180552482605
sub-09,V1,LO3,train,sub-08,641,125,rsa,0.028285428881645203
sub-09,V1,V7,train,sub-08,641,78,rsa,0.028286613523960114
sub-09,V1,IP0,train,sub-08,641,151,rsa,0.019527900964021683
sub-09,V1,IP1,train,sub-08,641,91,rsa,0.006937364581972361
sub-09,V1,MIP,train,sub-08,641,291,rsa,0.020445996895432472
sub-09,V1,VIP,train,sub-08,641,184,rsa,0.014130797237157822
sub-09,V1,LIPd,train,sub-08,641,77,rsa,0.007264497224241495
sub-09,V1,LIPv,train,sub-08,641,251,rsa,0.011090980842709541
sub-09,V1,AIP,train,sub-08,641,387,rsa,0.005937173031270504
sub-09,V1,7Pm,train,sub-08,641,25,rsa,0.0019921516068279743
sub-09,V1,7PL,train,sub-08,641,91,rsa,0.011179747059941292
sub-09,V1,7PC,train,sub-08,641,231,rsa,0.008447205647826195
sub-09,V1,7Am,train,sub-08,641,136,rsa,0.00975310243666172
sub-09,V1,7AL,train,sub-08,641,234,rsa,0.00610201945528388
sub-09,V1,VVC,train,sub-08,641,199,rsa,0.017783187329769135
sub-09,V1,VMV2,train,sub-08,641,94,rsa,0.013769840821623802
sub-09,V1,VMV3,train,sub-08,641,107,rsa,0.018848031759262085
sub-09,V1,VMV1,train,sub-08,641,44,rsa,0.02074556238949299
sub-09,V1,PHA2,train,sub-08,641,13,rsa,0.0072815995663404465
sub-09,V1,PHA3,train,sub-08,641,55,rsa,0.014014937914907932
sub-09,V1,PH,train,sub-08,641,350,rsa,0.03807222470641136
sub-09,V2,V1,train,sub-08,754,560,rsa,0.11654477566480637
sub-09,V2,V2,train,sub-08,754,482,rsa,0.1659848839044571
sub-09,V2,V3,train,sub-08,754,458,rsa,0.11414572596549988
sub-09,V2,V4,train,sub-08,754,604,rsa,0.10226763784885406
sub-09,V2,V3A,train,sub-08,754,226,rsa,0.054330628365278244
sub-09,V2,V3B,train,sub-08,754,147,rsa,0.04592672362923622
sub-09,V2,V6,train,sub-08,754,105,rsa,0.046359483152627945
sub-09,V2,V6A,train,sub-08,754,84,rsa,0.04670149087905884
sub-09,V2,V7,train,sub-08,754,78,rsa,0.03062821552157402
sub-09,V2,V8,train,sub-08,754,112,rsa,0.05582913011312485
sub-09,V2,FFC,train,sub-08,754,275,rsa,0.04253077507019043
sub-09,V2,PIT,train,sub-08,754,117,rsa,0.033909156918525696
sub-09,V2,IPS1,train,sub-08,754,219,rsa,0.03475900739431381
sub-09,V2,MST,train,sub-08,754,140,rsa,0.03131532669067383
sub-09,V2,MT,train,sub-08,754,99,rsa,0.040362242609262466
sub-09,V2,FST,train,sub-08,754,149,rsa,0.04219219088554382
sub-09,V2,LO1,train,sub-08,754,79,rsa,0.029835006222128868
sub-09,V2,LO2,train,sub-08,754,83,rsa,0.056565266102552414
sub-09,V2,LO3,train,sub-08,754,125,rsa,0.03737013041973114
sub-09,V2,V7,train,sub-08,754,78,rsa,0.03062821552157402
sub-09,V2,IP0,train,sub-08,754,151,rsa,0.027576223015785217
sub-09,V2,IP1,train,sub-08,754,91,rsa,0.01157686673104763
sub-09,V2,MIP,train,sub-08,754,291,rsa,0.027643894776701927
sub-09,V2,VIP,train,sub-08,754,184,rsa,0.02471521869301796
sub-09,V2,LIPd,train,sub-08,754,77,rsa,0.009420398622751236
sub-09,V2,LIPv,train,sub-08,754,251,rsa,0.014186655171215534
sub-09,V2,AIP,train,sub-08,754,387,rsa,0.007302554324269295
sub-09,V2,7Pm,train,sub-08,754,25,rsa,0.004102790728211403
sub-09,V2,7PL,train,sub-08,754,91,rsa,0.019075818359851837
sub-09,V2,7PC,train,sub-08,754,231,rsa,0.008632024750113487
sub-09,V2,7Am,train,sub-08,754,136,rsa,0.018692640587687492
sub-09,V2,7AL,train,sub-08,754,234,rsa,0.010221997275948524
sub-09,V2,VVC,train,sub-08,754,199,rsa,0.0248690415173769
sub-09,V2,VMV2,train,sub-08,754,94,rsa,0.019552763551473618
sub-09,V2,VMV3,train,sub-08,754,107,rsa,0.023327868431806564
sub-09,V2,VMV1,train,sub-08,754,44,rsa,0.01588710956275463
sub-09,V2,PHA2,train,sub-08,754,13,rsa,0.0107197230681777
sub-09,V2,PHA3,train,sub-08,754,55,rsa,0.0216034147888422
sub-09,V2,PH,train,sub-08,754,350,rsa,0.044440124183893204
sub-09,V3,V1,train,sub-08,575,560,rsa,0.10413669794797897
sub-09,V3,V2,train,sub-08,575,482,rsa,0.14278008043766022
sub-09,V3,V3,train,sub-08,575,458,rsa,0.11643514782190323
sub-09,V3,V4,train,sub-08,575,604,rsa,0.1035301610827446
sub-09,V3,V3A,train,sub-08,575,226,rsa,0.06540461629629135
sub-09,V3,V3B,train,sub-08,575,147,rsa,0.05309822037816048
sub-09,V3,V6,train,sub-08,575,105,rsa,0.05369069427251816
sub-09,V3,V6A,train,sub-08,575,84,rsa,0.05266279727220535
sub-09,V3,V7,train,sub-08,575,78,rsa,0.04298032820224762
sub-09,V3,V8,train,sub-08,575,112,rsa,0.06000996753573418
sub-09,V3,FFC,train,sub-08,575,275,rsa,0.04235605150461197
sub-09,V3,PIT,train,sub-08,575,117,rsa,0.03848952054977417
sub-09,V3,IPS1,train,sub-08,575,219,rsa,0.04044289141893387
sub-09,V3,MST,train,sub-08,575,140,rsa,0.04022720083594322
sub-09,V3,MT,train,sub-08,575,99,rsa,0.03619423881173134
sub-09,V3,FST,train,sub-08,575,149,rsa,0.048328012228012085
sub-09,V3,LO1,train,sub-08,575,79,rsa,0.030959250405430794
sub-09,V3,LO2,train,sub-08,575,83,rsa,0.05486098676919937
sub-09,V3,LO3,train,sub-08,575,125,rsa,0.03264923766255379
