model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-04,V1,V1,train,sub-07,linear_predictivity,523,420,0.06653420475786577,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17195478165997077,1.096067406125453,0.8277948156814562,0.9287668146228846
sub-04,V1,V1,test,sub-07,linear_predictivity,523,420,0.13916655132211947,"[0.1504659890386019, 0.14855711368751442, 0.13055526422847324, 0.13489819797068117, 0.13135619168532653]",,,,,
sub-04,V1,V2,train,sub-07,linear_predictivity,523,470,0.07309871947531944,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1789015032409938,1.0898615123082593,0.8208385083245853,0.9219720929933415
sub-04,V1,V2,test,sub-07,linear_predictivity,523,470,0.1683375212616765,"[0.17531333388532386, 0.17755683065812633, 0.1656216149916214, 0.16290547800024105, 0.16029034877306983]",,,,,
sub-04,V1,V3,train,sub-07,linear_predictivity,523,348,0.05355481670756652,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1622982356470776,1.0985378330103193,0.8374201143890929,0.9408969211475403
sub-04,V1,V3,test,sub-07,linear_predictivity,523,348,0.12946180068035515,"[0.1409197797284333, 0.1347760930706908, 0.128673641947141, 0.12236608785169041, 0.12057340080382019]",,,,,
sub-04,V1,V4,train,sub-07,linear_predictivity,523,451,0.03734179035804415,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1427301769782175,1.1136596248462314,0.8569539842709968,0.9568223816673251
sub-04,V1,V4,test,sub-07,linear_predictivity,523,451,0.08458403893023599,"[0.09581673282206306, 0.08557271422479273, 0.08578621999429552, 0.07379766374737641, 0.08194686386265222]",,,,,
sub-04,V1,V3A,train,sub-07,linear_predictivity,523,55,0.010133915156828233,,"[10000.0, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.09826568078061135,1.1417114452698836,0.9013423538306806,0.983915081659679
sub-04,V1,V3A,test,sub-07,linear_predictivity,523,55,0.0848026827196994,"[0.066541731919173, 0.10075466783115153, 0.08892971916868414, 0.06676318739020362, 0.10102410728928468]",,,,,
sub-04,V1,V3B,train,sub-07,linear_predictivity,523,103,0.03331805770367849,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.138549047205763,1.1216604968868196,0.8611401275749648,0.9606175068813669
sub-04,V1,V3B,test,sub-07,linear_predictivity,523,103,0.09969614512797062,"[0.1060523079768342, 0.09606969140754712, 0.09384875398844159, 0.10635945243357084, 0.0961505198334594]",,,,,
sub-04,V1,V6,train,sub-07,linear_predictivity,523,94,-0.0030258111520118404,,"[10000.0, 31622.776601683796, 10000.0, 10000.0, 10000.0]",0.056359004010300716,1.1544966419185065,0.9433096032040998,0.9955328525317635
sub-04,V1,V6,test,sub-07,linear_predictivity,523,94,0.016039181825001726,"[0.012995671258538894, 0.0172911607213458, 0.019915559586758832, 0.018042678479719052, 0.011950839078646046]",,,,,
sub-04,V1,V6A,train,sub-07,linear_predictivity,523,63,0.008644370131132189,,"[10000.0, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.09705030466621693,1.1426724746632893,0.902271358229279,0.9835560223297204
sub-04,V1,V6A,test,sub-07,linear_predictivity,523,63,0.08757806281501315,"[0.0740377681650727, 0.09956718578827796, 0.09594852997876256, 0.06756629506947381, 0.10077053507347873]",,,,,
sub-04,V1,V7,train,sub-07,linear_predictivity,523,37,0.009317856515876343,,"[10000.0, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.10231856868072679,1.133117005080877,0.8970841491005654,0.9830515108219636
sub-04,V1,V7,test,sub-07,linear_predictivity,523,37,0.06964791929324281,"[0.06470280588678311, 0.06672548502963349, 0.07575464498951665, 0.05853645774733805, 0.08252020281294274]",,,,,
sub-04,V1,V8,train,sub-07,linear_predictivity,523,80,0.05695546139821339,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16111948435893284,1.0965220551396808,0.8385085224339768,0.935873065237074
sub-04,V1,V8,test,sub-07,linear_predictivity,523,80,0.11317676777936161,"[0.11203340181581171, 0.11432173503367553, 0.1189448115490435, 0.11178995992624854, 0.1087939305720288]",,,,,
sub-04,V1,FFC,train,sub-07,linear_predictivity,523,265,0.053589321691518636,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1561087537717766,1.0996903596413108,0.8436135773749236,0.941516371915409
sub-04,V1,FFC,test,sub-07,linear_predictivity,523,265,0.09063395738675775,"[0.08323059227361988, 0.0913132290091258, 0.10055452703354324, 0.0834830927553746, 0.09458834586212521]",,,,,
sub-04,V1,PIT,train,sub-07,linear_predictivity,523,101,0.061407380886244506,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1638942884425777,1.0897744085756305,0.8357288770623328,0.9324753566149593
