model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-04,V1,V1,train,sub-07,523,420,rsa,0.10537630319595337
sub-04,V1,V2,train,sub-07,523,470,rsa,0.11742842197418213
sub-04,V1,V3,train,sub-07,523,348,rsa,0.08166030794382095
sub-04,V1,V4,train,sub-07,523,451,rsa,0.08910226076841354
sub-04,V1,V3A,train,sub-07,523,55,rsa,0.012092587538063526
sub-04,V1,V3B,train,sub-07,523,103,rsa,0.024008048698306084
sub-04,V1,V6,train,sub-07,523,94,rsa,0.02854417823255062
sub-04,V1,V6A,train,sub-07,523,63,rsa,0.018406158313155174
sub-04,V1,V7,train,sub-07,523,37,rsa,0.01404210552573204
sub-04,V1,V8,train,sub-07,523,80,rsa,0.051329657435417175
sub-04,V1,FFC,train,sub-07,523,265,rsa,0.04216116666793823
sub-04,V1,PIT,train,sub-07,523,101,rsa,0.0458366759121418
sub-04,V1,IPS1,train,sub-07,523,191,rsa,0.013379037380218506
sub-04,V1,MST,train,sub-07,523,149,rsa,0.04758826643228531
sub-04,V1,MT,train,sub-07,523,100,rsa,0.04599909856915474
sub-04,V1,FST,train,sub-07,523,167,rsa,0.02265166863799095
sub-04,V1,LO1,train,sub-07,523,80,rsa,0.0483708456158638
sub-04,V1,LO2,train,sub-07,523,67,rsa,0.046049900352954865
sub-04,V1,LO3,train,sub-07,523,125,rsa,0.06651803851127625
sub-04,V1,V7,train,sub-07,523,37,rsa,0.01404210552573204
sub-04,V1,IP0,train,sub-07,523,73,rsa,0.012185607105493546
sub-04,V1,IP1,train,sub-07,523,94,rsa,-0.000392120418837294
sub-04,V1,MIP,train,sub-07,523,71,rsa,0.003146167378872633
sub-04,V1,VIP,train,sub-07,523,91,rsa,0.004585940856486559
sub-04,V1,LIPd,train,sub-07,523,65,rsa,0.003273582085967064
sub-04,V1,LIPv,train,sub-07,523,95,rsa,0.008639026433229446
sub-04,V1,AIP,train,sub-07,523,224,rsa,0.0029098785016685724
sub-04,V1,7Pm,train,sub-07,523,5,rsa,-7.757594721624628e-05
sub-04,V1,7PL,train,sub-07,523,40,rsa,0.0014559677802026272
sub-04,V1,7PC,train,sub-07,523,153,rsa,0.0048574842512607574
sub-04,V1,7Am,train,sub-07,523,78,rsa,0.0011595067335292697
sub-04,V1,7AL,train,sub-07,523,64,rsa,6.39945938019082e-05
sub-04,V1,VVC,train,sub-07,523,157,rsa,0.04123305156826973
sub-04,V1,VMV2,train,sub-07,523,66,rsa,0.01798069290816784
sub-04,V1,VMV3,train,sub-07,523,82,rsa,0.024847406893968582
sub-04,V1,VMV1,train,sub-07,523,27,rsa,0.011535189114511013
sub-04,V1,PHA2,train,sub-07,523,55,rsa,0.0116248968988657
sub-04,V1,PHA3,train,sub-07,523,149,rsa,0.03598367050290108
sub-04,V1,PH,train,sub-07,523,304,rsa,0.01883380487561226
sub-04,V2,V1,train,sub-07,638,420,rsa,0.09019647538661957
sub-04,V2,V2,train,sub-07,638,470,rsa,0.12890923023223877
sub-04,V2,V3,train,sub-07,638,348,rsa,0.09305513650178909
sub-04,V2,V4,train,sub-07,638,451,rsa,0.0796210989356041
sub-04,V2,V3A,train,sub-07,638,55,rsa,0.015428727492690086
sub-04,V2,V3B,train,sub-07,638,103,rsa,0.020978260785341263
sub-04,V2,V6,train,sub-07,638,94,rsa,0.03971680998802185
sub-04,V2,V6A,train,sub-07,638,63,rsa,0.021618438884615898
sub-04,V2,V7,train,sub-07,638,37,rsa,0.015901362523436546
sub-04,V2,V8,train,sub-07,638,80,rsa,0.04514388367533684
sub-04,V2,FFC,train,sub-07,638,265,rsa,0.03993745148181915
sub-04,V2,PIT,train,sub-07,638,101,rsa,0.041009172797203064
sub-04,V2,IPS1,train,sub-07,638,191,rsa,0.01325138844549656
sub-04,V2,MST,train,sub-07,638,149,rsa,0.046866122633218765
sub-04,V2,MT,train,sub-07,638,100,rsa,0.038683876395225525
sub-04,V2,FST,train,sub-07,638,167,rsa,0.02329988032579422
sub-04,V2,LO1,train,sub-07,638,80,rsa,0.0472150556743145
sub-04,V2,LO2,train,sub-07,638,67,rsa,0.043965574353933334
sub-04,V2,LO3,train,sub-07,638,125,rsa,0.0635448768734932
sub-04,V2,V7,train,sub-07,638,37,rsa,0.015901362523436546
sub-04,V2,IP0,train,sub-07,638,73,rsa,0.012216856703162193
sub-04,V2,IP1,train,sub-07,638,94,rsa,0.0015335507923737168
sub-04,V2,MIP,train,sub-07,638,71,rsa,0.00442511448636651
sub-04,V2,VIP,train,sub-07,638,91,rsa,0.004214503336697817
sub-04,V2,LIPd,train,sub-07,638,65,rsa,0.004584216512739658
sub-04,V2,LIPv,train,sub-07,638,95,rsa,0.007720125373452902
sub-04,V2,AIP,train,sub-07,638,224,rsa,0.0009433066588826478
sub-04,V2,7Pm,train,sub-07,638,5,rsa,0.0005151372752152383
sub-04,V2,7PL,train,sub-07,638,40,rsa,0.0035469629801809788
sub-04,V2,7PC,train,sub-07,638,153,rsa,0.004592511802911758
sub-04,V2,7Am,train,sub-07,638,78,rsa,-0.00020450350712053478
sub-04,V2,7AL,train,sub-07,638,64,rsa,0.0005813012830913067
sub-04,V2,VVC,train,sub-07,638,157,rsa,0.031060729175806046
sub-04,V2,VMV2,train,sub-07,638,66,rsa,0.015425625257194042
sub-04,V2,VMV3,train,sub-07,638,82,rsa,0.02392243966460228
sub-04,V2,VMV1,train,sub-07,638,27,rsa,0.017143532633781433
sub-04,V2,PHA2,train,sub-07,638,55,rsa,0.006659219507128
