model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-08,V1,V1,train,sub-03,linear_predictivity,560,361,0.07662622681542083,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17599159871596717,1.1163506182221514,0.823775224015089,0.9194183428177226
sub-08,V1,V1,test,sub-03,linear_predictivity,560,361,0.17175577840841053,"[0.16923877689005185, 0.16964663705990315, 0.175179522432836, 0.17613888651402787, 0.16857506914523376]",,,,,
sub-08,V1,V2,train,sub-03,linear_predictivity,560,525,0.07835620346851759,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1796259128994349,1.1103439449344765,0.8201127214559373,0.9169870277316461
sub-08,V1,V2,test,sub-03,linear_predictivity,560,525,0.16141425322142786,"[0.1572439538385187, 0.15349163869743376, 0.16603915647760123, 0.16926387406244103, 0.16103264303114467]",,,,,
sub-08,V1,V3,train,sub-03,linear_predictivity,560,361,0.10699604778217532,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20543119868680773,1.0870344304727368,0.7943197741388531,0.888621317506457
sub-08,V1,V3,test,sub-03,linear_predictivity,560,361,0.21563706591871618,"[0.21076607940367803, 0.2188033997156897, 0.2110818917214708, 0.221606637216574, 0.21592732153616823]",,,,,
sub-08,V1,V4,train,sub-03,linear_predictivity,560,555,0.06721826226846146,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1700754821344474,1.1190615797578665,0.8296242782075447,0.9273918092424909
sub-08,V1,V4,test,sub-03,linear_predictivity,560,555,0.13824250252361733,"[0.13536153619573102, 0.14200703685846774, 0.13485874960637148, 0.1405015348328376, 0.13848365512467886]",,,,,
sub-08,V1,V3A,train,sub-03,linear_predictivity,560,198,0.03467462294240879,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13984535499674022,1.138823858550738,0.8598795080091396,0.9602988510178078
sub-08,V1,V3A,test,sub-03,linear_predictivity,560,198,0.09841634909140021,"[0.09194588890142685, 0.105569577561309, 0.09313739201515342, 0.09983604259521744, 0.10159284438389438]",,,,,
sub-08,V1,V3B,train,sub-03,linear_predictivity,560,149,0.04431945463343965,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1500042649705502,1.142114209394071,0.8497068045989804,0.9504204543245354
sub-08,V1,V3B,test,sub-03,linear_predictivity,560,149,0.10472826186455297,"[0.0977333028219492, 0.11084066120848858, 0.10427508168018629, 0.10439399475711955, 0.10639826885502128]",,,,,
sub-08,V1,V6,train,sub-03,linear_predictivity,560,157,0.02552165220823638,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13406471325394814,1.1440852985704921,0.8656844262367936,0.969795180667729
sub-08,V1,V6,test,sub-03,linear_predictivity,560,157,0.07287560675980544,"[0.06787300708911506, 0.07357329679654305, 0.06452155848531542, 0.07946628416216978, 0.07894388726588386]",,,,,
sub-08,V1,V6A,train,sub-03,linear_predictivity,560,68,0.01661258212415548,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1230934847381201,1.1546836601704096,0.8766471221747784,0.9785646657436466
sub-08,V1,V6A,test,sub-03,linear_predictivity,560,68,0.04794380061855445,"[0.04439232184116336, 0.051860278065459946, 0.042032436860801534, 0.05278159914670538, 0.04865236717864207]",,,,,
sub-08,V1,V7,train,sub-03,linear_predictivity,560,88,0.02631587255438477,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13568012722243467,1.1504112493553407,0.8640223982292673,0.9677811679239179
sub-08,V1,V7,test,sub-03,linear_predictivity,560,88,0.09784814360292962,"[0.08687820259792942, 0.12136914398561206, 0.09260466109801917, 0.0877904214340418, 0.1005982888990456]",,,,,
