model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-08,V1,V1,train,sub-03,560,361,rsa,0.12327531725168228
sub-08,V1,V2,train,sub-03,560,525,rsa,0.11302191019058228
sub-08,V1,V3,train,sub-03,560,361,rsa,0.11050502955913544
sub-08,V1,V4,train,sub-03,560,555,rsa,0.08144728094339371
sub-08,V1,V3A,train,sub-03,560,198,rsa,0.028619812801480293
sub-08,V1,V3B,train,sub-03,560,149,rsa,0.029795892536640167
sub-08,V1,V6,train,sub-03,560,157,rsa,0.019323356449604034
sub-08,V1,V6A,train,sub-03,560,68,rsa,0.016720876097679138
sub-08,V1,V7,train,sub-03,560,88,rsa,0.022220518440008163
sub-08,V1,V8,train,sub-03,560,111,rsa,0.035996269434690475
sub-08,V1,FFC,train,sub-03,560,301,rsa,0.04087262973189354
sub-08,V1,PIT,train,sub-03,560,105,rsa,0.027314715087413788
sub-08,V1,IPS1,train,sub-03,560,123,rsa,0.01536546554416418
sub-08,V1,MST,train,sub-03,560,147,rsa,0.03136657550930977
sub-08,V1,MT,train,sub-03,560,98,rsa,0.03507320582866669
sub-08,V1,FST,train,sub-03,560,166,rsa,0.01620880886912346
sub-08,V1,LO1,train,sub-03,560,74,rsa,0.029797488823533058
sub-08,V1,LO2,train,sub-03,560,75,rsa,0.019848555326461792
sub-08,V1,LO3,train,sub-03,560,124,rsa,0.026264963671565056
sub-08,V1,V7,train,sub-03,560,88,rsa,0.022220518440008163
sub-08,V1,IP0,train,sub-03,560,110,rsa,0.019412726163864136
sub-08,V1,IP1,train,sub-03,560,17,rsa,0.001929940190166235
sub-08,V1,MIP,train,sub-03,560,176,rsa,0.017170878127217293
sub-08,V1,VIP,train,sub-03,560,150,rsa,0.015360723249614239
sub-08,V1,LIPd,train,sub-03,560,22,rsa,0.0022959033958613873
sub-08,V1,LIPv,train,sub-03,560,178,rsa,0.012722687795758247
sub-08,V1,AIP,train,sub-03,560,121,rsa,0.0018227123655378819
sub-08,V1,7Pm,train,sub-03,560,23,rsa,0.002284005517140031
sub-08,V1,7PL,train,sub-03,560,32,rsa,0.008293107151985168
sub-08,V1,7PC,train,sub-03,560,241,rsa,0.006483032833784819
sub-08,V1,7Am,train,sub-03,560,115,rsa,0.006734365597367287
sub-08,V1,7AL,train,sub-03,560,210,rsa,0.009017973206937313
sub-08,V1,VVC,train,sub-03,560,185,rsa,0.024191100150346756
sub-08,V1,VMV2,train,sub-03,560,108,rsa,0.02613447792828083
sub-08,V1,VMV3,train,sub-03,560,111,rsa,0.02615901082754135
sub-08,V1,VMV1,train,sub-03,560,73,rsa,0.02915564738214016
sub-08,V1,PHA2,train,sub-03,560,17,rsa,0.003332144347950816
sub-08,V1,PHA3,train,sub-03,560,86,rsa,0.013929415494203568
sub-08,V1,PH,train,sub-03,560,280,rsa,0.02827141061425209
sub-08,V2,V1,train,sub-03,482,361,rsa,0.14463292062282562
sub-08,V2,V2,train,sub-03,482,525,rsa,0.16989119350910187
sub-08,V2,V3,train,sub-03,482,361,rsa,0.1523473709821701
sub-08,V2,V4,train,sub-03,482,555,rsa,0.11694256961345673
sub-08,V2,V3A,train,sub-03,482,198,rsa,0.06252993643283844
sub-08,V2,V3B,train,sub-03,482,149,rsa,0.044676195830106735
sub-08,V2,V6,train,sub-03,482,157,rsa,0.03764171525835991
sub-08,V2,V6A,train,sub-03,482,68,rsa,0.03258134424686432
sub-08,V2,V7,train,sub-03,482,88,rsa,0.039827387779951096
sub-08,V2,V8,train,sub-03,482,111,rsa,0.07001213729381561
sub-08,V2,FFC,train,sub-03,482,301,rsa,0.05832626670598984
sub-08,V2,PIT,train,sub-03,482,105,rsa,0.045699816197156906
sub-08,V2,IPS1,train,sub-03,482,123,rsa,0.02344164252281189
sub-08,V2,MST,train,sub-03,482,147,rsa,0.0509573258459568
sub-08,V2,MT,train,sub-03,482,98,rsa,0.05268542841076851
sub-08,V2,FST,train,sub-03,482,166,rsa,0.03453893959522247
sub-08,V2,LO1,train,sub-03,482,74,rsa,0.043551310896873474
sub-08,V2,LO2,train,sub-03,482,75,rsa,0.02780642919242382
sub-08,V2,LO3,train,sub-03,482,124,rsa,0.04667063429951668
sub-08,V2,V7,train,sub-03,482,88,rsa,0.039827387779951096
sub-08,V2,IP0,train,sub-03,482,110,rsa,0.035269126296043396
sub-08,V2,IP1,train,sub-03,482,17,rsa,0.00446956604719162
sub-08,V2,MIP,train,sub-03,482,176,rsa,0.03199250251054764
sub-08,V2,VIP,train,sub-03,482,150,rsa,0.022492574527859688
sub-08,V2,LIPd,train,sub-03,482,22,rsa,0.006934588309377432
sub-08,V2,LIPv,train,sub-03,482,178,rsa,0.021930113434791565
sub-08,V2,AIP,train,sub-03,482,121,rsa,0.003799802390858531
sub-08,V2,7Pm,train,sub-03,482,23,rsa,0.002847672440111637
sub-08,V2,7PL,train,sub-03,482,32,rsa,0.015193242579698563
sub-08,V2,7PC,train,sub-03,482,241,rsa,0.010818162001669407
sub-08,V2,7Am,train,sub-03,482,115,rsa,0.007628465536981821
sub-08,V2,7AL,train,sub-03,482,210,rsa,0.012346327304840088
sub-08,V2,VVC,train,sub-03,482,185,rsa,0.03139559552073479
sub-08,V2,VMV2,train,sub-03,482,108,rsa,0.04006298631429672
sub-08,V2,VMV3,train,sub-03,482,111,rsa,0.04368118941783905
sub-08,V2,VMV1,train,sub-03,482,73,rsa,0.03915910795331001
sub-08,V2,PHA2,train,sub-03,482,17,rsa,0.005488677881658077
sub-08,V2,PHA3,train,sub-03,482,86,rsa,0.01625092700123787
sub-08,V2,PH,train,sub-03,482,280,rsa,0.03655248507857323
sub-08,V3,V1,train,sub-03,458,361,rsa,0.10230321437120438
sub-08,V3,V2,train,sub-03,458,525,rsa,0.13068194687366486
sub-08,V3,V3,train,sub-03,458,361,rsa,0.12227854877710342
sub-08,V3,V4,train,sub-03,458,555,rsa,0.10776962339878082
sub-08,V3,V3A,train,sub-03,458,198,rsa,0.05078694224357605
sub-08,V3,V3B,train,sub-03,458,149,rsa,0.04039086773991585
sub-08,V3,V6,train,sub-03,458,157,rsa,0.029511889442801476
sub-08,V3,V6A,train,sub-03,458,68,rsa,0.026351990178227425
sub-08,V3,V7,train,sub-03,458,88,rsa,0.03329181671142578
sub-08,V3,V8,train,sub-03,458,111,rsa,0.06001293659210205
sub-08,V3,FFC,train,sub-03,458,301,rsa,0.06413733959197998
sub-08,V3,PIT,train,sub-03,458,105,rsa,0.053157415241003036
sub-08,V3,IPS1,train,sub-03,458,123,rsa,0.023154113441705704
sub-08,V3,MST,train,sub-03,458,147,rsa,0.04632015898823738
sub-08,V3,MT,train,sub-03,458,98,rsa,0.04930547997355461
sub-08,V3,FST,train,sub-03,458,166,rsa,0.03349606692790985
sub-08,V3,LO1,train,sub-03,458,74,rsa,0.06571647524833679
sub-08,V3,LO2,train,sub-03,458,75,rsa,0.03355948626995087
sub-08,V3,LO3,train,sub-03,458,124,rsa,0.06232520565390587
sub-08,V3,V7,train,sub-03,458,88,rsa,0.03329181671142578
sub-08,V3,IP0,train,sub-03,458,110,rsa,0.03167438879609108
sub-08,V3,IP1,train,sub-03,458,17,rsa,0.004284588620066643
sub-08,V3,MIP,train,sub-03,458,176,rsa,0.03614784777164459
sub-08,V3,VIP,train,sub-03,458,150,rsa,0.02242084965109825
sub-08,V3,LIPd,train,sub-03,458,22,rsa,0.007015081588178873
sub-08,V3,LIPv,train,sub-03,458,178,rsa,0.016693810001015663
sub-08,V3,AIP,train,sub-03,458,121,rsa,0.004470412619411945
sub-08,V3,7Pm,train,sub-03,458,23,rsa,0.004769044928252697
sub-08,V3,7PL,train,sub-03,458,32,rsa,0.012642246671020985
sub-08,V3,7PC,train,sub-03,458,241,rsa,0.007820164784789085
sub-08,V3,7Am,train,sub-03,458,115,rsa,0.0071380045264959335
sub-08,V3,7AL,train,sub-03,458,210,rsa,0.01517739612609148
sub-08,V3,VVC,train,sub-03,458,185,rsa,0.03482898697257042
sub-08,V3,VMV2,train,sub-03,458,108,rsa,0.04247322306036949
sub-08,V3,VMV3,train,sub-03,458,111,rsa,0.049025826156139374
sub-08,V3,VMV1,train,sub-03,458,73,rsa,0.040359921753406525
sub-08,V3,PHA2,train,sub-03,458,17,rsa,0.00706221628934145
sub-08,V3,PHA3,train,sub-03,458,86,rsa,0.021547086536884308
sub-08,V3,PH,train,sub-03,458,280,rsa,0.05155166983604431
sub-08,V4,V1,train,sub-03,604,361,rsa,0.08522897958755493
sub-08,V4,V2,train,sub-03,604,525,rsa,0.1143471822142601
sub-08,V4,V3,train,sub-03,604,361,rsa,0.12074533849954605
sub-08,V4,V4,train,sub-03,604,555,rsa,0.17526093125343323
sub-08,V4,V3A,train,sub-03,604,198,rsa,0.07048143446445465
sub-08,V4,V3B,train,sub-03,604,149,rsa,0.0675860196352005
sub-08,V4,V6,train,sub-03,604,157,rsa,0.057951949536800385
sub-08,V4,V6A,train,sub-03,604,68,rsa,0.045137982815504074
sub-08,V4,V7,train,sub-03,604,88,rsa,0.05320294573903084
sub-08,V4,V8,train,sub-03,604,111,rsa,0.13856162130832672
sub-08,V4,FFC,train,sub-03,604,301,rsa,0.15592563152313232
sub-08,V4,PIT,train,sub-03,604,105,rsa,0.10811380296945572
sub-08,V4,IPS1,train,sub-03,604,123,rsa,0.036963969469070435
sub-08,V4,MST,train,sub-03,604,147,rsa,0.1047089546918869
sub-08,V4,MT,train,sub-03,604,98,rsa,0.11572667956352234
sub-08,V4,FST,train,sub-03,604,166,rsa,0.07042621821165085
sub-08,V4,LO1,train,sub-03,604,74,rsa,0.14492039382457733
sub-08,V4,LO2,train,sub-03,604,75,rsa,0.08422607183456421
sub-08,V4,LO3,train,sub-03,604,124,rsa,0.12899324297904968
sub-08,V4,V7,train,sub-03,604,88,rsa,0.05320294573903084
sub-08,V4,IP0,train,sub-03,604,110,rsa,0.049616653472185135
sub-08,V4,IP1,train,sub-03,604,17,rsa,0.004880813881754875
sub-08,V4,MIP,train,sub-03,604,176,rsa,0.04757902771234512
sub-08,V4,VIP,train,sub-03,604,150,rsa,0.03357387334108353
sub-08,V4,LIPd,train,sub-03,604,22,rsa,0.008716537617146969
sub-08,V4,LIPv,train,sub-03,604,178,rsa,0.030036577954888344
sub-08,V4,AIP,train,sub-03,604,121,rsa,0.0071411426179111
sub-08,V4,7Pm,train,sub-03,604,23,rsa,0.016480600461363792
sub-08,V4,7PL,train,sub-03,604,32,rsa,0.013637254945933819
sub-08,V4,7PC,train,sub-03,604,241,rsa,0.008350333198904991
sub-08,V4,7Am,train,sub-03,604,115,rsa,0.015849938616156578
sub-08,V4,7AL,train,sub-03,604,210,rsa,0.023751897737383842
sub-08,V4,VVC,train,sub-03,604,185,rsa,0.0758163332939148
sub-08,V4,VMV2,train,sub-03,604,108,rsa,0.11618117988109589
sub-08,V4,VMV3,train,sub-03,604,111,rsa,0.10210612416267395
sub-08,V4,VMV1,train,sub-03,604,73,rsa,0.09673243761062622
sub-08,V4,PHA2,train,sub-03,604,17,rsa,0.020397722721099854
sub-08,V4,PHA3,train,sub-03,604,86,rsa,0.05043984204530716
sub-08,V4,PH,train,sub-03,604,280,rsa,0.13742664456367493
sub-08,V3A,V1,train,sub-03,226,361,rsa,0.05711260065436363
sub-08,V3A,V2,train,sub-03,226,525,rsa,0.0887666866183281
sub-08,V3A,V3,train,sub-03,226,361,rsa,0.08846747875213623
sub-08,V3A,V4,train,sub-03,226,555,rsa,0.1034545823931694
sub-08,V3A,V3A,train,sub-03,226,198,rsa,0.11775384843349457
sub-08,V3A,V3B,train,sub-03,226,149,rsa,0.059627220034599304
sub-08,V3A,V6,train,sub-03,226,157,rsa,0.0898427739739418
sub-08,V3A,V6A,train,sub-03,226,68,rsa,0.08391475677490234
sub-08,V3A,V7,train,sub-03,226,88,rsa,0.07333389669656754
sub-08,V3A,V8,train,sub-03,226,111,rsa,0.09213859587907791
sub-08,V3A,FFC,train,sub-03,226,301,rsa,0.05705994367599487
sub-08,V3A,PIT,train,sub-03,226,105,rsa,0.03708477318286896
sub-08,V3A,IPS1,train,sub-03,226,123,rsa,0.029041791334748268
sub-08,V3A,MST,train,sub-03,226,147,rsa,0.1153310015797615
sub-08,V3A,MT,train,sub-03,226,98,rsa,0.10782013088464737
sub-08,V3A,FST,train,sub-03,226,166,rsa,0.06962721794843674
sub-08,V3A,LO1,train,sub-03,226,74,rsa,0.07770965993404388
sub-08,V3A,LO2,train,sub-03,226,75,rsa,0.03514087200164795
sub-08,V3A,LO3,train,sub-03,226,124,rsa,0.09926561266183853
sub-08,V3A,V7,train,sub-03,226,88,rsa,0.07333389669656754
sub-08,V3A,IP0,train,sub-03,226,110,rsa,0.05003557354211807
sub-08,V3A,IP1,train,sub-03,226,17,rsa,0.0028580790385603905
sub-08,V3A,MIP,train,sub-03,226,176,rsa,0.03631405904889107
sub-08,V3A,VIP,train,sub-03,226,150,rsa,0.038947731256484985
sub-08,V3A,LIPd,train,sub-03,226,22,rsa,0.013779627159237862
sub-08,V3A,LIPv,train,sub-03,226,178,rsa,0.03602880239486694
sub-08,V3A,AIP,train,sub-03,226,121,rsa,0.008498381823301315
sub-08,V3A,7Pm,train,sub-03,226,23,rsa,0.010061427019536495
sub-08,V3A,7PL,train,sub-03,226,32,rsa,0.012438185513019562
sub-08,V3A,7PC,train,sub-03,226,241,rsa,0.01947847008705139
sub-08,V3A,7Am,train,sub-03,226,115,rsa,0.017670130357146263
sub-08,V3A,7AL,train,sub-03,226,210,rsa,0.025921139866113663
sub-08,V3A,VVC,train,sub-03,226,185,rsa,0.04106698930263519
sub-08,V3A,VMV2,train,sub-03,226,108,rsa,0.07905292510986328
sub-08,V3A,VMV3,train,sub-03,226,111,rsa,0.06967632472515106
sub-08,V3A,VMV1,train,sub-03,226,73,rsa,0.06845986098051071
sub-08,V3A,PHA2,train,sub-03,226,17,rsa,0.014536859467625618
sub-08,V3A,PHA3,train,sub-03,226,86,rsa,0.02439834363758564
sub-08,V3A,PH,train,sub-03,226,280,rsa,0.045629795640707016
sub-08,V3B,V1,train,sub-03,147,361,rsa,0.04894638434052467
sub-08,V3B,V2,train,sub-03,147,525,rsa,0.06623455882072449
sub-08,V3B,V3,train,sub-03,147,361,rsa,0.06920039653778076
sub-08,V3B,V4,train,sub-03,147,555,rsa,0.13900259137153625
sub-08,V3B,V3A,train,sub-03,147,198,rsa,0.09977655112743378
sub-08,V3B,V3B,train,sub-03,147,149,rsa,0.08939003944396973
sub-08,V3B,V6,train,sub-03,147,157,rsa,0.08115431666374207
sub-08,V3B,V6A,train,sub-03,147,68,rsa,0.0858907401561737
sub-08,V3B,V7,train,sub-03,147,88,rsa,0.0704631581902504
sub-08,V3B,V8,train,sub-03,147,111,rsa,0.10739051550626755
sub-08,V3B,FFC,train,sub-03,147,301,rsa,0.11561451852321625
sub-08,V3B,PIT,train,sub-03,147,105,rsa,0.06811860203742981
sub-08,V3B,IPS1,train,sub-03,147,123,rsa,0.044709689915180206
sub-08,V3B,MST,train,sub-03,147,147,rsa,0.10747760534286499
sub-08,V3B,MT,train,sub-03,147,98,rsa,0.10420188307762146
sub-08,V3B,FST,train,sub-03,147,166,rsa,0.07369022816419601
sub-08,V3B,LO1,train,sub-03,147,74,rsa,0.13555341958999634
sub-08,V3B,LO2,train,sub-03,147,75,rsa,0.062074288725852966
sub-08,V3B,LO3,train,sub-03,147,124,rsa,0.10644885152578354
sub-08,V3B,V7,train,sub-03,147,88,rsa,0.0704631581902504
sub-08,V3B,IP0,train,sub-03,147,110,rsa,0.07289422303438187
sub-08,V3B,IP1,train,sub-03,147,17,rsa,0.0035545562859624624
sub-08,V3B,MIP,train,sub-03,147,176,rsa,0.046882763504981995
sub-08,V3B,VIP,train,sub-03,147,150,rsa,0.04633152112364769
sub-08,V3B,LIPd,train,sub-03,147,22,rsa,0.013041321188211441
sub-08,V3B,LIPv,train,sub-03,147,178,rsa,0.03985770419239998
sub-08,V3B,AIP,train,sub-03,147,121,rsa,0.010677213780581951
sub-08,V3B,7Pm,train,sub-03,147,23,rsa,0.01879108138382435
sub-08,V3B,7PL,train,sub-03,147,32,rsa,0.010538936592638493
sub-08,V3B,7PC,train,sub-03,147,241,rsa,0.01320497877895832
sub-08,V3B,7Am,train,sub-03,147,115,rsa,0.019944772124290466
sub-08,V3B,7AL,train,sub-03,147,210,rsa,0.03205376863479614
sub-08,V3B,VVC,train,sub-03,147,185,rsa,0.07217110693454742
sub-08,V3B,VMV2,train,sub-03,147,108,rsa,0.126702681183815
sub-08,V3B,VMV3,train,sub-03,147,111,rsa,0.11290034651756287
sub-08,V3B,VMV1,train,sub-03,147,73,rsa,0.08526488393545151
sub-08,V3B,PHA2,train,sub-03,147,17,rsa,0.027053698897361755
sub-08,V3B,PHA3,train,sub-03,147,86,rsa,0.04703511670231819
sub-08,V3B,PH,train,sub-03,147,280,rsa,0.09782463312149048
sub-08,V6,V1,train,sub-03,105,361,rsa,0.03522801026701927
sub-08,V6,V2,train,sub-03,105,525,rsa,0.04775126278400421
sub-08,V6,V3,train,sub-03,105,361,rsa,0.04581329599022865
sub-08,V6,V4,train,sub-03,105,555,rsa,0.05413302406668663
sub-08,V6,V3A,train,sub-03,105,198,rsa,0.08180169016122818
sub-08,V6,V3B,train,sub-03,105,149,rsa,0.036229610443115234
sub-08,V6,V6,train,sub-03,105,157,rsa,0.10469459742307663
sub-08,V6,V6A,train,sub-03,105,68,rsa,0.05472050979733467
sub-08,V6,V7,train,sub-03,105,88,rsa,0.05493608117103577
sub-08,V6,V8,train,sub-03,105,111,rsa,0.043618179857730865
sub-08,V6,FFC,train,sub-03,105,301,rsa,0.036816734820604324
sub-08,V6,PIT,train,sub-03,105,105,rsa,0.020238634198904037
sub-08,V6,IPS1,train,sub-03,105,123,rsa,0.022959118708968163
sub-08,V6,MST,train,sub-03,105,147,rsa,0.15262897312641144
sub-08,V6,MT,train,sub-03,105,98,rsa,0.10314343869686127
sub-08,V6,FST,train,sub-03,105,166,rsa,0.07067064195871353
sub-08,V6,LO1,train,sub-03,105,74,rsa,0.0413481667637825
