model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-07,V1,V1,train,sub-06,linear_predictivity,420,597,0.0784740984909429,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 1000.0, 3162.277660168379]",0.17306828702460167,1.057105845536311,0.8266419870553602,0.9169856634630917
sub-07,V1,V1,test,sub-06,linear_predictivity,420,597,0.13808797579587836,"[0.1392809469772287, 0.12811413095019236, 0.13851132141205946, 0.1590296804492711, 0.12550379919064023]",,,,,
sub-07,V1,V2,train,sub-06,linear_predictivity,420,631,0.05705415712413659,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14147707550650515,1.0646260562514214,0.8582398259139442,0.9380122056169714
sub-07,V1,V2,test,sub-06,linear_predictivity,420,631,0.09615539843348747,"[0.10398258986015699, 0.09034676726730047, 0.09969526445154744, 0.09847240937706098, 0.08827996121137148]",,,,,
sub-07,V1,V3,train,sub-06,linear_predictivity,420,432,0.05979914920492104,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14275830190794353,1.0625595729688344,0.8569768417310932,0.9355118264769378
sub-07,V1,V3,test,sub-06,linear_predictivity,420,432,0.10824215315603439,"[0.1154640597265299, 0.10574303902066895, 0.10852788012727228, 0.10541191750417388, 0.10606386940152693]",,,,,
sub-07,V1,V4,train,sub-06,linear_predictivity,420,560,0.052780859591248626,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1357311135266891,1.0685593568755194,0.8640284427121516,0.9429158707151831
sub-07,V1,V4,test,sub-06,linear_predictivity,420,560,0.11377477431675068,"[0.12021775577567272, 0.11185808638279984, 0.11482934960548515, 0.10889007099931734, 0.1130786088204783]",,,,,
sub-07,V1,V3A,train,sub-06,linear_predictivity,420,161,0.021345374619419762,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10686275221569119,1.0993586859294822,0.8929438109690091,0.9752562408566255
sub-07,V1,V3A,test,sub-06,linear_predictivity,420,161,0.053202580946907684,"[0.052191255470244786, 0.052491917192243144, 0.05803239915846991, 0.054490585161271636, 0.04880674775230892]",,,,,
sub-07,V1,V3B,train,sub-06,linear_predictivity,420,86,0.005158554753240071,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.048029360011342594,1.1108706639401709,0.9517561695383128,0.9911158581185301
sub-07,V1,V3B,test,sub-06,linear_predictivity,420,86,0.03388982118249656,"[0.03318534860857836, 0.03798954285003695, 0.03488319937099913, 0.037047938710324996, 0.026343076372543385]",,,,,
sub-07,V1,V6,train,sub-06,linear_predictivity,420,86,0.004711678180320596,,"[10000.0, 10000.0, 3162.277660168379, 10000.0, 10000.0]",0.06279356698966405,1.0953708349977829,0.9369081194500299,0.9886629061441145
sub-07,V1,V6,test,sub-06,linear_predictivity,420,86,0.04700921421165015,"[0.04558963391484616, 0.04036369736582915, 0.05816877160806654, 0.04460398889746788, 0.046319979272041026]",,,,,
