model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-07,V1,V1,train,sub-06,420,597,rsa,0.10186558961868286
sub-07,V1,V2,train,sub-06,420,631,rsa,0.07625220715999603
sub-07,V1,V3,train,sub-06,420,432,rsa,0.06998205184936523
sub-07,V1,V4,train,sub-06,420,560,rsa,0.05442661792039871
sub-07,V1,V3A,train,sub-06,420,161,rsa,0.02913304790854454
sub-07,V1,V3B,train,sub-06,420,86,rsa,0.008079852908849716
sub-07,V1,V6,train,sub-06,420,86,rsa,0.01797526516020298
sub-07,V1,V6A,train,sub-06,420,73,rsa,0.015496527776122093
sub-07,V1,V7,train,sub-06,420,83,rsa,0.02241368219256401
sub-07,V1,V8,train,sub-06,420,107,rsa,0.03123352862894535
sub-07,V1,FFC,train,sub-06,420,217,rsa,0.04898029565811157
sub-07,V1,PIT,train,sub-06,420,105,rsa,0.03264482691884041
sub-07,V1,IPS1,train,sub-06,420,150,rsa,0.008548688143491745
sub-07,V1,MST,train,sub-06,420,148,rsa,0.037484463304281235
sub-07,V1,MT,train,sub-06,420,95,rsa,0.04577527567744255
sub-07,V1,FST,train,sub-06,420,174,rsa,0.03068099543452263
sub-07,V1,LO1,train,sub-06,420,75,rsa,0.0236533023416996
sub-07,V1,LO2,train,sub-06,420,78,rsa,0.020544111728668213
sub-07,V1,LO3,train,sub-06,420,115,rsa,0.013151602819561958
sub-07,V1,V7,train,sub-06,420,83,rsa,0.02241368219256401
sub-07,V1,IP0,train,sub-06,420,102,rsa,0.007071333937346935
sub-07,V1,IP1,train,sub-06,420,14,rsa,0.005839794408529997
sub-07,V1,MIP,train,sub-06,420,111,rsa,0.01347570400685072
sub-07,V1,VIP,train,sub-06,420,150,rsa,0.01815217360854149
sub-07,V1,LIPd,train,sub-06,420,52,rsa,0.00716229947283864
sub-07,V1,LIPv,train,sub-06,420,205,rsa,0.01929154060781002
sub-07,V1,AIP,train,sub-06,420,244,rsa,0.002712355926632881
sub-07,V1,7Pm,train,sub-06,420,3,rsa,7.024116348475218e-05
sub-07,V1,7PL,train,sub-06,420,24,rsa,0.004183152690529823
sub-07,V1,7PC,train,sub-06,420,276,rsa,0.012222487479448318
sub-07,V1,7Am,train,sub-06,420,86,rsa,0.010645461268723011
sub-07,V1,7AL,train,sub-06,420,236,rsa,0.00789555348455906
sub-07,V1,VVC,train,sub-06,420,202,rsa,0.019040154293179512
sub-07,V1,VMV2,train,sub-06,420,69,rsa,0.019612358883023262
sub-07,V1,VMV3,train,sub-06,420,103,rsa,0.022423723712563515
sub-07,V1,VMV1,train,sub-06,420,21,rsa,0.004099471960216761
sub-07,V1,PHA2,train,sub-06,420,49,rsa,0.006361203268170357
sub-07,V1,PHA3,train,sub-06,420,156,rsa,0.01583617553114891
sub-07,V1,PH,train,sub-06,420,327,rsa,0.04869769141077995
sub-07,V2,V1,train,sub-06,470,597,rsa,0.12702526152133942
sub-07,V2,V2,train,sub-06,470,631,rsa,0.1206933856010437
sub-07,V2,V3,train,sub-06,470,432,rsa,0.09385629743337631
sub-07,V2,V4,train,sub-06,470,560,rsa,0.0705496147274971
sub-07,V2,V3A,train,sub-06,470,161,rsa,0.04465145245194435
sub-07,V2,V3B,train,sub-06,470,86,rsa,0.013067350722849369
sub-07,V2,V6,train,sub-06,470,86,rsa,0.022377746179699898
sub-07,V2,V6A,train,sub-06,470,73,rsa,0.020434921607375145
sub-07,V2,V7,train,sub-06,470,83,rsa,0.03334130346775055
sub-07,V2,V8,train,sub-06,470,107,rsa,0.039338305592536926
sub-07,V2,FFC,train,sub-06,470,217,rsa,0.05313482508063316
sub-07,V2,PIT,train,sub-06,470,105,rsa,0.036248527467250824
sub-07,V2,IPS1,train,sub-06,470,150,rsa,0.011339884251356125
sub-07,V2,MST,train,sub-06,470,148,rsa,0.04712952300906181
sub-07,V2,MT,train,sub-06,470,95,rsa,0.04965267330408096
sub-07,V2,FST,train,sub-06,470,174,rsa,0.03552858904004097
sub-07,V2,LO1,train,sub-06,470,75,rsa,0.025700770318508148
sub-07,V2,LO2,train,sub-06,470,78,rsa,0.021879468113183975
sub-07,V2,LO3,train,sub-06,470,115,rsa,0.01492051687091589
sub-07,V2,V7,train,sub-06,470,83,rsa,0.03334130346775055
sub-07,V2,IP0,train,sub-06,470,102,rsa,0.01165061630308628
sub-07,V2,IP1,train,sub-06,470,14,rsa,0.0160153079777956
sub-07,V2,MIP,train,sub-06,470,111,rsa,0.023544199764728546
sub-07,V2,VIP,train,sub-06,470,150,rsa,0.027255963534116745
sub-07,V2,LIPd,train,sub-06,470,52,rsa,0.011542732827365398
sub-07,V2,LIPv,train,sub-06,470,205,rsa,0.025653960183262825
sub-07,V2,AIP,train,sub-06,470,244,rsa,0.0026370130944997072
sub-07,V2,7Pm,train,sub-06,470,3,rsa,-0.0007504615932703018
sub-07,V2,7PL,train,sub-06,470,24,rsa,0.0074875326827168465
