model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-02,V1,V1,train,sub-01,linear_predictivity,435,1221,0.03280433943711801,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1195444770116818,1.0975305425539426,0.880232435055772,0.9633631496756723
sub-02,V1,V1,test,sub-01,linear_predictivity,435,1221,0.04035693098573672,"[0.03023625079413143, 0.03581863376749373, 0.050417403613227184, 0.05660500219543363, 0.028707364558397647]",,,,,
sub-02,V1,V2,train,sub-01,linear_predictivity,435,925,0.04474343400760818,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13554756381776412,1.0842764850452258,0.8641810254329331,0.950743618675299
sub-02,V1,V2,test,sub-01,linear_predictivity,435,925,0.07599921265151158,"[0.07043586465884509, 0.0808541090196879, 0.07515737600171264, 0.07774815318378452, 0.07580056039352774]",,,,,
sub-02,V1,V3,train,sub-01,linear_predictivity,435,621,0.07785222529991886,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16508762440242292,1.063208408818808,0.8346455369669524,0.9177203273807463
sub-02,V1,V3,test,sub-01,linear_predictivity,435,621,0.11071800575620669,"[0.10034121136866826, 0.1145832638052659, 0.112837603502432, 0.11131579358507637, 0.11451215651959092]",,,,,
sub-02,V1,V4,train,sub-01,linear_predictivity,435,625,0.07261764439087957,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1602780305475681,1.0659454692458756,0.8394920413530205,0.9233324352348535
sub-02,V1,V4,test,sub-01,linear_predictivity,435,625,0.16466951919543343,"[0.167382907477373, 0.16000200843525764, 0.16733776015149013, 0.16497329626118148, 0.16365162365186484]",,,,,
sub-02,V1,V3A,train,sub-01,linear_predictivity,435,238,0.017121328650413707,,"[3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10155851757911216,1.1065875491933637,0.8983424723706197,0.9793356729612362
sub-02,V1,V3A,test,sub-01,linear_predictivity,435,238,0.03138287075664016,"[0.03020661756910566, 0.027434810434280005, 0.030930472362164015, 0.035216950551921436, 0.033125502865729683]",,,,,
sub-02,V1,V3B,train,sub-01,linear_predictivity,435,150,0.028064756605237336,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11735995733016728,1.088958720107255,0.8823806575438011,0.9671786904244847
sub-02,V1,V3B,test,sub-01,linear_predictivity,435,150,0.07823136920207566,"[0.08025058242812527, 0.07422232279049475, 0.0872688266534645, 0.0763524492327205, 0.07306266490557321]",,,,,
sub-02,V1,V6,train,sub-01,linear_predictivity,435,198,0.006079888936378161,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10277030511465461,1.108916611565856,0.8968992513831557,0.9883949818303363
sub-02,V1,V6,test,sub-01,linear_predictivity,435,198,0.022259249120014937,"[0.02533428677533396, 0.03278994395517236, 0.006508288392744037, 0.021420097719817902, 0.02524362875700643]",,,,,
sub-02,V1,V6A,train,sub-01,linear_predictivity,435,91,0.03429925891162158,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12283890224324645,1.0881424027099489,0.8769145605188171,0.9614790868654319
sub-02,V1,V6A,test,sub-01,linear_predictivity,435,91,0.0583360279738516,"[0.06489159821054394, 0.057336510972383556, 0.05455076607081954, 0.06032089689757985, 0.0545803677179311]",,,,,
sub-02,V1,V7,train,sub-01,linear_predictivity,435,89,0.03111854617206892,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12334371199638643,1.0867320952442043,0.8762637054741216,0.9618297020073081
sub-02,V1,V7,test,sub-01,linear_predictivity,435,89,0.052381495722817764,"[0.05521992762275372, 0.04780452327251035, 0.050552549829950236, 0.056059687334058805, 0.052270790554815726]",,,,,
sub-02,V1,V8,train,sub-01,linear_predictivity,435,112,0.04461553155475907,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13850837315852677,1.0843107467520976,0.8612279744391079,0.9506561456368955
sub-02,V1,V8,test,sub-01,linear_predictivity,435,112,0.12837304595319993,"[0.13624338224079927, 0.1188798639999727, 0.13364391587453214, 0.12610680293286655, 0.12699126471782887]",,,,,
sub-02,V1,FFC,train,sub-01,linear_predictivity,435,284,0.011412989361312628,,"[3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.09370720715317112,1.1185294841965026,0.9060610997673866,0.9847802202339094
sub-02,V1,FFC,test,sub-01,linear_predictivity,435,284,-0.00014522165974634998,"[0.00492131237129916, -0.020399460677856238, 0.005607541654727035, 0.0017038141657294754, 0.007440684187368817]",,,,,
sub-02,V1,PIT,train,sub-01,linear_predictivity,435,103,0.047883271219979325,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1382329080101315,1.0878840177207214,0.8615173153283132,0.9480168193311922
sub-02,V1,PIT,test,sub-01,linear_predictivity,435,103,0.10368514196716719,"[0.11219645952928017, 0.09213474595899974, 0.1048041248278286, 0.10627485766968862, 0.1030155218500388]",,,,,
sub-02,V1,IPS1,train,sub-01,linear_predictivity,435,235,0.019515782181348452,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11032128027822163,1.0998943919102129,0.8893882824871049,0.9750762856583437
sub-02,V1,IPS1,test,sub-01,linear_predictivity,435,235,0.04466606293074811,"[0.05431275564366534, 0.03709621776955034, 0.0477487197678855, 0.043151450057689396, 0.04102117141494996]",,,,,
sub-02,V1,MST,train,sub-01,linear_predictivity,435,149,0.038404141967532335,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 1000.0, 3162.277660168379]",0.1450501115887512,1.0700306195814844,0.8543572562526757,0.956816075998046
sub-02,V1,MST,test,sub-01,linear_predictivity,435,149,0.09749201963639566,"[0.09803306462113665, 0.09506550863761333, 0.08379352901729802, 0.11196629263199176, 0.09860170327393852]",,,,,
sub-02,V1,MT,train,sub-01,linear_predictivity,435,100,0.031270481909028,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 1000.0, 3162.277660168379]",0.13971619583501485,1.0780069538537347,0.8597631769720738,0.9638448379407312
sub-02,V1,MT,test,sub-01,linear_predictivity,435,100,0.08810802875313886,"[0.09230163806348023, 0.08837000675450976, 0.08448975682109794, 0.09515921825957882, 0.08021952386702756]",,,,,
sub-02,V1,FST,train,sub-01,linear_predictivity,435,175,0.05280391308902615,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 1000.0]",0.15644140275657617,1.0696521104897965,0.8429373364186528,0.9414023297831002
sub-02,V1,FST,test,sub-01,linear_predictivity,435,175,0.09310678844951484,"[0.08796651856046621, 0.08450567460572131, 0.08338680097568822, 0.09396883626355304, 0.11570611184214544]",,,,,
sub-02,V1,LO1,train,sub-01,linear_predictivity,435,80,0.056278729856721325,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14856815239183035,1.0721823881044832,0.8510639251529698,0.9369162174504904
sub-02,V1,LO1,test,sub-01,linear_predictivity,435,80,0.14976114271266489,"[0.14852876985984867, 0.14807669744925028, 0.14958694784620286, 0.1506505275275959, 0.1519627708804267]",,,,,
sub-02,V1,LO2,train,sub-01,linear_predictivity,435,67,0.03030079562150586,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12097278222942269,1.1023543681498282,0.8788287857371981,0.9666617530436117
sub-02,V1,LO2,test,sub-01,linear_predictivity,435,67,0.08133120665434483,"[0.0912523609639064, 0.0688331439232318, 0.08295791790871153, 0.08269545780159814, 0.0809171526742763]",,,,,
sub-02,V1,LO3,train,sub-01,linear_predictivity,435,121,0.04021709284145901,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13076409435841535,1.0837287467393122,0.8689222367124796,0.9542394405669791
sub-02,V1,LO3,test,sub-01,linear_predictivity,435,121,0.0809407363080094,"[0.08768282023376965, 0.07437502815428441, 0.08151976482649982, 0.07819493118110764, 0.08293113714438544]",,,,,
sub-02,V1,V7,train,sub-01,linear_predictivity,435,89,0.03111854617206892,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12334371199638643,1.0867320952442043,0.8762637054741216,0.9618297020073081
sub-02,V1,V7,test,sub-01,linear_predictivity,435,89,0.052381495722817764,"[0.05521992762275372, 0.04780452327251035, 0.050552549829950236, 0.056059687334058805, 0.052270790554815726]",,,,,
sub-02,V1,IP0,train,sub-01,linear_predictivity,435,169,0.0027052209696698734,,"[10000.0, 10000.0, 10000.0, 3162.277660168379, 10000.0]",0.058072779634799954,1.1162682936060748,0.9419505869255875,0.99308317956366
sub-02,V1,IP0,test,sub-01,linear_predictivity,435,169,-0.0022512950831311026,"[1.1211759905245032e-05, -0.013935282774019005, 0.00451661556713787, -0.004467654626205321, 0.0026186346575256974]",,,,,
sub-02,V1,IP1,train,sub-01,linear_predictivity,435,226,-0.004347386367031484,,"[31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796]",0.018610896845608897,1.1232566431504523,0.9811447367528929,1.0005109995892218
sub-02,V1,IP1,test,sub-01,linear_predictivity,435,226,-0.020355031252535207,"[-0.01614460443586264, -0.033915090987115794, -0.020835467487358473, -0.02198630830654095, -0.008893685045798192]",,,,,
sub-02,V1,MIP,train,sub-01,linear_predictivity,435,296,0.003692298426091678,,"[3162.277660168379, 10000.0, 10000.0, 3162.277660168379, 10000.0]",0.06922108194918544,1.1092534637600526,0.9307637644710761,0.9929494107097888
sub-02,V1,MIP,test,sub-01,linear_predictivity,435,296,0.023208423904220465,"[0.02938291096916473, 0.006361979115654201, 0.02298134114737969, 0.03416515098740371, 0.023150737301500003]",,,,,
sub-02,V1,VIP,train,sub-01,linear_predictivity,435,203,-0.0024826348317222315,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 10000.0]",0.07436090586745045,1.114436478281841,0.9253589904118457,0.9976739968827161
sub-02,V1,VIP,test,sub-01,linear_predictivity,435,203,0.011091797633326805,"[0.01629418007043967, 0.011535116681096379, 0.0055488293388454265, 0.021457693702229087, 0.0006231683740234579]",,,,,
sub-02,V1,LIPd,train,sub-01,linear_predictivity,435,122,0.0008350897492215066,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.04612575691261751,1.1151316756424943,0.9536628468891379,0.9955596346225054
sub-02,V1,LIPd,test,sub-01,linear_predictivity,435,122,0.001712507826709454,"[0.0012714645316041922, -0.007251875223478789, 0.004535714874054975, 0.0018017233419952738, 0.008205511609371618]",,,,,
sub-02,V1,LIPv,train,sub-01,linear_predictivity,435,173,-0.0006584672386110125,,"[10000.0, 3162.277660168379, 10000.0, 3162.277660168379, 10000.0]",0.06956349171406531,1.1093691660319167,0.9301105986976413,0.9949513021223586
sub-02,V1,LIPv,test,sub-01,linear_predictivity,435,173,0.022770786966931383,"[0.010980510376371731, 0.020440813175058956, 0.025527025555656235, 0.0336666120477572, 0.0232389736798128]",,,,,
sub-02,V1,AIP,train,sub-01,linear_predictivity,435,563,0.0013109652711330861,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.04632411416414467,1.1181798672147978,0.953434566217631,0.9948525395211354
sub-02,V1,AIP,test,sub-01,linear_predictivity,435,563,0.00513797742733102,"[0.004831338024086586, -0.0008622471324942904, 0.007506552591786497, 0.005098105555152391, 0.009116138098123913]",,,,,
sub-02,V1,7Pm,train,sub-01,linear_predictivity,435,92,0.01227886080169298,,"[3162.277660168379, 3162.277660168379, 10000.0, 10000.0, 3162.277660168379]",0.08470731073887142,1.1130307558838948,0.9151939364316959,0.9841038107693751
sub-02,V1,7Pm,test,sub-01,linear_predictivity,435,92,0.00975189805944,"[0.012664397609929596, 0.010641857130195461, -0.0003781892116596763, 0.007072392909984166, 0.018759031858750448]",,,,,
sub-02,V1,7PL,train,sub-01,linear_predictivity,435,155,0.016849453431257242,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1060070142664716,1.0987011048871644,0.8937479192240255,0.978810879177208
sub-02,V1,7PL,test,sub-01,linear_predictivity,435,155,0.058373351385140014,"[0.06325330839257816, 0.05354467653290457, 0.05349132291410793, 0.06590010939943773, 0.055677339686671726]",,,,,
sub-02,V1,7PC,train,sub-01,linear_predictivity,435,322,0.011581739071500037,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10305665731126298,1.1074827205698639,0.896589898964878,0.9824700464423655
