model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-03,V1,V1,train,sub-09,linear_predictivity,361,641,0.07036030240072481,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1615098242925943,1.0562184570456528,0.8383063148492045,0.9264684250339774
sub-03,V1,V1,test,sub-09,linear_predictivity,361,641,0.14459377946633573,"[0.14672566947828064, 0.14001143499167132, 0.14416559115736355, 0.14713607036517742, 0.1449301313391856]",,,,,
sub-03,V1,V2,train,sub-09,linear_predictivity,361,754,0.0680210764789516,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15972606192109676,1.0589651686329664,0.8400280512843004,0.9277898774600523
sub-03,V1,V2,test,sub-09,linear_predictivity,361,754,0.10776614419887372,"[0.11034263188468073, 0.09780723422421614, 0.1101174428075707, 0.1155563282577204, 0.10500708382018067]",,,,,
sub-03,V1,V3,train,sub-09,linear_predictivity,361,575,0.07186766239310614,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16243808101425333,1.0573768819559242,0.83734973568732,0.9245011413835963
sub-03,V1,V3,test,sub-09,linear_predictivity,361,575,0.13904241127536937,"[0.13576322009155936, 0.13149876797416082, 0.141729677855283, 0.1483250285975989, 0.13789536185824466]",,,,,
sub-03,V1,V4,train,sub-09,linear_predictivity,361,616,0.06999300326183172,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16061209016655864,1.0586101951662497,0.8391955719748608,0.9268838613846878
sub-03,V1,V4,test,sub-09,linear_predictivity,361,616,0.14643940490063354,"[0.143712244593725, 0.14736170604194695, 0.14533673934019947, 0.14871443759888534, 0.14707189692841094]",,,,,
sub-03,V1,V3A,train,sub-09,linear_predictivity,361,270,0.014688469818139007,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06330579634080911,1.10215056223545,0.9363787146617506,0.980118453892658
sub-03,V1,V3A,test,sub-09,linear_predictivity,361,270,0.01632479049854763,"[0.005301801540286179, 0.010811829334595426, 0.02043161970763685, 0.018006799929436833, 0.027071901980782857]",,,,,
sub-03,V1,V3B,train,sub-09,linear_predictivity,361,148,0.03206074373539593,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12360249746202981,1.0837582974715594,0.8761997106420532,0.9645485580461892
sub-03,V1,V3B,test,sub-09,linear_predictivity,361,148,0.06412974096630666,"[0.05982207597977953, 0.061904355195781344, 0.0631228513982878, 0.06158676138208896, 0.07421266087559564]",,,,,
sub-03,V1,V6,train,sub-09,linear_predictivity,361,104,0.00046277831479080134,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.04873632623719428,1.1168110669232127,0.9509840151630626,0.994868003523616
sub-03,V1,V6,test,sub-09,linear_predictivity,361,104,-0.004906777519689883,"[-0.006604912188356434, -0.0049408381886797146, -0.011828601727223767, -0.0032123936831828506, 0.002052858188993349]",,,,,
sub-03,V1,V6A,train,sub-09,linear_predictivity,361,85,0.012476950508796304,,"[10000.0, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.09343833716325083,1.0983697129255492,0.9061588785176209,0.9831373719413147
sub-03,V1,V6A,test,sub-09,linear_predictivity,361,85,0.03165476565997326,"[0.02334320552550096, 0.03957195892183067, 0.01844120511782282, 0.02897793177484294, 0.04793952695986891]",,,,,
sub-03,V1,V7,train,sub-09,linear_predictivity,361,87,0.029975710941626457,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12401037271698905,1.0857331999255286,0.8757961513849575,0.9667271611763963
sub-03,V1,V7,test,sub-09,linear_predictivity,361,87,0.008690014041659833,"[0.011063648887143663, 0.009762306029212495, -0.001391799350775426, 0.006015056829826893, 0.018000857812891534]",,,,,
sub-03,V1,V8,train,sub-09,linear_predictivity,361,101,0.03196131828563704,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1270184879507636,1.0864542744686736,0.8727696863138622,0.964107241625211
sub-03,V1,V8,test,sub-09,linear_predictivity,361,101,0.079421375342111,"[0.0825044270704724, 0.07686589926043293, 0.07814654330845537, 0.07590835816272401, 0.08368164890847027]",,,,,
sub-03,V1,FFC,train,sub-09,linear_predictivity,361,263,0.03560457718738737,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12870436625285556,1.084478409047872,0.871098402746048,0.9608618152824098
sub-03,V1,FFC,test,sub-09,linear_predictivity,361,263,0.06287688026503965,"[0.06378336481409999, 0.05539728488749423, 0.06212284228800574, 0.05997583251051075, 0.07310507682508757]",,,,,
sub-03,V1,PIT,train,sub-09,linear_predictivity,361,123,0.04553709872150393,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13949465951800116,1.07492160005348,0.8603004842298786,0.9510689577490099
sub-03,V1,PIT,test,sub-09,linear_predictivity,361,123,0.08076901192645378,"[0.07789249370866223, 0.0807000680478775, 0.08087185902104606, 0.07664969239474309, 0.08773094645994002]",,,,,
sub-03,V1,IPS1,train,sub-09,linear_predictivity,361,243,0.004473840846937077,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.049126774114029555,1.1145324199037587,0.9507352166153094,0.9932723986687568
sub-03,V1,IPS1,test,sub-09,linear_predictivity,361,243,-0.007056518476012896,"[-0.009196437991880458, -0.005891336609432544, -0.008082229899827745, -0.008255398615341147, -0.0038571892635825816]",,,,,
sub-03,V1,MST,train,sub-09,linear_predictivity,361,149,0.04547867934332198,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13615842887764895,1.0741306883132566,0.8636045459640798,0.9502736619401453
