model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-03,V1,V1,train,sub-02,linear_predictivity,361,435,0.12033763330501314,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20903914525209685,1.0192182692373268,0.7907233794869392,0.8758767273639494
sub-03,V1,V1,test,sub-02,linear_predictivity,361,435,0.22167531539213198,"[0.22036119714639585, 0.22259408814157858, 0.22649603350574357, 0.2218691820501209, 0.21705607611682098]",,,,,
sub-03,V1,V2,train,sub-02,linear_predictivity,361,567,0.08826190858063927,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17914575298754626,1.0440910042742626,0.8206098364818393,0.9075041742725295
sub-03,V1,V2,test,sub-02,linear_predictivity,361,567,0.15997009764162753,"[0.1612065989005247, 0.16363975120172655, 0.1621952393367161, 0.15929895855872322, 0.15350994021044706]",,,,,
sub-03,V1,V3,train,sub-02,linear_predictivity,361,538,0.08092506594822459,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17221901125028646,1.0510905470039362,0.827532798543721,0.9148213886865657
sub-03,V1,V3,test,sub-02,linear_predictivity,361,538,0.16703293907061084,"[0.17251545574549348, 0.16384622093098325, 0.1649818593412882, 0.16620321608454963, 0.16761794325073967]",,,,,
sub-03,V1,V4,train,sub-02,linear_predictivity,361,630,0.06434105595845478,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15558507703946267,1.0634142115227654,0.8441946720054071,0.9320616147819788
sub-03,V1,V4,test,sub-02,linear_predictivity,361,630,0.13496302342364244,"[0.1417920518804126, 0.13229279946459888, 0.12995163897358064, 0.13567342894724166, 0.13510519785237837]",,,,,
sub-03,V1,V3A,train,sub-02,linear_predictivity,361,273,0.05107422238335811,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1439059469981567,1.070319673048824,0.8558414391708885,0.9445183210076351
sub-03,V1,V3A,test,sub-02,linear_predictivity,361,273,0.09805034306103541,"[0.10586515850104278, 0.0958677659892812, 0.09300551782883563, 0.10367132519736189, 0.0918419477886555]",,,,,
sub-03,V1,V3B,train,sub-02,linear_predictivity,361,148,0.06078388871641875,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1469276153531492,1.068942795412179,0.8529360429980294,0.9368298681705072
sub-03,V1,V3B,test,sub-02,linear_predictivity,361,148,0.06802731687492916,"[0.07490956612109376, 0.06793011569709581, 0.05273504506389334, 0.07688044566926, 0.06768141182330296]",,,,,
sub-03,V1,V6,train,sub-02,linear_predictivity,361,147,0.04641432333690156,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14188600831268539,1.0698013606194337,0.8578071159530687,0.9483020553782282
sub-03,V1,V6,test,sub-02,linear_predictivity,361,147,0.10091780453168273,"[0.10200967295667736, 0.09948239839870776, 0.09862837632832733, 0.10328812633274331, 0.10118044864195787]",,,,,
sub-03,V1,V6A,train,sub-02,linear_predictivity,361,82,0.028274740489877027,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12482038722064918,1.0881282171263307,0.8748916629820569,0.9670297263828115
sub-03,V1,V6A,test,sub-02,linear_predictivity,361,82,0.09377001679742347,"[0.09790501460646682, 0.09275419329261318, 0.0924589813397094, 0.09601197410907505, 0.08971992063925292]",,,,,
sub-03,V1,V7,train,sub-02,linear_predictivity,361,88,0.04679189517240564,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1354521223152138,1.077442980073523,0.8643184150989208,0.9495159969728529
sub-03,V1,V7,test,sub-02,linear_predictivity,361,88,0.10452681819463919,"[0.10461030717130067, 0.1081470645437514, 0.09803814125193876, 0.1072060394069425, 0.10463253859926254]",,,,,
sub-03,V1,V8,train,sub-02,linear_predictivity,361,105,0.044224273454650936,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1374785951472401,1.0734349415747513,0.8622402246756747,0.9511556931339195
sub-03,V1,V8,test,sub-02,linear_predictivity,361,105,0.08958290893383208,"[0.08703276332070851, 0.09741061726736099, 0.0937154904151157, 0.08090150696217921, 0.08885416670379605]",,,,,
sub-03,V1,FFC,train,sub-02,linear_predictivity,361,269,0.03662511304596134,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13253647527168372,1.0818937763659455,0.8672056997512545,0.9589142553291339
sub-03,V1,FFC,test,sub-02,linear_predictivity,361,269,0.10122187393861928,"[0.10568346776810524, 0.10198193343172791, 0.0963508175004651, 0.09870860789737504, 0.10338454309542311]",,,,,
sub-03,V1,PIT,train,sub-02,linear_predictivity,361,110,0.05873052610779162,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1483929951980591,1.0716766307511816,0.8513760880491391,0.937218410436188
sub-03,V1,PIT,test,sub-02,linear_predictivity,361,110,0.1596997327939121,"[0.16238445030238957, 0.15718737386200868, 0.14555385107245847, 0.1652049993406812, 0.16816798939202277]",,,,,
sub-03,V1,IPS1,train,sub-02,linear_predictivity,361,212,0.01398880913399677,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.10237593519884954,1.0994720755651992,0.8970078238886826,0.9806510055211237
sub-03,V1,IPS1,test,sub-02,linear_predictivity,361,212,0.07601891251187308,"[0.0836613127778408, 0.07434810165784299, 0.08952478227780523, 0.052357786591918226, 0.0802025792539582]",,,,,
sub-03,V1,MST,train,sub-02,linear_predictivity,361,149,0.0576462769489805,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15038981740141735,1.0662045881954731,0.849345671296516,0.9377300312237808
sub-03,V1,MST,test,sub-02,linear_predictivity,361,149,0.10409399400469244,"[0.1069651207625274, 0.09932480719254529, 0.10396054944340252, 0.10647060530950585, 0.1037488873154811]",,,,,
sub-03,V1,MT,train,sub-02,linear_predictivity,361,99,0.048252845390740554,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14264235059229216,1.0738395901284818,0.8570287206852125,0.9460563446116762
sub-03,V1,MT,test,sub-02,linear_predictivity,361,99,0.07191438738448738,"[0.07511656114990141, 0.06543278033845255, 0.07236189897841973, 0.07403003118215759, 0.07263066527350567]",,,,,
sub-03,V1,FST,train,sub-02,linear_predictivity,361,171,0.054488643550545245,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14395236295481367,1.0746467349932782,0.855849162527333,0.9421386884781688
sub-03,V1,FST,test,sub-02,linear_predictivity,361,171,0.10239250130987809,"[0.1028002383558146, 0.1002178972092937, 0.1001506696750996, 0.10692230927041801, 0.10187139203876452]",,,,,
sub-03,V1,LO1,train,sub-02,linear_predictivity,361,78,0.02440863562404981,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.10819275005025253,1.0966106568164644,0.8916472354725912,0.9733639058912447
sub-03,V1,LO1,test,sub-02,linear_predictivity,361,78,0.10050670884657768,"[0.11505689478873259, 0.10947353804860593, 0.10145698189003663, 0.07084616155121122, 0.10569996795430207]",,,,,
sub-03,V1,LO2,train,sub-02,linear_predictivity,361,82,0.06628592956034879,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1570855836568676,1.0699372606266415,0.8427194095836523,0.9302955545622208
sub-03,V1,LO2,test,sub-02,linear_predictivity,361,82,0.16275189578223825,"[0.16733089592361702, 0.1590340054715939, 0.15780308923682307, 0.16689779136534164, 0.16269369691381563]",,,,,
