model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-03,V1,V1,train,sub-02,361,435,rsa,0.16642877459526062
sub-03,V1,V2,train,sub-02,361,567,rsa,0.1454998105764389
sub-03,V1,V3,train,sub-02,361,538,rsa,0.12121991813182831
sub-03,V1,V4,train,sub-02,361,630,rsa,0.09441719204187393
sub-03,V1,V3A,train,sub-02,361,273,rsa,0.060997944325208664
sub-03,V1,V3B,train,sub-02,361,148,rsa,0.05197438225150108
sub-03,V1,V6,train,sub-02,361,147,rsa,0.04177867993712425
sub-03,V1,V6A,train,sub-02,361,82,rsa,0.03361005708575249
sub-03,V1,V7,train,sub-02,361,88,rsa,0.04101865738630295
sub-03,V1,V8,train,sub-02,361,105,rsa,0.06831712275743484
sub-03,V1,FFC,train,sub-02,361,269,rsa,0.03148387372493744
sub-03,V1,PIT,train,sub-02,361,110,rsa,0.029488621279597282
sub-03,V1,IPS1,train,sub-02,361,212,rsa,0.037159763276576996
sub-03,V1,MST,train,sub-02,361,149,rsa,0.04271923750638962
sub-03,V1,MT,train,sub-02,361,99,rsa,0.06442901492118835
sub-03,V1,FST,train,sub-02,361,171,rsa,0.04249831289052963
sub-03,V1,LO1,train,sub-02,361,78,rsa,0.03746680170297623
sub-03,V1,LO2,train,sub-02,361,82,rsa,0.04820321500301361
sub-03,V1,LO3,train,sub-02,361,124,rsa,0.04628311097621918
sub-03,V1,V7,train,sub-02,361,88,rsa,0.04101865738630295
sub-03,V1,IP0,train,sub-02,361,151,rsa,0.03219057619571686
sub-03,V1,IP1,train,sub-02,361,78,rsa,0.008780200034379959
sub-03,V1,MIP,train,sub-02,361,198,rsa,0.01683509536087513
sub-03,V1,VIP,train,sub-02,361,200,rsa,0.025419719517230988
sub-03,V1,LIPd,train,sub-02,361,106,rsa,0.012953688390552998
sub-03,V1,LIPv,train,sub-02,361,239,rsa,0.02294483222067356
sub-03,V1,AIP,train,sub-02,361,381,rsa,0.00716765783727169
sub-03,V1,7Pm,train,sub-02,361,37,rsa,0.00681887473911047
sub-03,V1,7PL,train,sub-02,361,38,rsa,0.010342951864004135
sub-03,V1,7PC,train,sub-02,361,234,rsa,0.011704730801284313
sub-03,V1,7Am,train,sub-02,361,232,rsa,0.012216688133776188
sub-03,V1,7AL,train,sub-02,361,259,rsa,0.011786293238401413
sub-03,V1,VVC,train,sub-02,361,159,rsa,0.040342725813388824
sub-03,V1,VMV2,train,sub-02,361,124,rsa,0.030707228928804398
sub-03,V1,VMV3,train,sub-02,361,113,rsa,0.030559038743376732
sub-03,V1,VMV1,train,sub-02,361,84,rsa,0.05251597240567207
sub-03,V1,PHA2,train,sub-02,361,29,rsa,0.011640611104667187
sub-03,V1,PHA3,train,sub-02,361,147,rsa,0.01348371896892786
sub-03,V1,PH,train,sub-02,361,360,rsa,0.03881804645061493
sub-03,V2,V1,train,sub-02,525,435,rsa,0.1577601134777069
sub-03,V2,V2,train,sub-02,525,567,rsa,0.19288970530033112
sub-03,V2,V3,train,sub-02,525,538,rsa,0.14021830260753632
sub-03,V2,V4,train,sub-02,525,630,rsa,0.13295648992061615
sub-03,V2,V3A,train,sub-02,525,273,rsa,0.08243023604154587
sub-03,V2,V3B,train,sub-02,525,148,rsa,0.0519632063806057
sub-03,V2,V6,train,sub-02,525,147,rsa,0.05021645128726959
sub-03,V2,V6A,train,sub-02,525,82,rsa,0.044418755918741226
sub-03,V2,V7,train,sub-02,525,88,rsa,0.04612419381737709
sub-03,V2,V8,train,sub-02,525,105,rsa,0.09009721875190735
sub-03,V2,FFC,train,sub-02,525,269,rsa,0.028552886098623276
sub-03,V2,PIT,train,sub-02,525,110,rsa,0.026592934504151344
sub-03,V2,IPS1,train,sub-02,525,212,rsa,0.03771871328353882
sub-03,V2,MST,train,sub-02,525,149,rsa,0.04671965911984444
sub-03,V2,MT,train,sub-02,525,99,rsa,0.05137297511100769
sub-03,V2,FST,train,sub-02,525,171,rsa,0.04084988683462143
sub-03,V2,LO1,train,sub-02,525,78,rsa,0.03981323912739754
sub-03,V2,LO2,train,sub-02,525,82,rsa,0.051844917237758636
sub-03,V2,LO3,train,sub-02,525,124,rsa,0.04301786050200462
sub-03,V2,V7,train,sub-02,525,88,rsa,0.04612419381737709
sub-03,V2,IP0,train,sub-02,525,151,rsa,0.029837623238563538
sub-03,V2,IP1,train,sub-02,525,78,rsa,0.01386494841426611
sub-03,V2,MIP,train,sub-02,525,198,rsa,0.01665693335235119
sub-03,V2,VIP,train,sub-02,525,200,rsa,0.026736881583929062
sub-03,V2,LIPd,train,sub-02,525,106,rsa,0.01745189167559147
sub-03,V2,LIPv,train,sub-02,525,239,rsa,0.02528294175863266
sub-03,V2,AIP,train,sub-02,525,381,rsa,0.0067786527797579765
sub-03,V2,7Pm,train,sub-02,525,37,rsa,0.010705283842980862
sub-03,V2,7PL,train,sub-02,525,38,rsa,0.00976466853171587
sub-03,V2,7PC,train,sub-02,525,234,rsa,0.0118269557133317
sub-03,V2,7Am,train,sub-02,525,232,rsa,0.01874743588268757
sub-03,V2,7AL,train,sub-02,525,259,rsa,0.016533855348825455
sub-03,V2,VVC,train,sub-02,525,159,rsa,0.04428129270672798
sub-03,V2,VMV2,train,sub-02,525,124,rsa,0.025836961343884468
sub-03,V2,VMV3,train,sub-02,525,113,rsa,0.033023156225681305
sub-03,V2,VMV1,train,sub-02,525,84,rsa,0.0448128879070282
sub-03,V2,PHA2,train,sub-02,525,29,rsa,0.016932668164372444
sub-03,V2,PHA3,train,sub-02,525,147,rsa,0.022149788215756416
sub-03,V2,PH,train,sub-02,525,360,rsa,0.026609094813466072
sub-03,V3,V1,train,sub-02,361,435,rsa,0.1885739415884018
sub-03,V3,V2,train,sub-02,361,567,rsa,0.1782761812210083
sub-03,V3,V3,train,sub-02,361,538,rsa,0.19759677350521088
sub-03,V3,V4,train,sub-02,361,630,rsa,0.15310615301132202
sub-03,V3,V3A,train,sub-02,361,273,rsa,0.10122347623109818
sub-03,V3,V3B,train,sub-02,361,148,rsa,0.0694522112607956
sub-03,V3,V6,train,sub-02,361,147,rsa,0.04859519377350807
sub-03,V3,V6A,train,sub-02,361,82,rsa,0.032873887568712234
sub-03,V3,V7,train,sub-02,361,88,rsa,0.05802789703011513
sub-03,V3,V8,train,sub-02,361,105,rsa,0.10476800799369812
sub-03,V3,FFC,train,sub-02,361,269,rsa,0.04562954977154732
sub-03,V3,PIT,train,sub-02,361,110,rsa,0.045211758464574814
sub-03,V3,IPS1,train,sub-02,361,212,rsa,0.02522779442369938
sub-03,V3,MST,train,sub-02,361,149,rsa,0.05439823865890503
sub-03,V3,MT,train,sub-02,361,99,rsa,0.06767737120389938
sub-03,V3,FST,train,sub-02,361,171,rsa,0.050588034093379974
sub-03,V3,LO1,train,sub-02,361,78,rsa,0.04668596759438515
sub-03,V3,LO2,train,sub-02,361,82,rsa,0.07779800146818161
sub-03,V3,LO3,train,sub-02,361,124,rsa,0.05010930448770523
sub-03,V3,V7,train,sub-02,361,88,rsa,0.05802789703011513
sub-03,V3,IP0,train,sub-02,361,151,rsa,0.030954770743846893
sub-03,V3,IP1,train,sub-02,361,78,rsa,0.013624333776533604
sub-03,V3,MIP,train,sub-02,361,198,rsa,0.013297410681843758
sub-03,V3,VIP,train,sub-02,361,200,rsa,0.024327294901013374
sub-03,V3,LIPd,train,sub-02,361,106,rsa,0.01636374741792679
sub-03,V3,LIPv,train,sub-02,361,239,rsa,0.02845100127160549
sub-03,V3,AIP,train,sub-02,361,381,rsa,0.00969428475946188
sub-03,V3,7Pm,train,sub-02,361,37,rsa,0.013070219196379185
sub-03,V3,7PL,train,sub-02,361,38,rsa,0.005276463460177183
sub-03,V3,7PC,train,sub-02,361,234,rsa,0.012815888039767742
sub-03,V3,7Am,train,sub-02,361,232,rsa,0.019834144040942192
sub-03,V3,7AL,train,sub-02,361,259,rsa,0.013160500675439835
sub-03,V3,VVC,train,sub-02,361,159,rsa,0.04727066308259964
sub-03,V3,VMV2,train,sub-02,361,124,rsa,0.02946661412715912
sub-03,V3,VMV3,train,sub-02,361,113,rsa,0.03654894977807999
sub-03,V3,VMV1,train,sub-02,361,84,rsa,0.035557568073272705
sub-03,V3,PHA2,train,sub-02,361,29,rsa,0.00820241216570139
sub-03,V3,PHA3,train,sub-02,361,147,rsa,0.01686723157763481
sub-03,V3,PH,train,sub-02,361,360,rsa,0.043792832642793655
