model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-10,V1,V1,train,sub-04,linear_predictivity,553,523,0.17170367611986806,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2702354873609271,1.0460823078173853,0.7294715859259411,0.8230590893701383
sub-10,V1,V1,test,sub-04,linear_predictivity,553,523,0.2518332229269805,"[0.24419141361662752, 0.2522993897914598, 0.24609178443945567, 0.2576538679232326, 0.258929658864127]",,,,,
sub-10,V1,V2,train,sub-04,linear_predictivity,553,638,0.13362270836991927,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23632743910436674,1.0719999345137707,0.7634245906339263,0.8619182411624502
sub-10,V1,V2,test,sub-04,linear_predictivity,553,638,0.20794357954505296,"[0.20517125413569115, 0.19970597560800948, 0.21104063595750006, 0.20964100727774707, 0.2141590247463171]",,,,,
sub-10,V1,V3,train,sub-04,linear_predictivity,553,520,0.1612806569561961,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2593699056959313,1.0528620638960093,0.7403581580705991,0.834011999436955
sub-10,V1,V3,test,sub-04,linear_predictivity,553,520,0.25114937509211144,"[0.24442333426405397, 0.2457206178790159, 0.2542993340431848, 0.2503378003516205, 0.26096578892268185]",,,,,
sub-10,V1,V4,train,sub-04,linear_predictivity,553,610,0.15602197345689411,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.25830003102275867,1.053014036450919,0.7413950535931512,0.8387645431298179
sub-10,V1,V4,test,sub-04,linear_predictivity,553,610,0.27054517097683417,"[0.26908151428955235, 0.26929188176421337, 0.2699297727891797, 0.2690499934540776, 0.27537269258714786]",,,,,
sub-10,V1,V3A,train,sub-04,linear_predictivity,553,232,0.06871094112682201,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18069521733578217,1.1233076140979035,0.8190747917262045,0.9271749459446317
sub-10,V1,V3A,test,sub-04,linear_predictivity,553,232,0.13410057081321847,"[0.12625227811456496, 0.12855222474992628, 0.14759313411236735, 0.1313671138174917, 0.1367381032717421]",,,,,
sub-10,V1,V3B,train,sub-04,linear_predictivity,553,150,0.07451208575624264,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18365127193756683,1.1314892944345174,0.8161509564447964,0.9222924356546592
sub-10,V1,V3B,test,sub-04,linear_predictivity,553,150,0.11877634098415837,"[0.12281285936072081, 0.11039785607325432, 0.11504147428162582, 0.12193823449610167, 0.12369128070908919]",,,,,
sub-10,V1,V6,train,sub-04,linear_predictivity,553,58,-0.0028791816958526075,,"[31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796, 10000.0]",0.031704239607285564,1.1940259194232516,0.9680220852365953,0.9995464335342487
sub-10,V1,V6,test,sub-04,linear_predictivity,553,58,-0.015461735075283842,"[-0.015814790164311393, -0.021260455254205092, -0.010736685310118422, -0.01937217129804504, -0.010124573349739265]",,,,,
sub-10,V1,V6A,train,sub-04,linear_predictivity,553,38,0.02978844117628139,,"[10000.0, 3162.277660168379, 10000.0, 10000.0, 3162.277660168379]",0.10926289898024297,1.1661675904060895,0.8905227990582361,0.9673094423183601
sub-10,V1,V6A,test,sub-04,linear_predictivity,553,38,0.07856427703383746,"[0.07409130149297034, 0.07752611312241978, 0.08338293491368634, 0.07302378347706984, 0.08479725216304104]",,,,,
sub-10,V1,V7,train,sub-04,linear_predictivity,553,77,0.03968496120117044,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15659996592567388,1.1551865265075287,0.8430897185149338,0.9550394514188101
sub-10,V1,V7,test,sub-04,linear_predictivity,553,77,0.06689998148913794,"[0.06159379843938388, 0.06316078635916353, 0.07156612236921962, 0.06126287060145556, 0.07691632967646708]",,,,,
sub-10,V1,V8,train,sub-04,linear_predictivity,553,111,0.07867419858450792,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19154106748224814,1.1197586624758702,0.8082522547920888,0.9174532474788926
sub-10,V1,V8,test,sub-04,linear_predictivity,553,111,0.16279481443835667,"[0.1645289893224695, 0.15953100050105673, 0.16749363964140285, 0.16069273773054227, 0.16172770499631195]",,,,,
sub-10,V1,FFC,train,sub-04,linear_predictivity,553,312,0.061758499656156485,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16910513636355973,1.1249034782231793,0.830705167640977,0.9347205137056454
sub-10,V1,FFC,test,sub-04,linear_predictivity,553,312,0.10549172671729241,"[0.1045048934415372, 0.0990164440649967, 0.11606840026407743, 0.09864202271769393, 0.10922687309815679]",,,,,
sub-10,V1,PIT,train,sub-04,linear_predictivity,553,118,0.058090781027098234,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16690639334608137,1.1360519602093544,0.8328553483002196,0.9377804839431414
sub-10,V1,PIT,test,sub-04,linear_predictivity,553,118,0.09607727686937122,"[0.09581758574023946, 0.08636715221046998, 0.09407334316252945, 0.09129607671727395, 0.11283222651634325]",,,,,
sub-10,V1,IPS1,train,sub-04,linear_predictivity,553,232,0.05203381282350683,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16583922155901099,1.1423950487707735,0.8338893845904524,0.9434116032726777
sub-10,V1,IPS1,test,sub-04,linear_predictivity,553,232,0.12268578766823221,"[0.12997894792146517, 0.11364807816432411, 0.11625497059022652, 0.1258579660903696, 0.12768897557477565]",,,,,
sub-10,V1,MST,train,sub-04,linear_predictivity,553,142,0.08969814460933664,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1967689137227547,1.1045085673577897,0.8030151348254577,0.9067820221806165
sub-10,V1,MST,test,sub-04,linear_predictivity,553,142,0.16656917894667278,"[0.1626076481871063, 0.16499373030127518, 0.17387214377132185, 0.1641973475448653, 0.16717502492879527]",,,,,
sub-10,V1,MT,train,sub-04,linear_predictivity,553,100,0.10620230192534807,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20976562085915385,1.0951427230297675,0.7900261159724705,0.8903324999346935
sub-10,V1,MT,test,sub-04,linear_predictivity,553,100,0.165396834752976,"[0.16400748431030202, 0.16313176586758502, 0.17203599577192527, 0.16179732959065024, 0.1660115982244176]",,,,,
sub-10,V1,FST,train,sub-04,linear_predictivity,553,175,0.08090794534933798,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19037574136406155,1.116751910262035,0.8093904210479671,0.9148571688516943
sub-10,V1,FST,test,sub-04,linear_predictivity,553,175,0.16134268395480048,"[0.16403863036275063, 0.15220342537921136, 0.16535832085863367, 0.16140241980849504, 0.16371062336491168]",,,,,
sub-10,V1,LO1,train,sub-04,linear_predictivity,553,80,0.14511094909149624,,"[3162.277660168379, 1000.0, 1000.0, 1000.0, 1000.0]",0.31813262876485393,1.0508958306158453,0.6814577852889615,0.8497309772368629
sub-10,V1,LO1,test,sub-04,linear_predictivity,553,80,0.226561201363439,"[0.21465316727930434, 0.21831307339341652, 0.23186477806796804, 0.22306125561563528, 0.24491373246087084]",,,,,
sub-10,V1,LO2,train,sub-04,linear_predictivity,553,83,0.09861798259566855,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19696783637181783,1.0917220125269549,0.8028597160027221,0.8987802612058294
sub-10,V1,LO2,test,sub-04,linear_predictivity,553,83,0.14600764161408525,"[0.1529456882639788, 0.13410658562291355, 0.14635724346230894, 0.14459717329352814, 0.15203151742769677]",,,,,
sub-10,V1,LO3,train,sub-04,linear_predictivity,553,118,0.07754646916379172,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1846906660181164,1.1207083939330278,0.8150772976455235,0.9185795541571673
sub-10,V1,LO3,test,sub-04,linear_predictivity,553,118,0.10995576569781618,"[0.11027902821520821, 0.1007904286205198, 0.1178184188882924, 0.108247473954988, 0.11264347881007239]",,,,,
sub-10,V1,V7,train,sub-04,linear_predictivity,553,77,0.03968496120117044,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15659996592567388,1.1551865265075287,0.8430897185149338,0.9550394514188101
sub-10,V1,V7,test,sub-04,linear_predictivity,553,77,0.06689998148913794,"[0.06159379843938388, 0.06316078635916353, 0.07156612236921962, 0.06126287060145556, 0.07691632967646708]",,,,,
sub-10,V1,IP0,train,sub-04,linear_predictivity,553,196,0.04901493416847563,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16526589564938604,1.1380555821590228,0.8344249802378965,0.9456271123403555
sub-10,V1,IP0,test,sub-04,linear_predictivity,553,196,0.12263601040397612,"[0.12348430117498983, 0.10957220861259652, 0.12483437963618399, 0.1254215672258204, 0.12986759537028983]",,,,,
sub-10,V1,IP1,train,sub-04,linear_predictivity,553,49,-0.002151227353420861,,"[31622.776601683796, 10000.0, 31622.776601683796, 31622.776601683796, 31622.776601683796]",0.0325223113190404,1.1918935928257164,0.9671783827485483,0.9987772437346987
sub-10,V1,IP1,test,sub-04,linear_predictivity,553,49,0.01157781853626335,"[0.009099179740987869, 0.011410608738758772, 0.011570313683975358, 0.012648661526708049, 0.013160328990886707]",,,,,
sub-10,V1,MIP,train,sub-04,linear_predictivity,553,237,0.007411445473911234,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06937615731677302,1.1798373558793191,0.9302963771494449,0.9868335867526559
sub-10,V1,MIP,test,sub-04,linear_predictivity,553,237,0.023711543466337116,"[0.027706205861171018, 0.014065430694052368, 0.025343210409099003, 0.02525812371597274, 0.026184746651390447]",,,,,
sub-10,V1,VIP,train,sub-04,linear_predictivity,553,198,0.012253741281333984,,"[10000.0, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.10891858821983172,1.1729930496861694,0.8909873191123898,0.9836365508187825
sub-10,V1,VIP,test,sub-04,linear_predictivity,553,198,0.05488181116860018,"[0.0548444801459348, 0.05958747907842013, 0.049966366309239535, 0.05134257666368722, 0.05866815364571923]",,,,,
sub-10,V1,LIPd,train,sub-04,linear_predictivity,553,28,-0.00694911838902337,,"[100000.0, 31622.776601683796, 31622.776601683796, 31622.776601683796, 1000000000.0]",0.01658967866278855,1.2004636430025433,0.9832142994884435,1.0040553472577187
sub-10,V1,LIPd,test,sub-04,linear_predictivity,553,28,0.001363582464396333,"[0.005743403827732918, 0.0011330725447901504, 0.0047634717817648066, -0.000927100723656609, -0.0038949351086496014]",,,,,
sub-10,V1,LIPv,train,sub-04,linear_predictivity,553,149,-0.00012780497689583611,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06489013091180815,1.1777853412700146,0.9347708098376082,0.9940901838444409
sub-10,V1,LIPv,test,sub-04,linear_predictivity,553,149,0.04285383788952381,"[0.05213392726253096, 0.037517046708998095, 0.04309818690100469, 0.03808418026951144, 0.04343584830557385]",,,,,
sub-10,V1,AIP,train,sub-04,linear_predictivity,553,221,-0.0025376207355271535,,"[31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796]",0.027683933893633262,1.1996866221909284,0.9720290975295626,0.9977760168748684
sub-10,V1,AIP,test,sub-04,linear_predictivity,553,221,0.025122598707638905,"[0.02419334108398543, 0.027102513148717526, 0.02489492888487801, 0.02273795529104403, 0.026684255129569522]",,,,,
sub-10,V1,7Pm,train,sub-04,linear_predictivity,553,39,0.018260314954982548,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.0758660552913046,1.181510724743046,0.9238623655688034,0.9773640499353664
sub-10,V1,7Pm,test,sub-04,linear_predictivity,553,39,0.06003897261451775,"[0.05486989399594689, 0.0625902829914698, 0.05779149138162022, 0.06581312342633266, 0.05913007127721916]",,,,,
sub-10,V1,7PL,train,sub-04,linear_predictivity,553,104,0.03769066846431352,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15634658107693328,1.1492190994591964,0.8433745076758601,0.9573257489658575
sub-10,V1,7PL,test,sub-04,linear_predictivity,553,104,0.12598147979968602,"[0.13129870224235732, 0.11584201344606052, 0.1281129960446502, 0.1390313263981033, 0.11562236086725869]",,,,,
sub-10,V1,7PC,train,sub-04,linear_predictivity,553,260,0.0028087948432173196,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06815215569454272,1.1909443248905454,0.9314647602010521,0.990804206684019
sub-10,V1,7PC,test,sub-04,linear_predictivity,553,260,0.03753183264892463,"[0.04071881046761822, 0.037842140786068255, 0.03930839005010514, 0.031185066227909373, 0.03860475571292216]",,,,,
sub-10,V1,7Am,train,sub-04,linear_predictivity,553,207,0.009350985539445798,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06843799043809898,1.183482149540301,0.9313011592653885,0.9865271462247291
sub-10,V1,7Am,test,sub-04,linear_predictivity,553,207,0.06123649652806985,"[0.05894295246311397, 0.06499824155072718, 0.058753719697047804, 0.06755516608147495, 0.05593240284798535]",,,,,
sub-10,V1,7AL,train,sub-04,linear_predictivity,553,180,0.005470302177171272,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06401361397746097,1.1902940845087442,0.9357521761399283,0.9906568736842374
sub-10,V1,7AL,test,sub-04,linear_predictivity,553,180,0.030007054241516694,"[0.03223255410747601, 0.03206471252769792, 0.025429383932050055, 0.0354633625421526, 0.024845258098206896]",,,,,
sub-10,V1,VVC,train,sub-04,linear_predictivity,553,170,0.016760686366628346,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13650996588168077,1.1661895813469503,0.863216518183045,0.9785967536772745
sub-10,V1,VVC,test,sub-04,linear_predictivity,553,170,0.043404565617006265,"[0.04115453865197712, 0.03594898329651491, 0.05244817311876516, 0.0410617628421272, 0.046409370175646905]",,,,,
sub-10,V1,VMV2,train,sub-04,linear_predictivity,553,115,0.07629892026824338,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18674016074814956,1.1122840254530846,0.8129581614504447,0.9191544384050605
