model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-10,V1,V1,train,sub-04,553,523,rsa,0.256582111120224
sub-10,V1,V2,train,sub-04,553,638,rsa,0.22607621550559998
sub-10,V1,V3,train,sub-04,553,520,rsa,0.20092402398586273
sub-10,V1,V4,train,sub-04,553,610,rsa,0.1841067373752594
sub-10,V1,V3A,train,sub-04,553,232,rsa,0.08922581374645233
sub-10,V1,V3B,train,sub-04,553,150,rsa,0.05431167408823967
sub-10,V1,V6,train,sub-04,553,58,rsa,0.005634673871099949
sub-10,V1,V6A,train,sub-04,553,38,rsa,0.03792152181267738
sub-10,V1,V7,train,sub-04,553,77,rsa,0.03138579800724983
sub-10,V1,V8,train,sub-04,553,111,rsa,0.07995755225419998
sub-10,V1,FFC,train,sub-04,553,312,rsa,0.056574366986751556
sub-10,V1,PIT,train,sub-04,553,118,rsa,0.0683998242020607
sub-10,V1,IPS1,train,sub-04,553,232,rsa,0.04905124753713608
sub-10,V1,MST,train,sub-04,553,142,rsa,0.07020939886569977
sub-10,V1,MT,train,sub-04,553,100,rsa,0.04478678107261658
sub-10,V1,FST,train,sub-04,553,175,rsa,0.05454236641526222
sub-10,V1,LO1,train,sub-04,553,80,rsa,0.065998874604702
sub-10,V1,LO2,train,sub-04,553,83,rsa,0.0730796828866005
sub-10,V1,LO3,train,sub-04,553,118,rsa,0.06390120834112167
sub-10,V1,V7,train,sub-04,553,77,rsa,0.03138579800724983
sub-10,V1,IP0,train,sub-04,553,196,rsa,0.06009412556886673
sub-10,V1,IP1,train,sub-04,553,49,rsa,0.006603640504181385
sub-10,V1,MIP,train,sub-04,553,237,rsa,0.03141548112034798
sub-10,V1,VIP,train,sub-04,553,198,rsa,0.020860150456428528
sub-10,V1,LIPd,train,sub-04,553,28,rsa,0.0035938178189098835
sub-10,V1,LIPv,train,sub-04,553,149,rsa,0.013954811729490757
sub-10,V1,AIP,train,sub-04,553,221,rsa,0.003589549334719777
sub-10,V1,7Pm,train,sub-04,553,39,rsa,0.010829630307853222
sub-10,V1,7PL,train,sub-04,553,104,rsa,0.021240340545773506
sub-10,V1,7PC,train,sub-04,553,260,rsa,0.015148567035794258
sub-10,V1,7Am,train,sub-04,553,207,rsa,0.015199142508208752
sub-10,V1,7AL,train,sub-04,553,180,rsa,0.01246592402458191
sub-10,V1,VVC,train,sub-04,553,170,rsa,0.03418579697608948
