model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-10,V1,V1,train,sub-02,linear_predictivity,553,435,0.15175231673722708,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2503417829439112,1.066697142558652,0.7494470838539419,0.8446195021830336
sub-10,V1,V1,test,sub-02,linear_predictivity,553,435,0.240676710801195,"[0.2389940435934543, 0.23514708349099128, 0.24447974171707043, 0.24171570955938074, 0.24304697564507838]",,,,,
sub-10,V1,V2,train,sub-02,linear_predictivity,553,567,0.10290792465707765,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20946668635135396,1.1066663615524353,0.790294218708417,0.8927892150599159
sub-10,V1,V2,test,sub-02,linear_predictivity,553,567,0.1705188244286527,"[0.1673860423799094, 0.17094833189431907, 0.17415704300875334, 0.16773036569762043, 0.17237233916266131]",,,,,
sub-10,V1,V3,train,sub-02,linear_predictivity,553,538,0.08609845343643949,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19365300791484627,1.1182818229544556,0.8061202471653683,0.909767278622254
sub-10,V1,V3,test,sub-02,linear_predictivity,553,538,0.169486291326099,"[0.16861812771054938, 0.16763123117714523, 0.1688828586177045, 0.1687739103767906, 0.17352532874830534]",,,,,
sub-10,V1,V4,train,sub-02,linear_predictivity,553,630,0.06409407436922443,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17375146416144607,1.1367639899445368,0.8260783599457187,0.9327348383835954
sub-10,V1,V4,test,sub-02,linear_predictivity,553,630,0.14288303336642225,"[0.14096884733947856, 0.1420721288123251, 0.1415749599180391, 0.141636536486929, 0.14816269427533943]",,,,,
sub-10,V1,V3A,train,sub-02,linear_predictivity,553,273,0.04759110087020743,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16115703604457407,1.1430371713710978,0.8386005967754592,0.9478167926718803
sub-10,V1,V3A,test,sub-02,linear_predictivity,553,273,0.09285415756130151,"[0.0887136524086354, 0.09307566937170758, 0.09657333058856528, 0.09359809043794318, 0.09231004499965613]",,,,,
