model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-10,V1,V1,train,sub-02,553,435,rsa,0.19824500381946564
sub-10,V1,V2,train,sub-02,553,567,rsa,0.16002115607261658
sub-10,V1,V3,train,sub-02,553,538,rsa,0.12738944590091705
sub-10,V1,V4,train,sub-02,553,630,rsa,0.09576582908630371
sub-10,V1,V3A,train,sub-02,553,273,rsa,0.0454443134367466
sub-10,V1,V3B,train,sub-02,553,148,rsa,0.05151085928082466
sub-10,V1,V6,train,sub-02,553,147,rsa,0.030831845477223396
sub-10,V1,V6A,train,sub-02,553,82,rsa,0.02362135425209999
sub-10,V1,V7,train,sub-02,553,88,rsa,0.03330380469560623
sub-10,V1,V8,train,sub-02,553,105,rsa,0.06456196308135986
sub-10,V1,FFC,train,sub-02,553,269,rsa,0.028473982587456703
sub-10,V1,PIT,train,sub-02,553,110,rsa,0.032440248876810074
sub-10,V1,IPS1,train,sub-02,553,212,rsa,0.024793069809675217
sub-10,V1,MST,train,sub-02,553,149,rsa,0.034449584782123566
sub-10,V1,MT,train,sub-02,553,99,rsa,0.05009865015745163
sub-10,V1,FST,train,sub-02,553,171,rsa,0.030378736555576324
sub-10,V1,LO1,train,sub-02,553,78,rsa,0.04597022384405136
sub-10,V1,LO2,train,sub-02,553,82,rsa,0.05084444582462311
sub-10,V1,LO3,train,sub-02,553,124,rsa,0.03290708363056183
sub-10,V1,V7,train,sub-02,553,88,rsa,0.03330380469560623
sub-10,V1,IP0,train,sub-02,553,151,rsa,0.02030973508954048
sub-10,V1,IP1,train,sub-02,553,78,rsa,0.010432194918394089
sub-10,V1,MIP,train,sub-02,553,198,rsa,0.011529921554028988
sub-10,V1,VIP,train,sub-02,553,200,rsa,0.016371652483940125
sub-10,V1,LIPd,train,sub-02,553,106,rsa,0.011057138442993164
sub-10,V1,LIPv,train,sub-02,553,239,rsa,0.019128749147057533
sub-10,V1,AIP,train,sub-02,553,381,rsa,0.010311129502952099
sub-10,V1,7Pm,train,sub-02,553,37,rsa,0.013669351115822792
sub-10,V1,7PL,train,sub-02,553,38,rsa,0.006200224626809359
sub-10,V1,7PC,train,sub-02,553,234,rsa,0.010595399886369705
sub-10,V1,7Am,train,sub-02,553,232,rsa,0.008338811807334423
sub-10,V1,7AL,train,sub-02,553,259,rsa,0.007940433919429779
sub-10,V1,VVC,train,sub-02,553,159,rsa,0.030831387266516685
sub-10,V1,VMV2,train,sub-02,553,124,rsa,0.015820076689124107
sub-10,V1,VMV3,train,sub-02,553,113,rsa,0.02252824418246746
sub-10,V1,VMV1,train,sub-02,553,84,rsa,0.02418791502714157
sub-10,V1,PHA2,train,sub-02,553,29,rsa,0.007453931029886007
sub-10,V1,PHA3,train,sub-02,553,147,rsa,0.01070174016058445
sub-10,V1,PH,train,sub-02,553,360,rsa,0.029216941446065903
sub-10,V2,V1,train,sub-02,516,435,rsa,0.17934022843837738
sub-10,V2,V2,train,sub-02,516,567,rsa,0.17805594205856323
sub-10,V2,V3,train,sub-02,516,538,rsa,0.1417039930820465
sub-10,V2,V4,train,sub-02,516,630,rsa,0.10577534884214401
sub-10,V2,V3A,train,sub-02,516,273,rsa,0.06274349242448807
sub-10,V2,V3B,train,sub-02,516,148,rsa,0.05712967365980148
sub-10,V2,V6,train,sub-02,516,147,rsa,0.03667294234037399
sub-10,V2,V6A,train,sub-02,516,82,rsa,0.027007734403014183
sub-10,V2,V7,train,sub-02,516,88,rsa,0.04008028656244278
sub-10,V2,V8,train,sub-02,516,105,rsa,0.07294032722711563
sub-10,V2,FFC,train,sub-02,516,269,rsa,0.026387127116322517
sub-10,V2,PIT,train,sub-02,516,110,rsa,0.027244025841355324
sub-10,V2,IPS1,train,sub-02,516,212,rsa,0.02466920204460621
sub-10,V2,MST,train,sub-02,516,149,rsa,0.03982748091220856
sub-10,V2,MT,train,sub-02,516,99,rsa,0.04096633940935135
sub-10,V2,FST,train,sub-02,516,171,rsa,0.03312956914305687
sub-10,V2,LO1,train,sub-02,516,78,rsa,0.042716607451438904
sub-10,V2,LO2,train,sub-02,516,82,rsa,0.048034630715847015
sub-10,V2,LO3,train,sub-02,516,124,rsa,0.029024062678217888
sub-10,V2,V7,train,sub-02,516,88,rsa,0.04008028656244278
sub-10,V2,IP0,train,sub-02,516,151,rsa,0.022414522245526314
sub-10,V2,IP1,train,sub-02,516,78,rsa,0.011906303465366364
