model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-07,V1,V1,train,sub-08,linear_predictivity,420,560,0.062135678788603765,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14427057783820502,1.0647987593473567,0.8554910222058514,0.9340556091688988
sub-07,V1,V1,test,sub-08,linear_predictivity,420,560,0.13638300408070947,"[0.13787922934604896, 0.13683452538687121, 0.12900190575063705, 0.13904842782256296, 0.13915093209742715]",,,,,
sub-07,V1,V2,train,sub-08,linear_predictivity,420,482,0.08046887781394838,,"[1000.0, 1000.0, 3162.277660168379, 1000.0, 3162.277660168379]",0.20359307820729028,1.0521431251709035,0.7961604622237439,0.9158496141493936
sub-07,V1,V2,test,sub-08,linear_predictivity,420,482,0.1743712428334883,"[0.18227765273043453, 0.18809107257729027, 0.1575428484348995, 0.18747786201625025, 0.15646677840856682]",,,,,
sub-07,V1,V3,train,sub-08,linear_predictivity,420,458,0.04934395147946455,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13042146976774358,1.0817124909727922,0.8693768903017638,0.9473091310630881
sub-07,V1,V3,test,sub-08,linear_predictivity,420,458,0.12133643920660464,"[0.12494075735387476, 0.12362453420556982, 0.11443894605240973, 0.126619625496458, 0.11705833292471086]",,,,,
sub-07,V1,V4,train,sub-08,linear_predictivity,420,604,0.0360099537099216,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11638404721654132,1.089985852499429,0.8834485955650759,0.9610800522493939
sub-07,V1,V4,test,sub-08,linear_predictivity,420,604,0.07558205790926367,"[0.07960865765493255, 0.07150128718421553, 0.07036079630500207, 0.08260146712677562, 0.07383808127539256]",,,,,
sub-07,V1,V3A,train,sub-08,linear_predictivity,420,226,0.013740588333624853,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0]",0.09487654828957945,1.1107517518408865,0.9049143933638929,0.9826487702582953
sub-07,V1,V3A,test,sub-08,linear_predictivity,420,226,0.09143328240069917,"[0.09580172766330391, 0.09526752249321767, 0.09952426475926451, 0.10433703143887794, 0.06223586564883175]",,,,,
sub-07,V1,V3B,train,sub-08,linear_predictivity,420,147,0.022015053567818285,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10360189020359337,1.0992820704904225,0.896234801131091,0.9750691126625565
sub-07,V1,V3B,test,sub-08,linear_predictivity,420,147,0.07994593650208336,"[0.07219888758797173, 0.0848543313111673, 0.08167469101522812, 0.0902402819540859, 0.07076149064196374]",,,,,
sub-07,V1,V6,train,sub-08,linear_predictivity,420,105,-0.0022019761062463676,,"[10000.0, 31622.776601683796, 31622.776601683796, 10000.0, 10000.0]",0.035092695238797524,1.1207575149504172,0.9646723557847292,0.9987985542116637
sub-07,V1,V6,test,sub-08,linear_predictivity,420,105,0.023341653083189674,"[0.025762101764752125, 0.016765036910580466, 0.01635066794315415, 0.028388742584991942, 0.029441716212469684]",,,,,
sub-07,V1,V6A,train,sub-08,linear_predictivity,420,84,0.0072861767471230025,,"[3162.277660168379, 10000.0, 10000.0, 10000.0, 10000.0]",0.06278518668620983,1.1010609502188327,0.9369641683661312,0.9882334405324983
sub-07,V1,V6A,test,sub-08,linear_predictivity,420,84,0.06686648395258196,"[0.08586277885374727, 0.059827016152824854, 0.0603393620124269, 0.07188956001226589, 0.05641370273164494]",,,,,
sub-07,V1,V7,train,sub-08,linear_predictivity,420,78,0.03658120059285451,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1187136198444084,1.0883570722119877,0.8810835483048679,0.9599298865789491
sub-07,V1,V7,test,sub-08,linear_predictivity,420,78,0.07633990456367587,"[0.07695876121199122, 0.07689491595468957, 0.07475748384310799, 0.08886184348493982, 0.06422651832365077]",,,,,
sub-07,V1,V8,train,sub-08,linear_predictivity,420,112,0.03479072446012651,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11184057201730839,1.092790889198929,0.8880498877284593,0.9634199647975988
sub-07,V1,V8,test,sub-08,linear_predictivity,420,112,0.05764887739868095,"[0.06101171917827435, 0.04949765509688304, 0.05929329515630645, 0.06010738052833448, 0.058334337033606486]",,,,,
sub-07,V1,FFC,train,sub-08,linear_predictivity,420,275,0.030849751154103957,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11279912686159221,1.0997148247894342,0.8869581639303512,0.9648955770104255
sub-07,V1,FFC,test,sub-08,linear_predictivity,420,275,0.06950741670317746,"[0.07180424279240864, 0.061308273998793884, 0.06792541041389158, 0.07466157075322677, 0.07183758555756642]",,,,,
sub-07,V1,PIT,train,sub-08,linear_predictivity,420,117,0.025046300187436622,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10798003570366896,1.1015574999089162,0.8918385251741761,0.9718046784061924
sub-07,V1,PIT,test,sub-08,linear_predictivity,420,117,0.06547408525213952,"[0.0713587040065887, 0.05685394852821821, 0.05725075378086729, 0.07119598201058361, 0.07071103793443975]",,,,,
