model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-07,V1,V1,train,sub-08,420,560,rsa,0.07908542454242706
sub-07,V1,V2,train,sub-08,420,482,rsa,0.08564011007547379
sub-07,V1,V3,train,sub-08,420,458,rsa,0.06622148305177689
sub-07,V1,V4,train,sub-08,420,604,rsa,0.04674746096134186
sub-07,V1,V3A,train,sub-08,420,226,rsa,0.032825786620378494
sub-07,V1,V3B,train,sub-08,420,147,rsa,0.03275078162550926
sub-07,V1,V6,train,sub-08,420,105,rsa,0.01932654343545437
sub-07,V1,V6A,train,sub-08,420,84,rsa,0.018995778635144234
sub-07,V1,V7,train,sub-08,420,78,rsa,0.023348558694124222
sub-07,V1,V8,train,sub-08,420,112,rsa,0.03549671173095703
sub-07,V1,FFC,train,sub-08,420,275,rsa,0.03223103657364845
sub-07,V1,PIT,train,sub-08,420,117,rsa,0.02254716493189335
sub-07,V1,IPS1,train,sub-08,420,219,rsa,0.016783077269792557
sub-07,V1,MST,train,sub-08,420,140,rsa,0.021237019449472427
sub-07,V1,MT,train,sub-08,420,99,rsa,0.020878160372376442
sub-07,V1,FST,train,sub-08,420,149,rsa,0.038768552243709564
sub-07,V1,LO1,train,sub-08,420,79,rsa,0.010758618824183941
sub-07,V1,LO2,train,sub-08,420,83,rsa,0.026616817340254784
sub-07,V1,LO3,train,sub-08,420,125,rsa,0.012993646785616875
sub-07,V1,V7,train,sub-08,420,78,rsa,0.023348558694124222
sub-07,V1,IP0,train,sub-08,420,151,rsa,0.014366457238793373
sub-07,V1,IP1,train,sub-08,420,91,rsa,0.0035273937974125147
sub-07,V1,MIP,train,sub-08,420,291,rsa,0.014784040860831738
sub-07,V1,VIP,train,sub-08,420,184,rsa,0.006038470659404993
sub-07,V1,LIPd,train,sub-08,420,77,rsa,0.005593440029770136
sub-07,V1,LIPv,train,sub-08,420,251,rsa,0.015307842753827572
sub-07,V1,AIP,train,sub-08,420,387,rsa,0.005939131136983633
sub-07,V1,7Pm,train,sub-08,420,25,rsa,0.0035184621810913086
sub-07,V1,7PL,train,sub-08,420,91,rsa,0.00491266930475831
sub-07,V1,7PC,train,sub-08,420,231,rsa,0.00767869409173727
sub-07,V1,7Am,train,sub-08,420,136,rsa,0.003862957004457712
sub-07,V1,7AL,train,sub-08,420,234,rsa,0.002428431762382388
sub-07,V1,VVC,train,sub-08,420,199,rsa,0.016110984608530998
sub-07,V1,VMV2,train,sub-08,420,94,rsa,0.007151150144636631
sub-07,V1,VMV3,train,sub-08,420,107,rsa,0.01166466623544693
sub-07,V1,VMV1,train,sub-08,420,44,rsa,0.012600558809936047
sub-07,V1,PHA2,train,sub-08,420,13,rsa,0.0015583509812131524
sub-07,V1,PHA3,train,sub-08,420,55,rsa,0.002447613514959812
