model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-03,V1,V1,train,sub-10,361,553,rsa,0.1626448929309845
sub-03,V1,V2,train,sub-10,361,516,rsa,0.15197084844112396
sub-03,V1,V3,train,sub-10,361,400,rsa,0.16388116776943207
sub-03,V1,V4,train,sub-10,361,574,rsa,0.14500990509986877
sub-03,V1,V3A,train,sub-10,361,85,rsa,0.07295427471399307
sub-03,V1,V3B,train,sub-10,361,99,rsa,0.041326526552438736
sub-03,V1,V6,train,sub-10,361,11,rsa,0.018373439088463783
sub-03,V1,V6A,train,sub-10,361,45,rsa,0.028160974383354187
sub-03,V1,V7,train,sub-10,361,61,rsa,0.02253360114991665
sub-03,V1,V8,train,sub-10,361,96,rsa,0.0734613910317421
sub-03,V1,FFC,train,sub-10,361,244,rsa,0.05680001899600029
sub-03,V1,PIT,train,sub-10,361,100,rsa,0.04715883359313011
sub-03,V1,IPS1,train,sub-10,361,166,rsa,0.011991717852652073
sub-03,V1,MST,train,sub-10,361,135,rsa,0.05363408476114273
sub-03,V1,MT,train,sub-10,361,86,rsa,0.06683759391307831
sub-03,V1,FST,train,sub-10,361,167,rsa,0.023425007238984108
sub-03,V1,LO1,train,sub-10,361,78,rsa,0.05164910852909088
sub-03,V1,LO2,train,sub-10,361,80,rsa,0.040737930685281754
sub-03,V1,LO3,train,sub-10,361,113,rsa,0.041250623762607574
sub-03,V1,V7,train,sub-10,361,61,rsa,0.02253360114991665
sub-03,V1,IP0,train,sub-10,361,103,rsa,0.04408947750926018
sub-03,V1,IP1,train,sub-10,361,33,rsa,0.0007845350191928446
sub-03,V1,MIP,train,sub-10,361,178,rsa,0.010060951113700867
sub-03,V1,VIP,train,sub-10,361,100,rsa,0.013347647152841091
sub-03,V1,LIPd,train,sub-10,361,31,rsa,0.0004654307849705219
sub-03,V1,LIPv,train,sub-10,361,75,rsa,0.013471929356455803
sub-03,V1,AIP,train,sub-10,361,409,rsa,0.003981143701821566
sub-03,V1,7Pm,train,sub-10,361,21,rsa,0.013820798136293888
sub-03,V1,7PL,train,sub-10,361,106,rsa,0.011918765492737293
sub-03,V1,7PC,train,sub-10,361,224,rsa,0.009312071837484837
sub-03,V1,7Am,train,sub-10,361,186,rsa,0.01657760515809059
sub-03,V1,7AL,train,sub-10,361,158,rsa,0.00959952361881733
sub-03,V1,VVC,train,sub-10,361,196,rsa,0.05254124850034714
sub-03,V1,VMV2,train,sub-10,361,94,rsa,0.056721724569797516
sub-03,V1,VMV3,train,sub-10,361,98,rsa,0.038148026913404465
sub-03,V1,VMV1,train,sub-10,361,42,rsa,0.05239316448569298
sub-03,V1,PHA2,train,sub-10,361,21,rsa,0.03308646380901337
sub-03,V1,PHA3,train,sub-10,361,104,rsa,0.047040607780218124
sub-03,V1,PH,train,sub-10,361,261,rsa,0.04902827367186546
sub-03,V2,V1,train,sub-10,525,553,rsa,0.13463309407234192
