model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-05,V1,V1,train,sub-09,linear_predictivity,608,641,0.07843237073825873,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18069057840291894,1.1257068110825552,0.8190962335157058,0.9179317847602446
sub-05,V1,V1,test,sub-09,linear_predictivity,608,641,0.14956088551778934,"[0.15658026569740607, 0.14929335297608978, 0.14336480999220563, 0.1467453678411287, 0.15182063108211652]",,,,,
sub-05,V1,V2,train,sub-09,linear_predictivity,608,754,0.06663657230694818,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17134230232284903,1.1243916271650822,0.8284266898825668,0.9291796948494714
sub-05,V1,V2,test,sub-09,linear_predictivity,608,754,0.12364686793984296,"[0.127541304274049, 0.12993525746604448, 0.11972734255577591, 0.11647867536731221, 0.12455176003603326]",,,,,
sub-05,V1,V3,train,sub-09,linear_predictivity,608,575,0.06714277609588558,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17024579131370388,1.1266139402507729,0.8295518285038395,0.9292140096891423
sub-05,V1,V3,test,sub-09,linear_predictivity,608,575,0.12941026709093567,"[0.13304749533776514, 0.1309150706600207, 0.12333922365848117, 0.12695954925718805, 0.13278999654122334]",,,,,
sub-05,V1,V4,train,sub-09,linear_predictivity,608,616,0.06634040471120187,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16897626911186373,1.1316390765210207,0.8308514494678088,0.9306664304768443
sub-05,V1,V4,test,sub-09,linear_predictivity,608,616,0.1376316770167342,"[0.1436474680409005, 0.1364011726381637, 0.1308369390918499, 0.14135659065814046, 0.13591621465461645]",,,,,
sub-05,V1,V3A,train,sub-09,linear_predictivity,608,270,0.016604277948840604,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.07311807513335103,1.1646556856858319,0.9266044252187093,0.9787545671295609
sub-05,V1,V3A,test,sub-09,linear_predictivity,608,270,0.007901884697564667,"[-0.0004708006514095469, 0.012843160613668633, 0.001919086656080809, 0.013744291347077574, 0.011473685522405866]",,,,,
sub-05,V1,V3B,train,sub-09,linear_predictivity,608,148,0.026395268565903515,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.1242325078890546,1.1506271387276716,0.8752608173098494,0.9702101682863369
sub-05,V1,V3B,test,sub-09,linear_predictivity,608,148,0.08308411411302495,"[0.09666148182871322, 0.08622645069447667, 0.05333888613591208, 0.08812056497453893, 0.09107318693148386]",,,,,
sub-05,V1,V6,train,sub-09,linear_predictivity,608,104,-0.0006049642840315617,,"[31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796, 31622.776601683796]",0.028328127759629767,1.1871571631304474,0.9713837307041937,0.9958469113493269
sub-05,V1,V6,test,sub-09,linear_predictivity,608,104,0.00012542971284707345,"[-0.002906122273075622, 0.003685184046255311, -0.0047327712710779485, 0.0007712627161036551, 0.003809595346029972]",,,,,
sub-05,V1,V6A,train,sub-09,linear_predictivity,608,85,0.019253303073485974,,"[3162.277660168379, 3162.277660168379, 10000.0, 10000.0, 3162.277660168379]",0.1029413325090486,1.165869385700034,0.8963547289768098,0.9769799386965857
sub-05,V1,V6A,test,sub-09,linear_predictivity,608,85,0.04503464211359163,"[0.05369497399510554, 0.05333394657431159, 0.021971455535987894, 0.03618800170769973, 0.05998483275485339]",,,,,
sub-05,V1,V7,train,sub-09,linear_predictivity,608,87,0.01784658318557537,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.11855427197366677,1.1603786259451003,0.8808578648745252,0.9782845872379962
sub-05,V1,V7,test,sub-09,linear_predictivity,608,87,0.034626601310633415,"[0.04968143687079081, 0.03903542058135242, -0.0062553057428616585, 0.04363937531302219, 0.04703207953086332]",,,,,
sub-05,V1,V8,train,sub-09,linear_predictivity,608,101,0.018042862996611744,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.07410597783481701,1.1790601876685423,0.9256893446052434,0.9782729084755284
sub-05,V1,V8,test,sub-09,linear_predictivity,608,101,0.046461273808237544,"[0.046074880904645496, 0.04662488187612431, 0.053690954497932444, 0.04247456709675435, 0.04344108466573117]",,,,,
sub-05,V1,FFC,train,sub-09,linear_predictivity,608,263,0.018867343407853544,,"[3162.277660168379, 10000.0, 10000.0, 10000.0, 3162.277660168379]",0.09866384895100036,1.1716985619019415,0.9010443420691789,0.9775535019240384
sub-05,V1,FFC,test,sub-09,linear_predictivity,608,263,0.06258758103336884,"[0.07400964929596188, 0.05375414953147613, 0.05436290606575524, 0.05441020518150478, 0.07640099509214618]",,,,,
sub-05,V1,PIT,train,sub-09,linear_predictivity,608,123,0.04269412207091406,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14831000773561542,1.1653285617843308,0.8514717519794999,0.9537620551427903
sub-05,V1,PIT,test,sub-09,linear_predictivity,608,123,0.10599501588395446,"[0.11085600990176703, 0.10009148638578208, 0.0987301188751611, 0.10866098377209651, 0.11163648048496556]",,,,,
sub-05,V1,IPS1,train,sub-09,linear_predictivity,608,243,0.004574531525957118,,"[10000.0, 10000.0, 31622.776601683796, 10000.0, 10000.0]",0.05386024447261221,1.1873968063877602,0.9458578338697823,0.9929147756656971
sub-05,V1,IPS1,test,sub-09,linear_predictivity,608,243,0.016141192044279485,"[0.023606484068813962, 0.0194587154014831, -0.002669032414584473, 0.015048502320025636, 0.025261290845659198]",,,,,
sub-05,V1,MST,train,sub-09,linear_predictivity,608,149,0.03846948362670517,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14683327394154266,1.133488389159771,0.8528734206687936,0.9564433738384874
sub-05,V1,MST,test,sub-09,linear_predictivity,608,149,0.08986867586117668,"[0.08881442290204658, 0.09221663479821113, 0.0784221577658011, 0.08940397149206265, 0.10048619234776196]",,,,,
sub-05,V1,MT,train,sub-09,linear_predictivity,608,100,0.04313040572807962,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1505798009880389,1.1452738222896754,0.8491741323542336,0.9528883031634274
