model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-05,V1,V1,train,sub-09,608,641,rsa,0.10012468695640564
sub-05,V1,V2,train,sub-09,608,754,rsa,0.09475924074649811
sub-05,V1,V3,train,sub-09,608,575,rsa,0.08157733827829361
sub-05,V1,V4,train,sub-09,608,616,rsa,0.07165108621120453
sub-05,V1,V3A,train,sub-09,608,270,rsa,0.029675276950001717
sub-05,V1,V3B,train,sub-09,608,148,rsa,0.022650815546512604
sub-05,V1,V6,train,sub-09,608,104,rsa,0.02014990895986557
sub-05,V1,V6A,train,sub-09,608,85,rsa,0.018918253481388092
sub-05,V1,V7,train,sub-09,608,87,rsa,0.019480397924780846
sub-05,V1,V8,train,sub-09,608,101,rsa,0.025413451716303825
sub-05,V1,FFC,train,sub-09,608,263,rsa,0.027716519311070442
sub-05,V1,PIT,train,sub-09,608,123,rsa,0.03015129268169403
sub-05,V1,IPS1,train,sub-09,608,243,rsa,0.014310447499155998
sub-05,V1,MST,train,sub-09,608,149,rsa,0.02929951436817646
sub-05,V1,MT,train,sub-09,608,100,rsa,0.02926144190132618
sub-05,V1,FST,train,sub-09,608,156,rsa,0.013042864389717579
sub-05,V1,LO1,train,sub-09,608,79,rsa,0.022844335064291954
sub-05,V1,LO2,train,sub-09,608,80,rsa,0.014989828690886497
sub-05,V1,LO3,train,sub-09,608,125,rsa,0.02899322099983692
sub-05,V1,V7,train,sub-09,608,87,rsa,0.019480397924780846
sub-05,V1,IP0,train,sub-09,608,198,rsa,0.021657198667526245
sub-05,V1,IP1,train,sub-09,608,114,rsa,0.005848602391779423
sub-05,V1,MIP,train,sub-09,608,280,rsa,0.0175502747297287
sub-05,V1,VIP,train,sub-09,608,180,rsa,0.009500829502940178
sub-05,V1,LIPd,train,sub-09,608,69,rsa,0.00728436466306448
sub-05,V1,LIPv,train,sub-09,608,239,rsa,0.015690535306930542
sub-05,V1,AIP,train,sub-09,608,275,rsa,0.0036296662874519825
sub-05,V1,7Pm,train,sub-09,608,17,rsa,0.0023744534701108932
sub-05,V1,7PL,train,sub-09,608,133,rsa,0.011806895956397057
sub-05,V1,7PC,train,sub-09,608,315,rsa,0.005773724056780338
sub-05,V1,7Am,train,sub-09,608,228,rsa,0.014158722013235092
sub-05,V1,7AL,train,sub-09,608,178,rsa,0.0032013512682169676
sub-05,V1,VVC,train,sub-09,608,151,rsa,0.022148599848151207
sub-05,V1,VMV2,train,sub-09,608,119,rsa,0.025560157373547554
sub-05,V1,VMV3,train,sub-09,608,109,rsa,0.02022072672843933
sub-05,V1,VMV1,train,sub-09,608,96,rsa,0.020045651122927666
sub-05,V1,PHA2,train,sub-09,608,17,rsa,0.00404686015099287
sub-05,V1,PHA3,train,sub-09,608,104,rsa,0.01273948885500431
sub-05,V1,PH,train,sub-09,608,258,rsa,0.01679084077477455
sub-05,V2,V1,train,sub-09,559,641,rsa,0.09449120610952377
sub-05,V2,V2,train,sub-09,559,754,rsa,0.11225605756044388
sub-05,V2,V3,train,sub-09,559,575,rsa,0.08590646833181381
sub-05,V2,V4,train,sub-09,559,616,rsa,0.08680398762226105
sub-05,V2,V3A,train,sub-09,559,270,rsa,0.042878031730651855
sub-05,V2,V3B,train,sub-09,559,148,rsa,0.030944278463721275
sub-05,V2,V6,train,sub-09,559,104,rsa,0.03444303944706917
sub-05,V2,V6A,train,sub-09,559,85,rsa,0.027762699872255325
sub-05,V2,V7,train,sub-09,559,87,rsa,0.028003523126244545
sub-05,V2,V8,train,sub-09,559,101,rsa,0.032546915113925934
sub-05,V2,FFC,train,sub-09,559,263,rsa,0.03979288041591644
sub-05,V2,PIT,train,sub-09,559,123,rsa,0.04096010699868202
sub-05,V2,IPS1,train,sub-09,559,243,rsa,0.020974071696400642
sub-05,V2,MST,train,sub-09,559,149,rsa,0.04722681641578674
sub-05,V2,MT,train,sub-09,559,100,rsa,0.0462854765355587
sub-05,V2,FST,train,sub-09,559,156,rsa,0.021181415766477585
sub-05,V2,LO1,train,sub-09,559,79,rsa,0.0329846516251564
sub-05,V2,LO2,train,sub-09,559,80,rsa,0.021286066621541977
sub-05,V2,LO3,train,sub-09,559,125,rsa,0.04050009697675705
sub-05,V2,V7,train,sub-09,559,87,rsa,0.028003523126244545
sub-05,V2,IP0,train,sub-09,559,198,rsa,0.027723077684640884
sub-05,V2,IP1,train,sub-09,559,114,rsa,0.007128695957362652
sub-05,V2,MIP,train,sub-09,559,280,rsa,0.023547695949673653
sub-05,V2,VIP,train,sub-09,559,180,rsa,0.015393741428852081
sub-05,V2,LIPd,train,sub-09,559,69,rsa,0.010801486670970917
sub-05,V2,LIPv,train,sub-09,559,239,rsa,0.02164223976433277
