model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-02,V1,V1,train,sub-08,435,560,rsa,0.16004937887191772
sub-02,V1,V2,train,sub-08,435,482,rsa,0.16822309792041779
sub-02,V1,V3,train,sub-08,435,458,rsa,0.11646059155464172
sub-02,V1,V4,train,sub-08,435,604,rsa,0.09093214571475983
sub-02,V1,V3A,train,sub-08,435,226,rsa,0.05542079359292984
sub-02,V1,V3B,train,sub-08,435,147,rsa,0.04154331982135773
sub-02,V1,V6,train,sub-08,435,105,rsa,0.02424479089677334
sub-02,V1,V6A,train,sub-08,435,84,rsa,0.02998010441660881
sub-02,V1,V7,train,sub-08,435,78,rsa,0.03174428641796112
sub-02,V1,V8,train,sub-08,435,112,rsa,0.04597926139831543
sub-02,V1,FFC,train,sub-08,435,275,rsa,0.037924136966466904
sub-02,V1,PIT,train,sub-08,435,117,rsa,0.024696635082364082
sub-02,V1,IPS1,train,sub-08,435,219,rsa,0.02053086645901203
sub-02,V1,MST,train,sub-08,435,140,rsa,0.03243791684508324
sub-02,V1,MT,train,sub-08,435,99,rsa,0.02965925820171833
sub-02,V1,FST,train,sub-08,435,149,rsa,0.03611711040139198
sub-02,V1,LO1,train,sub-08,435,79,rsa,0.024175073951482773
sub-02,V1,LO2,train,sub-08,435,83,rsa,0.04056449234485626
sub-02,V1,LO3,train,sub-08,435,125,rsa,0.025376053526997566
sub-02,V1,V7,train,sub-08,435,78,rsa,0.03174428641796112
sub-02,V1,IP0,train,sub-08,435,151,rsa,0.017097873613238335
sub-02,V1,IP1,train,sub-08,435,91,rsa,0.005252642557024956
sub-02,V1,MIP,train,sub-08,435,291,rsa,0.01761208288371563
sub-02,V1,VIP,train,sub-08,435,184,rsa,0.009597877971827984
sub-02,V1,LIPd,train,sub-08,435,77,rsa,0.006057337857782841
sub-02,V1,LIPv,train,sub-08,435,251,rsa,0.009861244820058346
sub-02,V1,AIP,train,sub-08,435,387,rsa,0.004800649359822273
sub-02,V1,7Pm,train,sub-08,435,25,rsa,0.004607008304446936
sub-02,V1,7PL,train,sub-08,435,91,rsa,0.008319542743265629
sub-02,V1,7PC,train,sub-08,435,231,rsa,0.0071642398834228516
sub-02,V1,7Am,train,sub-08,435,136,rsa,0.005150222219526768
sub-02,V1,7AL,train,sub-08,435,234,rsa,0.0034163654781877995
sub-02,V1,VVC,train,sub-08,435,199,rsa,0.022107992321252823
