model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-01,V1,V1,train,sub-02,linear_predictivity,1221,435,0.10965527881099382,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2717893210364076,1.2518740384491094,0.7280166973650234,0.8865999328518026
sub-01,V1,V1,test,sub-02,linear_predictivity,1221,435,0.22170956803928338,"[0.21844558501150158, 0.2225136315644163, 0.23244529352125803, 0.21826410211863184, 0.2168792279806091]",,,,,
sub-01,V1,V2,train,sub-02,linear_predictivity,1221,567,0.07984911434503515,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.25137052472881066,1.2765318661810974,0.7484047882876121,0.9155543544712275
sub-01,V1,V2,test,sub-02,linear_predictivity,1221,567,0.1488969317517441,"[0.14820370658036902, 0.15143844185050281, 0.15610994986980573, 0.14316388011006415, 0.14556868034797887]",,,,,
sub-01,V1,V3,train,sub-02,linear_predictivity,1221,538,0.06508566301995077,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23968224320972314,1.2845232818874197,0.7601038346613123,0.9305891718594925
sub-01,V1,V3,test,sub-02,linear_predictivity,1221,538,0.16730442838862356,"[0.1706194843805077, 0.16622702964967018, 0.17073014810612064, 0.1561705731158301, 0.17277490669098924]",,,,,
sub-01,V1,V4,train,sub-02,linear_predictivity,1221,630,0.06200206363806541,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23721533033024383,1.2687309009190264,0.7625922465202074,0.9340287147224992
sub-01,V1,V4,test,sub-02,linear_predictivity,1221,630,0.17538338436152717,"[0.17989054744356997, 0.17884460601471364, 0.1739491072506276, 0.15707338574681487, 0.1871592753519099]",,,,,
sub-01,V1,V3A,train,sub-02,linear_predictivity,1221,273,0.046089447147515755,,"[10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20692904814401686,1.2824953094890623,0.7926375618044966,0.9481424623739585
sub-01,V1,V3A,test,sub-02,linear_predictivity,1221,273,0.12827625370873857,"[0.10745633071507882, 0.13858827041779526, 0.12948708532039702, 0.130443374289465, 0.13540620780095694]",,,,,
sub-01,V1,V3B,train,sub-02,linear_predictivity,1221,148,0.05485920563080916,,"[3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.21238230790722895,1.2919974730372488,0.7876107583236317,0.9415517134812943
sub-01,V1,V3B,test,sub-02,linear_predictivity,1221,148,0.14625002150025587,"[0.1610505419453999, 0.10438757636418076, 0.14997147101365724, 0.14649669278260455, 0.16934382539543685]",,,,,
sub-01,V1,V6,train,sub-02,linear_predictivity,1221,147,0.028574260485695353,,"[10000.0, 10000.0, 3162.277660168379, 3162.277660168379, 10000.0]",0.15827170237140264,1.3424209318211013,0.8414829915092394,0.9661233955437959
sub-01,V1,V6,test,sub-02,linear_predictivity,1221,147,0.09818764111806526,"[0.09225778813054045, 0.08418940626392299, 0.12060103987921003, 0.10999725065683251, 0.08389272065982031]",,,,,
sub-01,V1,V6A,train,sub-02,linear_predictivity,1221,82,0.044509541331177516,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.13154150096902273,1.315731913919602,0.8681307137993407,0.9501501171284182
sub-01,V1,V6A,test,sub-02,linear_predictivity,1221,82,0.1572711335614466,"[0.1600871950036076, 0.16566672968145751, 0.15296158675245877, 0.14652104247783437, 0.1611191138918747]",,,,,
sub-01,V1,V7,train,sub-02,linear_predictivity,1221,88,0.06593607952301793,,"[10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.2230322089569902,1.2690469489217846,0.7762334563845933,0.9285238893919503
sub-01,V1,V7,test,sub-02,linear_predictivity,1221,88,0.20048282213732582,"[0.1632660153047218, 0.2198702485355879, 0.20772344381521107, 0.19188732350260598, 0.21966707952850237]",,,,,
sub-01,V1,V8,train,sub-02,linear_predictivity,1221,105,0.03867879351774936,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.20311565277950755,1.288057417760937,0.7966515779144032,0.9560220795066344
sub-01,V1,V8,test,sub-02,linear_predictivity,1221,105,0.10775730585812981,"[0.10843130014484859, 0.11588461145509847, 0.09911409823302178, 0.09320001086020778, 0.12215650859747244]",,,,,
sub-01,V1,FFC,train,sub-02,linear_predictivity,1221,269,0.018606870786878733,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.1098699202760518,1.3482518637028735,0.889863871247007,0.9768856713067391
sub-01,V1,FFC,test,sub-02,linear_predictivity,1221,269,0.06814739410188915,"[0.0744560900083864, 0.06511176202230995, 0.06655871432931966, 0.06461761983890608, 0.06999278431052366]",,,,,
sub-01,V1,PIT,train,sub-02,linear_predictivity,1221,110,0.03597890338768255,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.12016199797787966,1.356132856080635,0.8795923503756315,0.9599107970236449
sub-01,V1,PIT,test,sub-02,linear_predictivity,1221,110,0.10195213421947691,"[0.10454236787980595, 0.09865545957899581, 0.10292355977060862, 0.0985173674257039, 0.10512191644227022]",,,,,
sub-01,V1,IPS1,train,sub-02,linear_predictivity,1221,212,0.02853198579116694,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.12045035523060252,1.3484209846855555,0.8792188429422849,0.9660025433838729
sub-01,V1,IPS1,test,sub-02,linear_predictivity,1221,212,0.12920119142699685,"[0.13365240785874716, 0.12854921627251245, 0.12789240428101964, 0.1263116299674191, 0.12960029875528586]",,,,,
sub-01,V1,MST,train,sub-02,linear_predictivity,1221,149,0.03458249562369443,,"[10000.0, 10000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18018954584791808,1.319225381650732,0.8194384534210133,0.9607751885898853
sub-01,V1,MST,test,sub-02,linear_predictivity,1221,149,0.0818087104293578,"[0.07321429683039345, 0.06771961111591465, 0.09308222805400401, 0.09217865480058361, 0.08284876134589322]",,,,,
sub-01,V1,MT,train,sub-02,linear_predictivity,1221,99,0.039072785467347784,,"[10000.0, 10000.0, 3162.277660168379, 3162.277660168379, 10000.0]",0.1652234908529095,1.3091160271185003,0.8345012665160698,0.9562423782247682
sub-01,V1,MT,test,sub-02,linear_predictivity,1221,99,0.07037469305043925,"[0.06934840308776266, 0.06186992864601605, 0.0819333649602573, 0.08107172372429212, 0.057650044833868104]",,,,,
