model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-01,V1,V1,train,sub-02,1221,435,rsa,0.0960124209523201
sub-01,V1,V2,train,sub-02,1221,567,rsa,0.09267091006040573
sub-01,V1,V3,train,sub-02,1221,538,rsa,0.06334667652845383
sub-01,V1,V4,train,sub-02,1221,630,rsa,0.056555744260549545
sub-01,V1,V3A,train,sub-02,1221,273,rsa,0.03800978139042854
sub-01,V1,V3B,train,sub-02,1221,148,rsa,0.036755140870809555
sub-01,V1,V6,train,sub-02,1221,147,rsa,0.03339407593011856
sub-01,V1,V6A,train,sub-02,1221,82,rsa,0.017235033214092255
sub-01,V1,V7,train,sub-02,1221,88,rsa,0.028543276712298393
sub-01,V1,V8,train,sub-02,1221,105,rsa,0.03864927217364311
sub-01,V1,FFC,train,sub-02,1221,269,rsa,0.013687356375157833
sub-01,V1,PIT,train,sub-02,1221,110,rsa,0.014684035442769527
sub-01,V1,IPS1,train,sub-02,1221,212,rsa,0.024115556851029396
sub-01,V1,MST,train,sub-02,1221,149,rsa,0.023862382397055626
sub-01,V1,MT,train,sub-02,1221,99,rsa,0.027309149503707886
sub-01,V1,FST,train,sub-02,1221,171,rsa,0.018826639279723167
sub-01,V1,LO1,train,sub-02,1221,78,rsa,0.025683579966425896
sub-01,V1,LO2,train,sub-02,1221,82,rsa,0.030401062220335007
sub-01,V1,LO3,train,sub-02,1221,124,rsa,0.019128039479255676
sub-01,V1,V7,train,sub-02,1221,88,rsa,0.028543276712298393
sub-01,V1,IP0,train,sub-02,1221,151,rsa,0.01883348636329174
sub-01,V1,IP1,train,sub-02,1221,78,rsa,0.010818605311214924
sub-01,V1,MIP,train,sub-02,1221,198,rsa,0.012510946951806545
sub-01,V1,VIP,train,sub-02,1221,200,rsa,0.015516158193349838
sub-01,V1,LIPd,train,sub-02,1221,106,rsa,0.01212967187166214
sub-01,V1,LIPv,train,sub-02,1221,239,rsa,0.009975489228963852
sub-01,V1,AIP,train,sub-02,1221,381,rsa,0.009500953368842602
sub-01,V1,7Pm,train,sub-02,1221,37,rsa,0.008661208674311638
sub-01,V1,7PL,train,sub-02,1221,38,rsa,0.006474725436419249
sub-01,V1,7PC,train,sub-02,1221,234,rsa,0.007805804722011089
sub-01,V1,7Am,train,sub-02,1221,232,rsa,0.010737552307546139
sub-01,V1,7AL,train,sub-02,1221,259,rsa,0.013123728334903717
sub-01,V1,VVC,train,sub-02,1221,159,rsa,0.025805657729506493
sub-01,V1,VMV2,train,sub-02,1221,124,rsa,0.01754174567759037
sub-01,V1,VMV3,train,sub-02,1221,113,rsa,0.023658564314246178
sub-01,V1,VMV1,train,sub-02,1221,84,rsa,0.021868756040930748
sub-01,V1,PHA2,train,sub-02,1221,29,rsa,0.008521703071892262
sub-01,V1,PHA3,train,sub-02,1221,147,rsa,0.012719775550067425
sub-01,V1,PH,train,sub-02,1221,360,rsa,0.022379690781235695
sub-01,V2,V1,train,sub-02,925,435,rsa,0.11366676539182663
sub-01,V2,V2,train,sub-02,925,567,rsa,0.12638933956623077
sub-01,V2,V3,train,sub-02,925,538,rsa,0.09435852617025375
sub-01,V2,V4,train,sub-02,925,630,rsa,0.0768270492553711
sub-01,V2,V3A,train,sub-02,925,273,rsa,0.043622858822345734
sub-01,V2,V3B,train,sub-02,925,148,rsa,0.04467260092496872
sub-01,V2,V6,train,sub-02,925,147,rsa,0.04077678546309471
sub-01,V2,V6A,train,sub-02,925,82,rsa,0.02419566549360752
sub-01,V2,V7,train,sub-02,925,88,rsa,0.03764353320002556
sub-01,V2,V8,train,sub-02,925,105,rsa,0.05272464454174042
sub-01,V2,FFC,train,sub-02,925,269,rsa,0.02387138269841671
sub-01,V2,PIT,train,sub-02,925,110,rsa,0.0232941173017025
sub-01,V2,IPS1,train,sub-02,925,212,rsa,0.037159062922000885
sub-01,V2,MST,train,sub-02,925,149,rsa,0.029504800215363503
sub-01,V2,MT,train,sub-02,925,99,rsa,0.03761538863182068
sub-01,V2,FST,train,sub-02,925,171,rsa,0.027313878759741783
sub-01,V2,LO1,train,sub-02,925,78,rsa,0.03197483345866203
sub-01,V2,LO2,train,sub-02,925,82,rsa,0.04517034441232681
sub-01,V2,LO3,train,sub-02,925,124,rsa,0.029574401676654816
sub-01,V2,V7,train,sub-02,925,88,rsa,0.03764353320002556
sub-01,V2,IP0,train,sub-02,925,151,rsa,0.027034500613808632
sub-01,V2,IP1,train,sub-02,925,78,rsa,0.012906132265925407
sub-01,V2,MIP,train,sub-02,925,198,rsa,0.016155648976564407
sub-01,V2,VIP,train,sub-02,925,200,rsa,0.024092864245176315
sub-01,V2,LIPd,train,sub-02,925,106,rsa,0.015584706328809261
sub-01,V2,LIPv,train,sub-02,925,239,rsa,0.019207749515771866
sub-01,V2,AIP,train,sub-02,925,381,rsa,0.010720808990299702
sub-01,V2,7Pm,train,sub-02,925,37,rsa,0.014488181099295616
sub-01,V2,7PL,train,sub-02,925,38,rsa,0.007952610962092876
sub-01,V2,7PC,train,sub-02,925,234,rsa,0.008793785236775875
sub-01,V2,7Am,train,sub-02,925,232,rsa,0.01455653551965952
sub-01,V2,7AL,train,sub-02,925,259,rsa,0.013379011303186417
sub-01,V2,VVC,train,sub-02,925,159,rsa,0.036403000354766846
