model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-02,V1,V1,train,sub-05,435,608,rsa,0.13361603021621704
sub-02,V1,V2,train,sub-05,435,559,rsa,0.11897243559360504
sub-02,V1,V3,train,sub-05,435,451,rsa,0.10521171987056732
sub-02,V1,V4,train,sub-05,435,564,rsa,0.1025879755616188
sub-02,V1,V3A,train,sub-05,435,224,rsa,0.03362288698554039
sub-02,V1,V3B,train,sub-05,435,136,rsa,0.038573671132326126
sub-02,V1,V6,train,sub-05,435,115,rsa,0.020046424120664597
sub-02,V1,V6A,train,sub-05,435,85,rsa,0.018894407898187637
sub-02,V1,V7,train,sub-05,435,83,rsa,0.022803394123911858
sub-02,V1,V8,train,sub-05,435,110,rsa,0.05414250120520592
sub-02,V1,FFC,train,sub-05,435,263,rsa,0.032542575150728226
sub-02,V1,PIT,train,sub-05,435,107,rsa,0.032119713723659515
sub-02,V1,IPS1,train,sub-05,435,236,rsa,0.025792930275201797
sub-02,V1,MST,train,sub-05,435,144,rsa,0.03243185579776764
sub-02,V1,MT,train,sub-05,435,100,rsa,0.036845479160547256
sub-02,V1,FST,train,sub-05,435,172,rsa,0.03257889673113823
sub-02,V1,LO1,train,sub-05,435,80,rsa,0.05340985953807831
sub-02,V1,LO2,train,sub-05,435,61,rsa,0.0317961610853672
sub-02,V1,LO3,train,sub-05,435,123,rsa,0.03698354214429855
sub-02,V1,V7,train,sub-05,435,83,rsa,0.022803394123911858
sub-02,V1,IP0,train,sub-05,435,192,rsa,0.03003651276230812
sub-02,V1,IP1,train,sub-05,435,46,rsa,0.0033106820192188025
sub-02,V1,MIP,train,sub-05,435,256,rsa,0.011674806475639343
sub-02,V1,VIP,train,sub-05,435,189,rsa,0.006389119662344456
sub-02,V1,LIPd,train,sub-05,435,38,rsa,0.008163760416209698
sub-02,V1,LIPv,train,sub-05,435,208,rsa,0.011236817575991154
sub-02,V1,AIP,train,sub-05,435,260,rsa,0.0018934523686766624
sub-02,V1,7Pm,train,sub-05,435,7,rsa,0.0028170838486403227
sub-02,V1,7PL,train,sub-05,435,91,rsa,0.0054316651076078415
sub-02,V1,7PC,train,sub-05,435,184,rsa,0.003090274753049016
sub-02,V1,7Am,train,sub-05,435,120,rsa,0.007629751227796078
sub-02,V1,7AL,train,sub-05,435,235,rsa,0.0030330137815326452
sub-02,V1,VVC,train,sub-05,435,174,rsa,0.022580500692129135
sub-02,V1,VMV2,train,sub-05,435,117,rsa,0.03389936685562134
sub-02,V1,VMV3,train,sub-05,435,106,rsa,0.03372448310256004
sub-02,V1,VMV1,train,sub-05,435,43,rsa,0.01793420873582363
sub-02,V1,PHA2,train,sub-05,435,50,rsa,0.00860509742051363
sub-02,V1,PHA3,train,sub-05,435,147,rsa,0.017644289880990982
sub-02,V1,PH,train,sub-05,435,359,rsa,0.04154614359140396
sub-02,V2,V1,train,sub-05,567,608,rsa,0.12110061943531036
sub-02,V2,V2,train,sub-05,567,559,rsa,0.12576986849308014
sub-02,V2,V3,train,sub-05,567,451,rsa,0.10969552397727966
sub-02,V2,V4,train,sub-05,567,564,rsa,0.1014217957854271
sub-02,V2,V3A,train,sub-05,567,224,rsa,0.04725498706102371
sub-02,V2,V3B,train,sub-05,567,136,rsa,0.052333492785692215
sub-02,V2,V6,train,sub-05,567,115,rsa,0.025770574808120728
sub-02,V2,V6A,train,sub-05,567,85,rsa,0.030727237462997437
sub-02,V2,V7,train,sub-05,567,83,rsa,0.03714710474014282
sub-02,V2,V8,train,sub-05,567,110,rsa,0.07158095389604568
sub-02,V2,FFC,train,sub-05,567,263,rsa,0.04184769093990326
sub-02,V2,PIT,train,sub-05,567,107,rsa,0.04103752598166466
sub-02,V2,IPS1,train,sub-05,567,236,rsa,0.03432363644242287
sub-02,V2,MST,train,sub-05,567,144,rsa,0.04153919965028763
sub-02,V2,MT,train,sub-05,567,100,rsa,0.049418456852436066
sub-02,V2,FST,train,sub-05,567,172,rsa,0.04025370627641678
sub-02,V2,LO1,train,sub-05,567,80,rsa,0.051845453679561615
sub-02,V2,LO2,train,sub-05,567,61,rsa,0.02889622002840042
sub-02,V2,LO3,train,sub-05,567,123,rsa,0.03720910847187042
sub-02,V2,V7,train,sub-05,567,83,rsa,0.03714710474014282
sub-02,V2,IP0,train,sub-05,567,192,rsa,0.03284410014748573
sub-02,V2,IP1,train,sub-05,567,46,rsa,0.007961731404066086
sub-02,V2,MIP,train,sub-05,567,256,rsa,0.012184547260403633
sub-02,V2,VIP,train,sub-05,567,189,rsa,0.010380029678344727
sub-02,V2,LIPd,train,sub-05,567,38,rsa,0.009868540801107883
sub-02,V2,LIPv,train,sub-05,567,208,rsa,0.011019276455044746
sub-02,V2,AIP,train,sub-05,567,260,rsa,0.003279964905232191
sub-02,V2,7Pm,train,sub-05,567,7,rsa,0.0039932606741786
sub-02,V2,7PL,train,sub-05,567,91,rsa,0.009226948022842407
sub-02,V2,7PC,train,sub-05,567,184,rsa,0.005191197153180838
sub-02,V2,7Am,train,sub-05,567,120,rsa,0.015945611521601677
sub-02,V2,7AL,train,sub-05,567,235,rsa,0.004535171203315258
sub-02,V2,VVC,train,sub-05,567,174,rsa,0.03281845524907112
sub-02,V2,VMV2,train,sub-05,567,117,rsa,0.046477437019348145
sub-02,V2,VMV3,train,sub-05,567,106,rsa,0.051593463867902756
sub-02,V2,VMV1,train,sub-05,567,43,rsa,0.026684734970331192
sub-02,V2,PHA2,train,sub-05,567,50,rsa,0.008543958887457848
sub-02,V2,PHA3,train,sub-05,567,147,rsa,0.01720365881919861
sub-02,V2,PH,train,sub-05,567,359,rsa,0.04680044949054718
sub-02,V3,V1,train,sub-05,538,608,rsa,0.0845627561211586
sub-02,V3,V2,train,sub-05,538,559,rsa,0.09773515164852142
sub-02,V3,V3,train,sub-05,538,451,rsa,0.08737734705209732
