model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-07,V1,V1,train,sub-04,linear_predictivity,420,523,0.09949092595693484,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.24769251873100112,1.0380403926881636,0.7519943967077511,0.8943646709000582
sub-07,V1,V1,test,sub-04,linear_predictivity,420,523,0.19961702430882278,"[0.1970400593454222, 0.19838571798406987, 0.19455864146041024, 0.2045571507283288, 0.20354355202588273]",,,,,
sub-07,V1,V2,train,sub-04,linear_predictivity,420,638,0.07242053345488453,,"[1000.0, 3162.277660168379, 1000.0, 3162.277660168379, 3162.277660168379]",0.18315771999970148,1.0537657172094064,0.816500017251518,0.9228747367505588
sub-07,V1,V2,test,sub-04,linear_predictivity,420,638,0.13534619379558724,"[0.15272117566574386, 0.12245936972137918, 0.1506737311453942, 0.12196304449413779, 0.1289136479512811]",,,,,
sub-07,V1,V3,train,sub-04,linear_predictivity,420,520,0.10087932496529849,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.2483786723531937,1.0353191460338464,0.7513360778234974,0.893491046535541
sub-07,V1,V3,test,sub-04,linear_predictivity,420,520,0.20694433007201543,"[0.20991801005218147, 0.20194613308761436, 0.20748059168624455, 0.20459051575312487, 0.21078639978091185]",,,,,
sub-07,V1,V4,train,sub-04,linear_predictivity,420,610,0.08874269059839156,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.23979129591882403,1.042313822531736,0.7599122724989098,0.9054460470233889
sub-07,V1,V4,test,sub-04,linear_predictivity,420,610,0.23224376352454595,"[0.23910753407291924, 0.23845069539869843, 0.2339440258029193, 0.22263054667670248, 0.22708601567149053]",,,,,
sub-07,V1,V3A,train,sub-04,linear_predictivity,420,232,0.038573311480454224,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11976243147716267,1.0903881746091866,0.8799868564820083,0.9571236269642751
sub-07,V1,V3A,test,sub-04,linear_predictivity,420,232,0.06608680344904579,"[0.07085417694830091, 0.060529962306226585, 0.06970303536223972, 0.05823549824962546, 0.07111134437883622]",,,,,
sub-07,V1,V3B,train,sub-04,linear_predictivity,420,150,0.03113156543658999,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11378413956390403,1.0863018658516914,0.8860373001304348,0.9657343468482849
sub-07,V1,V3B,test,sub-04,linear_predictivity,420,150,0.06992999423936888,"[0.07716787255587984, 0.06745290475947187, 0.0687343771006986, 0.061219500931068066, 0.07507531584972604]",,,,,
sub-07,V1,V6,train,sub-04,linear_predictivity,420,58,0.0033123610694568853,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.04392855075840853,1.1136132370669,0.9558880755616175,0.9935827725541062
sub-07,V1,V6,test,sub-04,linear_predictivity,420,58,-0.023267193822262795,"[-0.0258400191631764, -0.031567252789225765, -0.018243554592497664, -0.023941310597512967, -0.016743831968901186]",,,,,
sub-07,V1,V6A,train,sub-04,linear_predictivity,420,38,0.009038082103643721,,"[10000.0, 3162.277660168379, 10000.0, 10000.0, 10000.0]",0.06017453062173574,1.1083076162778833,0.9396110114096812,0.9880453320480473
sub-07,V1,V6A,test,sub-04,linear_predictivity,420,38,0.043307178887138094,"[0.04175856639976912, 0.059751364575739076, 0.04073226826765873, 0.03639246994840181, 0.0379012252441217]",,,,,
sub-07,V1,V7,train,sub-04,linear_predictivity,420,77,0.023522001429807878,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10870257846379743,1.094171923805851,0.8910527383593351,0.9721385159511122
sub-07,V1,V7,test,sub-04,linear_predictivity,420,77,0.06534599235530764,"[0.0675098027774695, 0.06753447826132952, 0.07092242612779585, 0.05565278769319598, 0.06511046691674734]",,,,,
sub-07,V1,V8,train,sub-04,linear_predictivity,420,111,0.05963842305965163,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14504431895269196,1.0673883422443229,0.8547144412071745,0.9361908732011571
