model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-07,V1,V1,train,sub-04,420,523,rsa,0.10537629574537277
sub-07,V1,V2,train,sub-04,420,638,rsa,0.09019647538661957
sub-07,V1,V3,train,sub-04,420,520,rsa,0.08357246965169907
sub-07,V1,V4,train,sub-04,420,610,rsa,0.07944291085004807
sub-07,V1,V3A,train,sub-04,420,232,rsa,0.026839107275009155
sub-07,V1,V3B,train,sub-04,420,150,rsa,0.030261917039752007
sub-07,V1,V6,train,sub-04,420,58,rsa,0.010069428943097591
sub-07,V1,V6A,train,sub-04,420,38,rsa,0.017575742676854134
sub-07,V1,V7,train,sub-04,420,77,rsa,0.025331072509288788
sub-07,V1,V8,train,sub-04,420,111,rsa,0.047858595848083496
sub-07,V1,FFC,train,sub-04,420,312,rsa,0.03950946778059006
sub-07,V1,PIT,train,sub-04,420,118,rsa,0.0380738228559494
sub-07,V1,IPS1,train,sub-04,420,232,rsa,0.02795109711587429
sub-07,V1,MST,train,sub-04,420,142,rsa,0.044425226747989655
sub-07,V1,MT,train,sub-04,420,100,rsa,0.03018398955464363
sub-07,V1,FST,train,sub-04,420,175,rsa,0.05059301108121872
sub-07,V1,LO1,train,sub-04,420,80,rsa,0.03123553656041622
sub-07,V1,LO2,train,sub-04,420,83,rsa,0.03791952133178711
sub-07,V1,LO3,train,sub-04,420,118,rsa,0.03702900558710098
sub-07,V1,V7,train,sub-04,420,77,rsa,0.025331072509288788
sub-07,V1,IP0,train,sub-04,420,196,rsa,0.0365067720413208
sub-07,V1,IP1,train,sub-04,420,49,rsa,0.010896875523030758
sub-07,V1,MIP,train,sub-04,420,237,rsa,0.015287513844668865
sub-07,V1,VIP,train,sub-04,420,198,rsa,0.020113438367843628
sub-07,V1,LIPd,train,sub-04,420,28,rsa,0.0034388937056064606
sub-07,V1,LIPv,train,sub-04,420,149,rsa,0.015312020666897297
sub-07,V1,AIP,train,sub-04,420,221,rsa,0.0051020788960158825
sub-07,V1,7Pm,train,sub-04,420,39,rsa,0.006910677999258041
sub-07,V1,7PL,train,sub-04,420,104,rsa,0.013475744985044003
sub-07,V1,7PC,train,sub-04,420,260,rsa,0.013757940381765366
sub-07,V1,7Am,train,sub-04,420,207,rsa,0.0060953604988753796
sub-07,V1,7AL,train,sub-04,420,180,rsa,0.004944611340761185
sub-07,V1,VVC,train,sub-04,420,170,rsa,0.0329807884991169
sub-07,V1,VMV2,train,sub-04,420,115,rsa,0.007939418777823448
sub-07,V1,VMV3,train,sub-04,420,115,rsa,0.01916745863854885
sub-07,V1,VMV1,train,sub-04,420,53,rsa,0.019030405208468437
sub-07,V1,PHA2,train,sub-04,420,11,rsa,0.013222211971879005
sub-07,V1,PHA3,train,sub-04,420,87,rsa,0.008657477796077728
sub-07,V1,PH,train,sub-04,420,340,rsa,0.03016858734190464
sub-07,V2,V1,train,sub-04,470,523,rsa,0.11742842197418213
sub-07,V2,V2,train,sub-04,470,638,rsa,0.12890923023223877
sub-07,V2,V3,train,sub-04,470,520,rsa,0.10580679774284363
sub-07,V2,V4,train,sub-04,470,610,rsa,0.0862068384885788
sub-07,V2,V3A,train,sub-04,470,232,rsa,0.05253550410270691
sub-07,V2,V3B,train,sub-04,470,150,rsa,0.02738260105252266
sub-07,V2,V6,train,sub-04,470,58,rsa,0.014372908510267735
sub-07,V2,V6A,train,sub-04,470,38,rsa,0.02244419977068901
sub-07,V2,V7,train,sub-04,470,77,rsa,0.03250732272863388
sub-07,V2,V8,train,sub-04,470,111,rsa,0.054157279431819916
sub-07,V2,FFC,train,sub-04,470,312,rsa,0.04598080739378929
sub-07,V2,PIT,train,sub-04,470,118,rsa,0.040297992527484894
sub-07,V2,IPS1,train,sub-04,470,232,rsa,0.03173615783452988
sub-07,V2,MST,train,sub-04,470,142,rsa,0.057542964816093445
sub-07,V2,MT,train,sub-04,470,100,rsa,0.031189972534775734
sub-07,V2,FST,train,sub-04,470,175,rsa,0.06006059795618057
sub-07,V2,LO1,train,sub-04,470,80,rsa,0.03861338645219803
sub-07,V2,LO2,train,sub-04,470,83,rsa,0.05004552751779556
sub-07,V2,LO3,train,sub-04,470,118,rsa,0.04621163383126259
sub-07,V2,V7,train,sub-04,470,77,rsa,0.03250732272863388
sub-07,V2,IP0,train,sub-04,470,196,rsa,0.03992040455341339
sub-07,V2,IP1,train,sub-04,470,49,rsa,0.008834032341837883
sub-07,V2,MIP,train,sub-04,470,237,rsa,0.025731656700372696
sub-07,V2,VIP,train,sub-04,470,198,rsa,0.021983236074447632
sub-07,V2,LIPd,train,sub-04,470,28,rsa,0.005686684045940638
sub-07,V2,LIPv,train,sub-04,470,149,rsa,0.02016376703977585
sub-07,V2,AIP,train,sub-04,470,221,rsa,0.010227820836007595
sub-07,V2,7Pm,train,sub-04,470,39,rsa,0.007868818938732147
sub-07,V2,7PL,train,sub-04,470,104,rsa,0.01419092807918787
sub-07,V2,7PC,train,sub-04,470,260,rsa,0.020859049633145332
sub-07,V2,7Am,train,sub-04,470,207,rsa,0.011364049278199673
sub-07,V2,7AL,train,sub-04,470,180,rsa,0.005421726498752832
sub-07,V2,VVC,train,sub-04,470,170,rsa,0.03565533459186554
sub-07,V2,VMV2,train,sub-04,470,115,rsa,0.011856240220367908
sub-07,V2,VMV3,train,sub-04,470,115,rsa,0.024435074999928474
sub-07,V2,VMV1,train,sub-04,470,53,rsa,0.019342251121997833
sub-07,V2,PHA2,train,sub-04,470,11,rsa,0.006350889336317778
sub-07,V2,PHA3,train,sub-04,470,87,rsa,0.008701782673597336
sub-07,V2,PH,train,sub-04,470,340,rsa,0.03921974450349808
sub-07,V3,V1,train,sub-04,348,523,rsa,0.08166030794382095
sub-07,V3,V2,train,sub-04,348,638,rsa,0.09305514395236969
sub-07,V3,V3,train,sub-04,348,520,rsa,0.08441343903541565
sub-07,V3,V4,train,sub-04,348,610,rsa,0.08315829932689667
sub-07,V3,V3A,train,sub-04,348,232,rsa,0.058544792234897614
sub-07,V3,V3B,train,sub-04,348,150,rsa,0.042045023292303085
sub-07,V3,V6,train,sub-04,348,58,rsa,0.014600726775825024
sub-07,V3,V6A,train,sub-04,348,38,rsa,0.03308543935418129
sub-07,V3,V7,train,sub-04,348,77,rsa,0.05106842517852783
sub-07,V3,V8,train,sub-04,348,111,rsa,0.04827981814742088
sub-07,V3,FFC,train,sub-04,348,312,rsa,0.057094424962997437
sub-07,V3,PIT,train,sub-04,348,118,rsa,0.049329355359077454
sub-07,V3,IPS1,train,sub-04,348,232,rsa,0.03807936981320381
sub-07,V3,MST,train,sub-04,348,142,rsa,0.06608576327562332
sub-07,V3,MT,train,sub-04,348,100,rsa,0.03972672298550606
sub-07,V3,FST,train,sub-04,348,175,rsa,0.07356400787830353
sub-07,V3,LO1,train,sub-04,348,80,rsa,0.04464837908744812
sub-07,V3,LO2,train,sub-04,348,83,rsa,0.06197689473628998
sub-07,V3,LO3,train,sub-04,348,118,rsa,0.05603346228599548
sub-07,V3,V7,train,sub-04,348,77,rsa,0.05106842517852783
sub-07,V3,IP0,train,sub-04,348,196,rsa,0.04460383579134941
sub-07,V3,IP1,train,sub-04,348,49,rsa,0.020270805805921555
sub-07,V3,MIP,train,sub-04,348,237,rsa,0.03539123013615608
sub-07,V3,VIP,train,sub-04,348,198,rsa,0.031411461532115936
sub-07,V3,LIPd,train,sub-04,348,28,rsa,0.011647775769233704
sub-07,V3,LIPv,train,sub-04,348,149,rsa,0.029879741370677948
sub-07,V3,AIP,train,sub-04,348,221,rsa,0.019184164702892303
sub-07,V3,7Pm,train,sub-04,348,39,rsa,0.008727864362299442
sub-07,V3,7PL,train,sub-04,348,104,rsa,0.021728690713644028
sub-07,V3,7PC,train,sub-04,348,260,rsa,0.02708425559103489
sub-07,V3,7Am,train,sub-04,348,207,rsa,0.01452588476240635
