model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-07,V1,V1,train,sub-10,linear_predictivity,420,553,0.07971007957949854,,"[1000.0, 1000.0, 3162.277660168379, 1000.0, 3162.277660168379]",0.2052451256786671,1.050012189024907,0.7943549400723435,0.9166017915914073
sub-07,V1,V1,test,sub-10,linear_predictivity,420,553,0.165930349668213,"[0.16848067709560413, 0.17548141494644687, 0.15545599509075034, 0.17852388999079338, 0.1517097712174702]",,,,,
sub-07,V1,V2,train,sub-10,linear_predictivity,420,516,0.07211956534785054,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.153286067319066,1.0594044113955217,0.8464654119395636,0.9237244943579824
sub-07,V1,V2,test,sub-10,linear_predictivity,420,516,0.1211662163419793,"[0.12061470973419249, 0.12596524530096168, 0.1224846556072457, 0.11993077295929057, 0.11683569810820611]",,,,,
sub-07,V1,V3,train,sub-10,linear_predictivity,420,400,0.08275500540741779,,"[1000.0, 1000.0, 3162.277660168379, 1000.0, 1000.0]",0.2189729532285451,1.0505994447633458,0.7806847231457714,0.9135701905213504
sub-07,V1,V3,test,sub-10,linear_predictivity,420,400,0.17025250974429076,"[0.1727996294783033, 0.18034606568177822, 0.15314917166550043, 0.17252319456984755, 0.1724444873260243]",,,,,
sub-07,V1,V4,train,sub-10,linear_predictivity,420,574,0.05486993645270075,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13377080240082212,1.0746387790342418,0.8660270945836827,0.9417514319400266
sub-07,V1,V4,test,sub-10,linear_predictivity,420,574,0.09027227981396443,"[0.09193995708229373, 0.088376948467742, 0.09323943640341338, 0.0879834735006969, 0.08982158361567615]",,,,,
sub-07,V1,V3A,train,sub-10,linear_predictivity,420,85,0.027313972567249187,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11314605422552977,1.1007574106717732,0.8866502878673332,0.9689889735304786
sub-07,V1,V3A,test,sub-10,linear_predictivity,420,85,0.1203499323775024,"[0.12343617675082305, 0.1200725665802723, 0.11645632397634978, 0.12275886235412423, 0.11902573222594263]",,,,,
sub-07,V1,V3B,train,sub-10,linear_predictivity,420,99,0.03979289751792368,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11809230565669904,1.0879750485785658,0.8817362689651173,0.9573365806098095
sub-07,V1,V3B,test,sub-10,linear_predictivity,420,99,0.04683458512599242,"[0.04555913678417288, 0.0414002553015535, 0.045007345733241146, 0.05426256263254277, 0.04794362517845179]",,,,,
sub-07,V1,V6,train,sub-10,linear_predictivity,420,11,0.010119286541767176,,"[10000.0, 3162.277660168379, 10000.0, 3162.277660168379, 10000.0]",0.07133524686937694,1.104308246001615,0.9284835469371666,0.9866341171426185
sub-07,V1,V6,test,sub-10,linear_predictivity,420,11,0.03712916403568532,"[0.03118114242520882, 0.050514483205490346, 0.02879924832552798, 0.04615038811405629, 0.02900055810814316]",,,,,
sub-07,V1,V6A,train,sub-10,linear_predictivity,420,45,0.004465639856203019,,"[3162.277660168379, 3162.277660168379, 10000.0, 10000.0, 3162.277660168379]",0.07727669021808113,1.1115353534276022,0.922287929248118,0.9915421041854018
sub-07,V1,V6A,test,sub-10,linear_predictivity,420,45,0.051436392248185435,"[0.058809896783673564, 0.05170746004495314, 0.040099954486474694, 0.04467766781275222, 0.0618869821130736]",,,,,
sub-07,V1,V7,train,sub-10,linear_predictivity,420,61,0.016569334976645242,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379]",0.09015197047982051,1.0987349835795743,0.9095810562931866,0.9802705186380603
sub-07,V1,V7,test,sub-10,linear_predictivity,420,61,0.03210948475384165,"[0.034747994920321754, 0.031022544659572403, 0.032704469061781594, 0.020566687179337937, 0.04150572794819457]",,,,,
sub-07,V1,V8,train,sub-10,linear_predictivity,420,96,0.04308663801014706,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12247435849289916,1.0867871053081655,0.8773117828465239,0.9532598162998817
sub-07,V1,V8,test,sub-10,linear_predictivity,420,96,0.06827112602533378,"[0.0713334951501806, 0.06341787792370317, 0.07604354561854626, 0.07037136290147299, 0.060189348532765884]",,,,,
sub-07,V1,FFC,train,sub-10,linear_predictivity,420,244,0.018881808512733734,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.05968193271281157,1.1032321469239268,0.9401638705852566,0.978490518190178
sub-07,V1,FFC,test,sub-10,linear_predictivity,420,244,0.02851272584612074,"[0.027798417775004497, 0.02676423348640329, 0.029673516635281783, 0.029015850170259507, 0.029311611163654615]",,,,,
