model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-07,V1,V1,train,sub-10,420,553,rsa,0.0970190092921257
sub-07,V1,V2,train,sub-10,420,516,rsa,0.08879119902849197
sub-07,V1,V3,train,sub-10,420,400,rsa,0.0732448399066925
sub-07,V1,V4,train,sub-10,420,574,rsa,0.06414507329463959
sub-07,V1,V3A,train,sub-10,420,85,rsa,0.026241431012749672
sub-07,V1,V3B,train,sub-10,420,99,rsa,0.02382391318678856
sub-07,V1,V6,train,sub-10,420,11,rsa,0.00452697928994894
sub-07,V1,V6A,train,sub-10,420,45,rsa,0.014189125038683414
sub-07,V1,V7,train,sub-10,420,61,rsa,0.009818273596465588
sub-07,V1,V8,train,sub-10,420,96,rsa,0.027405710890889168
sub-07,V1,FFC,train,sub-10,420,244,rsa,0.045759063214063644
sub-07,V1,PIT,train,sub-10,420,100,rsa,0.02961774729192257
sub-07,V1,IPS1,train,sub-10,420,166,rsa,0.007438667584210634
sub-07,V1,MST,train,sub-10,420,135,rsa,0.01922544278204441
sub-07,V1,MT,train,sub-10,420,86,rsa,0.045061010867357254
sub-07,V1,FST,train,sub-10,420,167,rsa,0.01475563645362854
sub-07,V1,LO1,train,sub-10,420,78,rsa,0.03731336444616318
sub-07,V1,LO2,train,sub-10,420,80,rsa,0.03455304726958275
sub-07,V1,LO3,train,sub-10,420,113,rsa,0.02908630296587944
sub-07,V1,V7,train,sub-10,420,61,rsa,0.009818273596465588
sub-07,V1,IP0,train,sub-10,420,103,rsa,0.011484477669000626
sub-07,V1,IP1,train,sub-10,420,33,rsa,0.0008658468723297119
sub-07,V1,MIP,train,sub-10,420,178,rsa,0.003402576083317399
sub-07,V1,VIP,train,sub-10,420,100,rsa,0.0056489924900233746
sub-07,V1,LIPd,train,sub-10,420,31,rsa,-0.0006402828730642796
sub-07,V1,LIPv,train,sub-10,420,75,rsa,0.004377890843898058
sub-07,V1,AIP,train,sub-10,420,409,rsa,0.0007517680642195046
sub-07,V1,7Pm,train,sub-10,420,21,rsa,0.0033734801691025496
sub-07,V1,7PL,train,sub-10,420,106,rsa,0.0018806593725457788
sub-07,V1,7PC,train,sub-10,420,224,rsa,0.009021569043397903
sub-07,V1,7Am,train,sub-10,420,186,rsa,0.00583942886441946
