model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-08,V1,V1,train,sub-05,linear_predictivity,560,608,0.08377221895548195,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18598091662778155,1.0996339988747648,0.8137955577069812,0.9122478278633188
sub-08,V1,V1,test,sub-05,linear_predictivity,560,608,0.15979515964529006,"[0.15727712337214453, 0.1579669634398595, 0.16992014243261616, 0.1517752563223855, 0.16203631265944468]",,,,,
sub-08,V1,V2,train,sub-05,linear_predictivity,560,559,0.05955398511591962,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16741216241407275,1.1141915558687487,0.832312906719016,0.9356207894785508
sub-08,V1,V2,test,sub-05,linear_predictivity,560,559,0.15063883100569528,"[0.1481248979486883, 0.15237418967714395, 0.15366974542081527, 0.14206691214953054, 0.15695840983229853]",,,,,
sub-08,V1,V3,train,sub-05,linear_predictivity,560,451,0.05417731225431019,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1584227160284514,1.1204778907032737,0.8413493193835466,0.9418414075631475
sub-08,V1,V3,test,sub-05,linear_predictivity,560,451,0.1352937136119992,"[0.13466725139696117, 0.13761852334036098, 0.14135279785708507, 0.12284386579856987, 0.13998612966701893]",,,,,
sub-08,V1,V4,train,sub-05,linear_predictivity,560,564,0.05380850576017692,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1558774894027976,1.122847431369674,0.8438965474920256,0.9422917012398064
sub-08,V1,V4,test,sub-05,linear_predictivity,560,564,0.1304951356394592,"[0.12980147350516202, 0.12886894497345056, 0.13363636009015073, 0.12454874900267061, 0.1356201506258621]",,,,,
sub-08,V1,V3A,train,sub-05,linear_predictivity,560,224,0.010780622595717056,,"[10000.0, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.10214292314345505,1.1542823119211574,0.8972856755174814,0.9847501217229693
sub-08,V1,V3A,test,sub-05,linear_predictivity,560,224,0.011155223889112,"[0.005031598887730936, 0.021247328435232162, 0.007545014922662788, 0.005356273689252576, 0.01659590351068154]",,,,,
sub-08,V1,V3B,train,sub-05,linear_predictivity,560,136,0.030325495243009606,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13744623477751455,1.1448447991764943,0.8623427539426819,0.9658235769007806
sub-08,V1,V3B,test,sub-05,linear_predictivity,560,136,0.06657543099734849,"[0.06510401690756733, 0.058246097393201086, 0.07623034684750159, 0.060153671949559465, 0.07314302188891295]",,,,,
sub-08,V1,V6,train,sub-05,linear_predictivity,560,115,0.027223495229177098,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13509588950788096,1.1451052393823251,0.8647014354055571,0.9690949846279404
sub-08,V1,V6,test,sub-05,linear_predictivity,560,115,0.047947431009453194,"[0.04929836727291629, 0.0453880006255745, 0.045681329904122034, 0.04997088879515236, 0.04939856844950081]",,,,,
sub-08,V1,V6A,train,sub-05,linear_predictivity,560,85,0.03085877467927246,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13827311103705098,1.132809370272867,0.8614196821561535,0.9636690573895053
sub-08,V1,V6A,test,sub-05,linear_predictivity,560,85,0.06556297057900948,"[0.07270975295431749, 0.06361190201636739, 0.06585331987682815, 0.06111655228209977, 0.0645233257654346]",,,,,
sub-08,V1,V7,train,sub-05,linear_predictivity,560,83,0.02017500461773333,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12706902185591806,1.1460794880974254,0.8726431817324117,0.9744798070442267
sub-08,V1,V7,test,sub-05,linear_predictivity,560,83,0.07089537627188658,"[0.07635256317200907, 0.07137124976023976, 0.07388022735067383, 0.06008185401859883, 0.07279098705791139]",,,,,
sub-08,V1,V8,train,sub-05,linear_predictivity,560,110,0.04826343836676086,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15369579660712923,1.1424117409214172,0.8460551617370105,0.9471682494885127
sub-08,V1,V8,test,sub-05,linear_predictivity,560,110,0.13125197350507214,"[0.12857280597311338, 0.13016909034556604, 0.14013424509033098, 0.13711773041078795, 0.12026599570556241]",,,,,
sub-08,V1,FFC,train,sub-05,linear_predictivity,560,263,0.0071283150555104275,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06245673869277659,1.1643243525809424,0.9373177024855377,0.9890892061564035
sub-08,V1,FFC,test,sub-05,linear_predictivity,560,263,-0.0015799743435424111,"[-0.0051745511668034525, 0.00021320094543945001, -0.007369657617325828, -0.007592032465700987, 0.012023168586678762]",,,,,
sub-08,V1,PIT,train,sub-05,linear_predictivity,560,107,0.027610572358274563,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1355356914158726,1.139593345672501,0.8642931753452526,0.9694435076580008
sub-08,V1,PIT,test,sub-05,linear_predictivity,560,107,0.08461774624044971,"[0.08829291356290918, 0.07924379179926067, 0.07521769855281964, 0.0824645860312629, 0.09786974125599618]",,,,,
sub-08,V1,IPS1,train,sub-05,linear_predictivity,560,236,0.00967042766575358,,"[3162.277660168379, 3162.277660168379, 10000.0, 10000.0, 3162.277660168379]",0.10163537289986495,1.1524819062784621,0.8981862260723172,0.9869046939377393
sub-08,V1,IPS1,test,sub-05,linear_predictivity,560,236,0.04196596491384232,"[0.045094003820023064, 0.04630604285466017, 0.03510012699587328, 0.03358775139391878, 0.04974189950473632]",,,,,
sub-08,V1,MST,train,sub-05,linear_predictivity,560,144,0.050078423928162606,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15420577887444847,1.115399960207925,0.8455163478932859,0.9452683683441098
sub-08,V1,MST,test,sub-05,linear_predictivity,560,144,0.053798850957482325,"[0.04405569597110606, 0.048781086004927456, 0.049539744351929274, 0.0565834699937929, 0.07003425846565593]",,,,,
sub-08,V1,MT,train,sub-05,linear_predictivity,560,100,0.04728576327450667,,"[1000.0, 3162.277660168379, 3162.277660168379, 1000.0, 3162.277660168379]",0.1896687730287416,1.1123502926861062,0.8099957096677862,0.9462951305301912
sub-08,V1,MT,test,sub-05,linear_predictivity,560,100,0.05024220054153601,"[0.03673696258069014, 0.04931277047731926, 0.04735735667502234, 0.060931568426635406, 0.056872344548012904]",,,,,
sub-08,V1,FST,train,sub-05,linear_predictivity,560,172,0.0664837232491479,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.25547525487348255,1.096316444436581,0.7443615643233504,0.9304818750078905
sub-08,V1,FST,test,sub-05,linear_predictivity,560,172,0.1136531090349903,"[0.0965448230678751, 0.10740590156362563, 0.10837511672035596, 0.1179000272281777, 0.1380396765949171]",,,,,
sub-08,V1,LO1,train,sub-05,linear_predictivity,560,80,0.04766070727600654,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1464737299930501,1.132577801228898,0.853285735458148,0.9484878815170434
sub-08,V1,LO1,test,sub-05,linear_predictivity,560,80,0.09151033976398404,"[0.09461282082299154, 0.09476134288567106, 0.0882451819744348, 0.08015148196396638, 0.09978087117285642]",,,,,
sub-08,V1,LO2,train,sub-05,linear_predictivity,560,61,0.02665654688291337,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12889441595315448,1.1403914790210856,0.8709242532114783,0.9706533767340979
sub-08,V1,LO2,test,sub-05,linear_predictivity,560,61,0.07135373183639715,"[0.07992334184423905, 0.0711769138693735, 0.0708560938119157, 0.06232009115867219, 0.07249221849778531]",,,,,
sub-08,V1,LO3,train,sub-05,linear_predictivity,560,123,0.04179943794558529,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14626604822492367,1.1308908142533853,0.85352877431163,0.9546256823710083
sub-08,V1,LO3,test,sub-05,linear_predictivity,560,123,0.04727735912062033,"[0.05153024227638038, 0.040286304417185316, 0.05323025472074401, 0.04152611002230554, 0.049813884166486425]",,,,,
