model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-08,V1,V1,train,sub-05,560,608,rsa,0.09627307206392288
sub-08,V1,V2,train,sub-05,560,559,rsa,0.09133134037256241
sub-08,V1,V3,train,sub-05,560,451,rsa,0.07023371756076813
sub-08,V1,V4,train,sub-05,560,564,rsa,0.06752628833055496
sub-08,V1,V3A,train,sub-05,560,224,rsa,0.022605182603001595
sub-08,V1,V3B,train,sub-05,560,136,rsa,0.02844288758933544
sub-08,V1,V6,train,sub-05,560,115,rsa,0.015468250028789043
sub-08,V1,V6A,train,sub-05,560,85,rsa,0.020475495606660843
sub-08,V1,V7,train,sub-05,560,83,rsa,0.019358616322278976
sub-08,V1,V8,train,sub-05,560,110,rsa,0.04104970023036003
sub-08,V1,FFC,train,sub-05,560,263,rsa,0.03090759739279747
sub-08,V1,PIT,train,sub-05,560,107,rsa,0.027272434905171394
sub-08,V1,IPS1,train,sub-05,560,236,rsa,0.023697154596447945
sub-08,V1,MST,train,sub-05,560,144,rsa,0.028624655678868294
sub-08,V1,MT,train,sub-05,560,100,rsa,0.030209915712475777
sub-08,V1,FST,train,sub-05,560,172,rsa,0.026811379939317703
sub-08,V1,LO1,train,sub-05,560,80,rsa,0.03317716345191002
sub-08,V1,LO2,train,sub-05,560,61,rsa,0.023780914023518562
sub-08,V1,LO3,train,sub-05,560,123,rsa,0.02959602326154709
sub-08,V1,V7,train,sub-05,560,83,rsa,0.019358616322278976
sub-08,V1,IP0,train,sub-05,560,192,rsa,0.0270208902657032
sub-08,V1,IP1,train,sub-05,560,46,rsa,0.0034740830305963755
sub-08,V1,MIP,train,sub-05,560,256,rsa,0.012074943631887436
sub-08,V1,VIP,train,sub-05,560,189,rsa,0.010189895518124104
sub-08,V1,LIPd,train,sub-05,560,38,rsa,0.009360497817397118
sub-08,V1,LIPv,train,sub-05,560,208,rsa,0.008792499080300331
sub-08,V1,AIP,train,sub-05,560,260,rsa,0.0015925767365843058
sub-08,V1,7Pm,train,sub-05,560,7,rsa,0.002530437894165516
sub-08,V1,7PL,train,sub-05,560,91,rsa,0.006704987492412329
sub-08,V1,7PC,train,sub-05,560,184,rsa,0.005616526585072279
sub-08,V1,7Am,train,sub-05,560,120,rsa,0.009592211805284023
sub-08,V1,7AL,train,sub-05,560,235,rsa,0.003165611531585455
sub-08,V1,VVC,train,sub-05,560,174,rsa,0.021240463480353355
sub-08,V1,VMV2,train,sub-05,560,117,rsa,0.02995278872549534
sub-08,V1,VMV3,train,sub-05,560,106,rsa,0.0319829024374485
sub-08,V1,VMV1,train,sub-05,560,43,rsa,0.01580086536705494
sub-08,V1,PHA2,train,sub-05,560,50,rsa,0.00859700608998537
sub-08,V1,PHA3,train,sub-05,560,147,rsa,0.015675192698836327
sub-08,V1,PH,train,sub-05,560,359,rsa,0.0446418859064579
sub-08,V2,V1,train,sub-05,482,608,rsa,0.10201805830001831
sub-08,V2,V2,train,sub-05,482,559,rsa,0.1164097785949707
sub-08,V2,V3,train,sub-05,482,451,rsa,0.09613490849733353
sub-08,V2,V4,train,sub-05,482,564,rsa,0.0931917279958725
sub-08,V2,V3A,train,sub-05,482,224,rsa,0.046409279108047485
sub-08,V2,V3B,train,sub-05,482,136,rsa,0.04583384469151497
sub-08,V2,V6,train,sub-05,482,115,rsa,0.02788313664495945
sub-08,V2,V6A,train,sub-05,482,85,rsa,0.03385917842388153
sub-08,V2,V7,train,sub-05,482,83,rsa,0.04138169065117836
sub-08,V2,V8,train,sub-05,482,110,rsa,0.06176948919892311
sub-08,V2,FFC,train,sub-05,482,263,rsa,0.04437772557139397
sub-08,V2,PIT,train,sub-05,482,107,rsa,0.03982022404670715
sub-08,V2,IPS1,train,sub-05,482,236,rsa,0.044781237840652466
sub-08,V2,MST,train,sub-05,482,144,rsa,0.03876626119017601
sub-08,V2,MT,train,sub-05,482,100,rsa,0.045729584991931915
sub-08,V2,FST,train,sub-05,482,172,rsa,0.04088573157787323
sub-08,V2,LO1,train,sub-05,482,80,rsa,0.060892023146152496
sub-08,V2,LO2,train,sub-05,482,61,rsa,0.031051551923155785
sub-08,V2,LO3,train,sub-05,482,123,rsa,0.04768801108002663
sub-08,V2,V7,train,sub-05,482,83,rsa,0.04138169065117836
