model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-10,V1,V1,train,sub-09,linear_predictivity,553,641,0.10496800773377107,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.21086348303051555,1.107480123035963,0.7889586667299264,0.8919233395857326
sub-10,V1,V1,test,sub-09,linear_predictivity,553,641,0.20372591599419723,"[0.2076304536115201, 0.19870186140421872, 0.20302133742424563, 0.20485443860332456, 0.20442148892767714]",,,,,
sub-10,V1,V2,train,sub-09,linear_predictivity,553,754,0.0998960229373256,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20841579115942893,1.098671954043715,0.7913650596838322,0.8960577619253851
sub-10,V1,V2,test,sub-09,linear_predictivity,553,754,0.16936978605736064,"[0.1711425106558144, 0.16540941676585905, 0.17785195396142173, 0.17198737785552445, 0.16045767104818365]",,,,,
sub-10,V1,V3,train,sub-09,linear_predictivity,553,575,0.09957072372171256,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.20742236503083014,1.103870731665395,0.7923911832967468,0.8970094852161807
sub-10,V1,V3,test,sub-09,linear_predictivity,553,575,0.17979025742590055,"[0.17648970387547094, 0.17600487329950842, 0.18808046876139908, 0.18266454804870833, 0.17571169314441593]",,,,,
sub-10,V1,V4,train,sub-09,linear_predictivity,553,616,0.09055551541798151,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19822775149554056,1.1123797701549196,0.8015812026752815,0.9061668760460883
sub-10,V1,V4,test,sub-09,linear_predictivity,553,616,0.1916833091825026,"[0.18854661833699848, 0.19007801543567338, 0.19759615212942228, 0.19500554650716012, 0.1871902135032587]",,,,,
sub-10,V1,V3A,train,sub-09,linear_predictivity,553,270,0.024130272438507093,,"[10000.0, 10000.0, 10000.0, 10000.0, 3162.277660168379]",0.09894534998238491,1.162066936104187,0.9007269862661149,0.9706102200966805
sub-10,V1,V3A,test,sub-09,linear_predictivity,553,270,0.05231970419707427,"[0.02977693863666107, 0.050353333911582726, 0.06084505349673582, 0.044285566074215674, 0.07633762886617608]",,,,,
sub-10,V1,V3B,train,sub-09,linear_predictivity,553,148,0.04572071552799133,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16290753418002574,1.1287404226598348,0.8368919728406523,0.9508752070177632
sub-10,V1,V3B,test,sub-09,linear_predictivity,553,148,0.13361708103372993,"[0.13012224060887645, 0.14137980528999786, 0.12664210571888326, 0.13728660854512506, 0.13265464500576704]",,,,,
sub-10,V1,V6,train,sub-09,linear_predictivity,553,104,0.006375622626039051,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.06683042231618523,1.1719474320544312,0.9329188866481068,0.989200275548777
sub-10,V1,V6,test,sub-09,linear_predictivity,553,104,-0.000512021464366762,"[-0.01538791770947871, 0.0010258882730172568, 0.008269539835923798, -0.005235380530124053, 0.008767762808827897]",,,,,
sub-10,V1,V6A,train,sub-09,linear_predictivity,553,85,0.013409452392081923,,"[3162.277660168379, 3162.277660168379, 10000.0, 3162.277660168379, 3162.277660168379]",0.1222755478864234,1.1667456370145222,0.8773198126670637,0.9819344160562837
sub-10,V1,V6A,test,sub-09,linear_predictivity,553,85,0.05037218313525695,"[0.04391517196969937, 0.05846633847913409, 0.03430125713964575, 0.0510355823084694, 0.06414256577933614]",,,,,
sub-10,V1,V7,train,sub-09,linear_predictivity,553,87,0.03755969895945713,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15688996404108926,1.1305345209047555,0.8428562077091231,0.9582496550473468
sub-10,V1,V7,test,sub-09,linear_predictivity,553,87,0.07138735345320305,"[0.06352247587641992, 0.08432091237089358, 0.059123667421336845, 0.07109674140973507, 0.0788729701876298]",,,,,
sub-10,V1,V8,train,sub-09,linear_predictivity,553,101,0.033787649907504366,,"[10000.0, 10000.0, 3162.277660168379, 10000.0, 3162.277660168379]",0.11529812194308195,1.15934817719867,0.8843901426705673,0.9623188727862253
sub-10,V1,V8,test,sub-09,linear_predictivity,553,101,0.09340411155845244,"[0.08285172394141879, 0.0834617089568514, 0.12389309820109891, 0.07691958385497355, 0.09989444283791951]",,,,,
sub-10,V1,FFC,train,sub-09,linear_predictivity,553,263,0.03248037717848201,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14577996127524068,1.156051952560428,0.8540360204180845,0.9641677264620621
sub-10,V1,FFC,test,sub-09,linear_predictivity,553,263,0.08309590228420222,"[0.08553682073236107, 0.07564650438682874, 0.09635744279884105, 0.07760759816392589, 0.08033114533905433]",,,,,
sub-10,V1,PIT,train,sub-09,linear_predictivity,553,123,0.0496801568149706,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16089266410759753,1.134534112945468,0.8389152613693103,0.946954597661813
sub-10,V1,PIT,test,sub-09,linear_predictivity,553,123,0.0937770026025188,"[0.09207440932429614, 0.08953859227744253, 0.10606348922576611, 0.09244371453526688, 0.08876480764982228]",,,,,
sub-10,V1,IPS1,train,sub-09,linear_predictivity,553,243,0.027710250538467436,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14230418642125348,1.1412586692887063,0.8575483470327123,0.9696628632651058
sub-10,V1,IPS1,test,sub-09,linear_predictivity,553,243,0.07218896155578916,"[0.06293545057261571, 0.07848728080550643, 0.0742015331755004, 0.06905906045340467, 0.07626148277191862]",,,,,
