model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-10,V1,V1,train,sub-09,553,641,rsa,0.16407828032970428
sub-10,V1,V2,train,sub-09,553,754,rsa,0.15336988866329193
sub-10,V1,V3,train,sub-09,553,575,rsa,0.11986332386732101
sub-10,V1,V4,train,sub-09,553,616,rsa,0.12077894061803818
sub-10,V1,V3A,train,sub-09,553,270,rsa,0.04598163068294525
sub-10,V1,V3B,train,sub-09,553,148,rsa,0.030858943238854408
sub-10,V1,V6,train,sub-09,553,104,rsa,0.021550681442022324
sub-10,V1,V6A,train,sub-09,553,85,rsa,0.02682284265756607
sub-10,V1,V7,train,sub-09,553,87,rsa,0.02753189206123352
sub-10,V1,V8,train,sub-09,553,101,rsa,0.04082720726728439
sub-10,V1,FFC,train,sub-09,553,263,rsa,0.038427580147981644
sub-10,V1,PIT,train,sub-09,553,123,rsa,0.04470432177186012
sub-10,V1,IPS1,train,sub-09,553,243,rsa,0.01880941167473793
sub-10,V1,MST,train,sub-09,553,149,rsa,0.037769146263599396
sub-10,V1,MT,train,sub-09,553,100,rsa,0.035447221249341965
sub-10,V1,FST,train,sub-09,553,156,rsa,0.021801594644784927
sub-10,V1,LO1,train,sub-09,553,79,rsa,0.035570744425058365
sub-10,V1,LO2,train,sub-09,553,80,rsa,0.02684130147099495
sub-10,V1,LO3,train,sub-09,553,125,rsa,0.04500479996204376
sub-10,V1,V7,train,sub-09,553,87,rsa,0.02753189206123352
sub-10,V1,IP0,train,sub-09,553,198,rsa,0.022446652874350548
sub-10,V1,IP1,train,sub-09,553,114,rsa,0.011309356428682804
sub-10,V1,MIP,train,sub-09,553,280,rsa,0.022772692143917084
sub-10,V1,VIP,train,sub-09,553,180,rsa,0.013495368883013725
sub-10,V1,LIPd,train,sub-09,553,69,rsa,0.011319088749587536
sub-10,V1,LIPv,train,sub-09,553,239,rsa,0.0183964055031538
sub-10,V1,AIP,train,sub-09,553,275,rsa,0.0070584611967206
sub-10,V1,7Pm,train,sub-09,553,17,rsa,0.0035124074202030897
sub-10,V1,7PL,train,sub-09,553,133,rsa,0.013823546469211578
sub-10,V1,7PC,train,sub-09,553,315,rsa,0.013705135323107243
sub-10,V1,7Am,train,sub-09,553,228,rsa,0.018777718767523766
sub-10,V1,7AL,train,sub-09,553,178,rsa,0.00792139396071434
sub-10,V1,VVC,train,sub-09,553,151,rsa,0.024028081446886063
sub-10,V1,VMV2,train,sub-09,553,119,rsa,0.02778344787657261
sub-10,V1,VMV3,train,sub-09,553,109,rsa,0.01938471756875515
