model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-10,V1,V1,train,sub-01,linear_predictivity,553,1221,0.041621799551105544,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.15433530126757214,1.142178500555397,0.8454324916661102,0.9544092991200908
sub-10,V1,V1,test,sub-01,linear_predictivity,553,1221,0.043577675593131346,"[0.035620127158916146, 0.04718350518885804, 0.05922842309072741, 0.04699117406562172, 0.028865148461533423]",,,,,
sub-10,V1,V2,train,sub-01,linear_predictivity,553,925,0.05175786551446715,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1657651966850802,1.1373076721610775,0.8339786569655716,0.9436715098059129
sub-10,V1,V2,test,sub-01,linear_predictivity,553,925,0.11551278431352778,"[0.10250555795267546, 0.120975277359392, 0.12773758173674066, 0.112734328659191, 0.11361117585963978]",,,,,
sub-10,V1,V3,train,sub-01,linear_predictivity,553,621,0.08546349568627223,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19664188029513677,1.1114046802750628,0.8030848017573785,0.9097587094849151
sub-10,V1,V3,test,sub-01,linear_predictivity,553,621,0.13734543660882395,"[0.12304577524690814, 0.1406546105796865, 0.14688223009666604, 0.13700527347774355, 0.13913929364311556]",,,,,
sub-10,V1,V4,train,sub-01,linear_predictivity,553,625,0.07224064825633088,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.18463442361372384,1.1275378864660075,0.8151423568913932,0.9236491871705473
sub-10,V1,V4,test,sub-01,linear_predictivity,553,625,0.17968640855155696,"[0.18171217393514996, 0.1811271903986642, 0.17935654339444615, 0.17664896279098083, 0.17958717223854356]",,,,,
sub-10,V1,V3A,train,sub-01,linear_predictivity,553,238,0.025457483718700484,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.08117774681392652,1.1665707709540114,0.9186037858430233,0.9708558808022701
sub-10,V1,V3A,test,sub-01,linear_predictivity,553,238,0.06516616696601023,"[0.05455413224329372, 0.062018942997365045, 0.07613884460202007, 0.06780576671372289, 0.0653131482736494]",,,,,
