model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-10,V1,V1,train,sub-01,553,1221,rsa,0.11926605552434921
sub-10,V1,V2,train,sub-01,553,925,rsa,0.1460890769958496
sub-10,V1,V3,train,sub-01,553,621,rsa,0.16706609725952148
sub-10,V1,V4,train,sub-01,553,625,rsa,0.12125382572412491
sub-10,V1,V3A,train,sub-01,553,238,rsa,0.05303996056318283
sub-10,V1,V3B,train,sub-01,553,150,rsa,0.023028215393424034
sub-10,V1,V6,train,sub-01,553,198,rsa,0.025143185630440712
sub-10,V1,V6A,train,sub-01,553,91,rsa,0.03235325217247009
sub-10,V1,V7,train,sub-01,553,89,rsa,0.04061928391456604
sub-10,V1,V8,train,sub-01,553,112,rsa,0.05614539235830307
sub-10,V1,FFC,train,sub-01,553,284,rsa,0.03487689793109894
sub-10,V1,PIT,train,sub-01,553,103,rsa,0.04689883813261986
sub-10,V1,IPS1,train,sub-01,553,235,rsa,0.03403288871049881
sub-10,V1,MST,train,sub-01,553,149,rsa,0.042513757944107056
sub-10,V1,MT,train,sub-01,553,100,rsa,0.038151275366544724
sub-10,V1,FST,train,sub-01,553,175,rsa,0.036581601947546005
sub-10,V1,LO1,train,sub-01,553,80,rsa,0.05541639029979706
sub-10,V1,LO2,train,sub-01,553,67,rsa,0.032908227294683456
sub-10,V1,LO3,train,sub-01,553,121,rsa,0.053145430982112885
sub-10,V1,V7,train,sub-01,553,89,rsa,0.04061928391456604
sub-10,V1,IP0,train,sub-01,553,169,rsa,0.019040999934077263
sub-10,V1,IP1,train,sub-01,553,226,rsa,0.009830345399677753
sub-10,V1,MIP,train,sub-01,553,296,rsa,0.017276952043175697
sub-10,V1,VIP,train,sub-01,553,203,rsa,0.01618054136633873
sub-10,V1,LIPd,train,sub-01,553,122,rsa,0.01518337707966566
sub-10,V1,LIPv,train,sub-01,553,173,rsa,0.021788496524095535
sub-10,V1,AIP,train,sub-01,553,563,rsa,0.009264744818210602
sub-10,V1,7Pm,train,sub-01,553,92,rsa,0.01773270033299923
sub-10,V1,7PL,train,sub-01,553,155,rsa,0.022723743692040443
sub-10,V1,7PC,train,sub-01,553,322,rsa,0.013199574314057827
sub-10,V1,7Am,train,sub-01,553,321,rsa,0.01895921863615513
sub-10,V1,7AL,train,sub-01,553,299,rsa,0.014914264902472496
sub-10,V1,VVC,train,sub-01,553,209,rsa,0.034234464168548584
sub-10,V1,VMV2,train,sub-01,553,115,rsa,0.01932481862604618
sub-10,V1,VMV3,train,sub-01,553,115,rsa,0.014534826390445232
sub-10,V1,VMV1,train,sub-01,553,121,rsa,0.028916096314787865
sub-10,V1,PHA2,train,sub-01,553,91,rsa,0.017022788524627686
sub-10,V1,PHA3,train,sub-01,553,182,rsa,0.024256877601146698
sub-10,V1,PH,train,sub-01,553,371,rsa,0.034198686480522156
sub-10,V2,V1,train,sub-01,516,1221,rsa,0.12655328214168549
sub-10,V2,V2,train,sub-01,516,925,rsa,0.15592710673809052
sub-10,V2,V3,train,sub-01,516,621,rsa,0.16853170096874237
sub-10,V2,V4,train,sub-01,516,625,rsa,0.11507954448461533
sub-10,V2,V3A,train,sub-01,516,238,rsa,0.05843709781765938
sub-10,V2,V3B,train,sub-01,516,150,rsa,0.030496729537844658
sub-10,V2,V6,train,sub-01,516,198,rsa,0.0339624397456646
sub-10,V2,V6A,train,sub-01,516,91,rsa,0.036687783896923065
sub-10,V2,V7,train,sub-01,516,89,rsa,0.03730718418955803
sub-10,V2,V8,train,sub-01,516,112,rsa,0.04941704496741295
sub-10,V2,FFC,train,sub-01,516,284,rsa,0.03176301345229149
sub-10,V2,PIT,train,sub-01,516,103,rsa,0.039546165615320206
sub-10,V2,IPS1,train,sub-01,516,235,rsa,0.03888227045536041
sub-10,V2,MST,train,sub-01,516,149,rsa,0.0446234829723835
sub-10,V2,MT,train,sub-01,516,100,rsa,0.04947781190276146
sub-10,V2,FST,train,sub-01,516,175,rsa,0.033567577600479126
sub-10,V2,LO1,train,sub-01,516,80,rsa,0.041107676923274994
sub-10,V2,LO2,train,sub-01,516,67,rsa,0.02530050091445446
sub-10,V2,LO3,train,sub-01,516,121,rsa,0.050497379153966904
sub-10,V2,V7,train,sub-01,516,89,rsa,0.03730718418955803
sub-10,V2,IP0,train,sub-01,516,169,rsa,0.02650013193488121
sub-10,V2,IP1,train,sub-01,516,226,rsa,0.009935745969414711
sub-10,V2,MIP,train,sub-01,516,296,rsa,0.02126709744334221
sub-10,V2,VIP,train,sub-01,516,203,rsa,0.01645583100616932
sub-10,V2,LIPd,train,sub-01,516,122,rsa,0.01723230443894863
sub-10,V2,LIPv,train,sub-01,516,173,rsa,0.022916022688150406
sub-10,V2,AIP,train,sub-01,516,563,rsa,0.014492833986878395
sub-10,V2,7Pm,train,sub-01,516,92,rsa,0.021486889570951462
sub-10,V2,7PL,train,sub-01,516,155,rsa,0.025017105042934418
sub-10,V2,7PC,train,sub-01,516,322,rsa,0.014769842848181725
sub-10,V2,7Am,train,sub-01,516,321,rsa,0.020499514415860176
sub-10,V2,7AL,train,sub-01,516,299,rsa,0.01650434173643589
sub-10,V2,VVC,train,sub-01,516,209,rsa,0.03087650053203106
sub-10,V2,VMV2,train,sub-01,516,115,rsa,0.02368794195353985
sub-10,V2,VMV3,train,sub-01,516,115,rsa,0.020255226641893387
sub-10,V2,VMV1,train,sub-01,516,121,rsa,0.03875761479139328
sub-10,V2,PHA2,train,sub-01,516,91,rsa,0.013033133931457996
sub-10,V2,PHA3,train,sub-01,516,182,rsa,0.02264675311744213
sub-10,V2,PH,train,sub-01,516,371,rsa,0.026090970262885094
sub-10,V3,V1,train,sub-01,400,1221,rsa,0.10921990871429443
sub-10,V3,V2,train,sub-01,400,925,rsa,0.13610787689685822
sub-10,V3,V3,train,sub-01,400,621,rsa,0.17897993326187134
sub-10,V3,V4,train,sub-01,400,625,rsa,0.17234960198402405
sub-10,V3,V3A,train,sub-01,400,238,rsa,0.0652339905500412
sub-10,V3,V3B,train,sub-01,400,150,rsa,0.04188045486807823
sub-10,V3,V6,train,sub-01,400,198,rsa,0.03233977407217026
sub-10,V3,V6A,train,sub-01,400,91,rsa,0.04405275732278824
sub-10,V3,V7,train,sub-01,400,89,rsa,0.05652714893221855
sub-10,V3,V8,train,sub-01,400,112,rsa,0.08775140345096588
sub-10,V3,FFC,train,sub-01,400,284,rsa,0.046892859041690826
sub-10,V3,PIT,train,sub-01,400,103,rsa,0.0775667130947113
sub-10,V3,IPS1,train,sub-01,400,235,rsa,0.05236365273594856
sub-10,V3,MST,train,sub-01,400,149,rsa,0.06427709013223648
sub-10,V3,MT,train,sub-01,400,100,rsa,0.0724792554974556
sub-10,V3,FST,train,sub-01,400,175,rsa,0.04458451271057129
sub-10,V3,LO1,train,sub-01,400,80,rsa,0.09417323023080826
sub-10,V3,LO2,train,sub-01,400,67,rsa,0.039735063910484314
sub-10,V3,LO3,train,sub-01,400,121,rsa,0.08542630076408386
sub-10,V3,V7,train,sub-01,400,89,rsa,0.05652714893221855
sub-10,V3,IP0,train,sub-01,400,169,rsa,0.0295888502150774
sub-10,V3,IP1,train,sub-01,400,226,rsa,0.010882098227739334
sub-10,V3,MIP,train,sub-01,400,296,rsa,0.025447653606534004
sub-10,V3,VIP,train,sub-01,400,203,rsa,0.02452179417014122
sub-10,V3,LIPd,train,sub-01,400,122,rsa,0.01675262115895748
sub-10,V3,LIPv,train,sub-01,400,173,rsa,0.03249084949493408
sub-10,V3,AIP,train,sub-01,400,563,rsa,0.020981429144740105
sub-10,V3,7Pm,train,sub-01,400,92,rsa,0.02316129393875599
sub-10,V3,7PL,train,sub-01,400,155,rsa,0.033006202429533005
sub-10,V3,7PC,train,sub-01,400,322,rsa,0.019777363166213036
sub-10,V3,7Am,train,sub-01,400,321,rsa,0.026061810553073883
sub-10,V3,7AL,train,sub-01,400,299,rsa,0.026046624407172203
sub-10,V3,VVC,train,sub-01,400,209,rsa,0.0470004603266716
sub-10,V3,VMV2,train,sub-01,400,115,rsa,0.036435309797525406
sub-10,V3,VMV3,train,sub-01,400,115,rsa,0.0312555655837059
