model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-03,V1,V1,train,sub-04,linear_predictivity,361,523,0.1444663977437988,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.29976357031629364,1.0027168455621251,0.699956493744675,0.8499361441302412
sub-03,V1,V1,test,sub-04,linear_predictivity,361,523,0.2484226970205819,"[0.24719537742495867, 0.2462161302572761, 0.24784495256725192, 0.2463817474270233, 0.25447527742639936]",,,,,
sub-03,V1,V2,train,sub-04,linear_predictivity,361,638,0.11168226401966061,,"[1000.0, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.21437123992305968,1.0254157799826245,0.785206183427974,0.8835727650711341
sub-03,V1,V2,test,sub-04,linear_predictivity,361,638,0.17416772278903286,"[0.19031029487277878, 0.1652008964420816, 0.1773562343072943, 0.16682319936957893, 0.17114798895343059]",,,,,
sub-03,V1,V3,train,sub-04,linear_predictivity,361,520,0.14189434433569653,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.29486299713964226,1.0069479572052575,0.7048446185201481,0.8525089833630173
sub-03,V1,V3,test,sub-04,linear_predictivity,361,520,0.25385234851460203,"[0.2504215612395566, 0.2509257303023323, 0.26169633984682333, 0.2506304374037911, 0.2555876737805069]",,,,,
sub-03,V1,V4,train,sub-04,linear_predictivity,361,610,0.14320274523267756,,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0]",0.29671518808650277,1.003761725654415,0.7029702735518467,0.850824812546986
sub-03,V1,V4,test,sub-04,linear_predictivity,361,610,0.285754172226055,"[0.2904363526418759, 0.2885671214345485, 0.2869086783350811, 0.2776443993142479, 0.2852143094045216]",,,,,
sub-03,V1,V3A,train,sub-04,linear_predictivity,361,232,0.06012611935967583,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.1489707231739062,1.0711805753608197,0.850822759481456,0.93613031294144
sub-03,V1,V3A,test,sub-04,linear_predictivity,361,232,0.08676076913021641,"[0.08699222468791078, 0.07847546800512273, 0.10143135951926376, 0.07638129639420081, 0.09052349704458397]",,,,,
