model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-03,V1,V1,train,sub-04,361,523,rsa,0.20178651809692383
sub-03,V1,V2,train,sub-04,361,638,rsa,0.17226263880729675
sub-03,V1,V3,train,sub-04,361,520,rsa,0.15948311984539032
sub-03,V1,V4,train,sub-04,361,610,rsa,0.1689484715461731
sub-03,V1,V3A,train,sub-04,361,232,rsa,0.05484945699572563
sub-03,V1,V3B,train,sub-04,361,150,rsa,0.06275707483291626
sub-03,V1,V6,train,sub-04,361,58,rsa,0.010710910893976688
sub-03,V1,V6A,train,sub-04,361,38,rsa,0.031696438789367676
sub-03,V1,V7,train,sub-04,361,77,rsa,0.03203849121928215
sub-03,V1,V8,train,sub-04,361,111,rsa,0.07415176928043365
sub-03,V1,FFC,train,sub-04,361,312,rsa,0.05993117019534111
sub-03,V1,PIT,train,sub-04,361,118,rsa,0.05889778584241867
sub-03,V1,IPS1,train,sub-04,361,232,rsa,0.064583420753479
sub-03,V1,MST,train,sub-04,361,142,rsa,0.08348383754491806
sub-03,V1,MT,train,sub-04,361,100,rsa,0.05089232325553894
sub-03,V1,FST,train,sub-04,361,175,rsa,0.05884767323732376
sub-03,V1,LO1,train,sub-04,361,80,rsa,0.067252516746521
sub-03,V1,LO2,train,sub-04,361,83,rsa,0.06458581238985062
sub-03,V1,LO3,train,sub-04,361,118,rsa,0.07424138486385345
sub-03,V1,V7,train,sub-04,361,77,rsa,0.03203849121928215
sub-03,V1,IP0,train,sub-04,361,196,rsa,0.0677364319562912
sub-03,V1,IP1,train,sub-04,361,49,rsa,0.013601980172097683
sub-03,V1,MIP,train,sub-04,361,237,rsa,0.03467690944671631
sub-03,V1,VIP,train,sub-04,361,198,rsa,0.026213031262159348
sub-03,V1,LIPd,train,sub-04,361,28,rsa,0.00744420662522316
sub-03,V1,LIPv,train,sub-04,361,149,rsa,0.009113348089158535
sub-03,V1,AIP,train,sub-04,361,221,rsa,0.002364784013479948
sub-03,V1,7Pm,train,sub-04,361,39,rsa,0.013017420656979084
sub-03,V1,7PL,train,sub-04,361,104,rsa,0.029931724071502686
sub-03,V1,7PC,train,sub-04,361,260,rsa,0.01696768030524254
sub-03,V1,7Am,train,sub-04,361,207,rsa,0.02520483359694481
sub-03,V1,7AL,train,sub-04,361,180,rsa,0.013751826249063015
