model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-10,V1,V1,train,sub-08,linear_predictivity,553,560,0.11110435321367086,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.21479031058179793,1.102862401699592,0.7849958287532351,0.8852479467081429
sub-10,V1,V1,test,sub-08,linear_predictivity,553,560,0.21381336510894572,"[0.21600252762757605, 0.21301394315713215, 0.2106024818052508, 0.22013094533850258, 0.20931692761626727]",,,,,
sub-10,V1,V2,train,sub-08,linear_predictivity,553,482,0.13505436915196098,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.23734384615850831,1.0781341638451112,0.7624644939262686,0.861662493374826
sub-10,V1,V2,test,sub-08,linear_predictivity,553,482,0.2600311321730653,"[0.2575561291459583, 0.26208575337219525, 0.25465399099990604, 0.26513327138283654, 0.26072651596443025]",,,,,
sub-10,V1,V3,train,sub-08,linear_predictivity,553,458,0.08409974817336335,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.19090452055784252,1.1234279029175638,0.8089195135143076,0.9127617348115729
sub-10,V1,V3,test,sub-08,linear_predictivity,553,458,0.1776553055573663,"[0.1775212913590599, 0.17663571608044776, 0.1677992887727044, 0.18401940534559563, 0.18230082622902385]",,,,,
sub-10,V1,V4,train,sub-08,linear_predictivity,553,604,0.06413800870060533,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.17218988107964397,1.1323753407889412,0.8276661159934383,0.9332963810685182
sub-10,V1,V4,test,sub-08,linear_predictivity,553,604,0.12830080493257806,"[0.1289477209566917, 0.12157814924672156, 0.11615297028512046, 0.13368531673883316, 0.1411398674355233]",,,,,
sub-10,V1,V3A,train,sub-08,linear_predictivity,553,226,0.051762604480255214,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.16473472379851056,1.1449274867070307,0.8350763994231555,0.9447766220900157
sub-10,V1,V3A,test,sub-08,linear_predictivity,553,226,0.15099800419396656,"[0.15335116620663206, 0.15484303357492948, 0.14819905196772268, 0.15419465119861644, 0.14440211802193212]",,,,,
