model,layer,roi,split,subject,metric,n_features_1_model,n_features_2_brain,score,test_scores_list,alphas,train_set_train_split_score_mean,ridgecv_val_mse,train_set_train_split_mse,train_set_val_split_mse
sub-07,V1,V1,train,sub-02,linear_predictivity,420,435,0.0838859038851727,,"[3162.277660168379, 3162.277660168379, 1000.0, 3162.277660168379, 3162.277660168379]",0.17586425344769063,1.053175222114921,0.8239452008232409,0.9127522222880009
sub-07,V1,V1,test,sub-02,linear_predictivity,420,435,0.16939043149084462,"[0.1605494839347474, 0.16983733673551044, 0.1917070516701663, 0.16345756657225724, 0.1614007185415418]",,,,,
sub-07,V1,V2,train,sub-02,linear_predictivity,420,567,0.060282862643374194,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.14185630035235552,1.0697284373533311,0.8578968354108092,0.9353650123676429
sub-07,V1,V2,test,sub-02,linear_predictivity,420,567,0.12001182411633023,"[0.11826535493489487, 0.1265024684226528, 0.12207233352818836, 0.11814739074665817, 0.115071572949257]",,,,,
sub-07,V1,V3,train,sub-02,linear_predictivity,420,538,0.049691023632267406,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.13238009337015316,1.0780629620409552,0.8673578453067172,0.9457790472069556
sub-07,V1,V3,test,sub-02,linear_predictivity,420,538,0.14517313994619743,"[0.14922013744918605, 0.14903098044337268, 0.14136021266342907, 0.14138102244701897, 0.14487334672798036]",,,,,
sub-07,V1,V4,train,sub-02,linear_predictivity,420,630,0.04249709915577378,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12522563505320244,1.083474954824652,0.8745297277985407,0.9534681381725958
sub-07,V1,V4,test,sub-02,linear_predictivity,420,630,0.13066613449927705,"[0.1308520319736719, 0.13786121082453484, 0.1325061263593489, 0.12097555855065355, 0.13113574478817597]",,,,,
sub-07,V1,V3A,train,sub-02,linear_predictivity,420,273,0.028957120079042734,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11759281385893061,1.0880687977031003,0.882141831468131,0.9662772083393618
sub-07,V1,V3A,test,sub-02,linear_predictivity,420,273,0.10580447876552619,"[0.11208729694436978, 0.10930865276247069, 0.10655561083357944, 0.09784215804948275, 0.10322867523772827]",,,,,
sub-07,V1,V3B,train,sub-02,linear_predictivity,420,148,0.03815577084994043,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.12171782582797666,1.0872926685989204,0.8781252390157288,0.9593465199520217
sub-07,V1,V3B,test,sub-02,linear_predictivity,420,148,0.08458273747019884,"[0.08571446123311453, 0.0896190655511888, 0.08796954778720037, 0.07987187499364945, 0.07973873778584105]",,,,,
sub-07,V1,V6,train,sub-02,linear_predictivity,420,147,0.0017387998988983241,,"[10000.0, 10000.0, 10000.0, 3162.277660168379, 10000.0]",0.05623205499629327,1.1039541210588428,0.943449055326942,0.9927722952316504
sub-07,V1,V6,test,sub-02,linear_predictivity,420,147,0.0480684595371289,"[0.04808145545170951, 0.04164675369290332, 0.04171497399724816, 0.061531626289874, 0.047367488253909525]",,,,,
sub-07,V1,V6A,train,sub-02,linear_predictivity,420,82,-0.000648146319013349,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.045413595157812514,1.114989816822836,0.9542646459890578,0.99551967205847
sub-07,V1,V6A,test,sub-02,linear_predictivity,420,82,0.03825610477808617,"[0.03756610142480808, 0.043695689937258024, 0.03606057377017394, 0.03196430820464404, 0.04199385055354677]",,,,,
sub-07,V1,V7,train,sub-02,linear_predictivity,420,88,0.02482777707288186,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.11693254737162335,1.0909882566914455,0.8827428244565123,0.9699522707691732
sub-07,V1,V7,test,sub-02,linear_predictivity,420,88,0.09552990457497754,"[0.09090673418598887, 0.10571135864415836, 0.10665667137943059, 0.08433648319731192, 0.09003827546799793]",,,,,
sub-07,V1,V8,train,sub-02,linear_predictivity,420,105,0.021655885720371748,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10780157334085953,1.0973345573795563,0.8918960042695703,0.9733170087283349
sub-07,V1,V8,test,sub-02,linear_predictivity,420,105,0.08155979481868687,"[0.07754859387134212, 0.09262712007769287, 0.09195919405668608, 0.06642858987180385, 0.07923547621590941]",,,,,
sub-07,V1,FFC,train,sub-02,linear_predictivity,420,269,0.01982112368862932,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10650194761360628,1.099987370608607,0.8931877486945267,0.9751002461336322
sub-07,V1,FFC,test,sub-02,linear_predictivity,420,269,0.08479675783274655,"[0.08640075943345413, 0.08287024533242203, 0.0862281104176589, 0.08560747325803246, 0.08287720072216519]",,,,,
sub-07,V1,PIT,train,sub-02,linear_predictivity,420,110,0.024966130310486556,,"[3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379, 3162.277660168379]",0.10966241061763334,1.0900938587657412,0.8900367081977434,0.970125426600687
sub-07,V1,PIT,test,sub-02,linear_predictivity,420,110,0.11094061327670426,"[0.11214142476118547, 0.11303043393865372, 0.1077028041063829, 0.1088504030461776, 0.11297800053112156]",,,,,
sub-07,V1,IPS1,train,sub-02,linear_predictivity,420,212,-0.001849074448728838,,"[10000.0, 10000.0, 10000.0, 10000.0, 10000.0]",0.046831469776294536,1.1155227147947848,0.9528235942405388,0.9961776291057272
